ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4942.2 at 16:42 8/1/2010  Report at 19:12 Friday 8/1/2010. Processed 11:08 Monday 11/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"1,383,632","674,169",48.72,1.23,"757,542,720","0.08""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"238,672","109,507",45.88,-0.81,"93,937,192","0.11""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"1,333,569","604,952",45.36,7.76,"474,413,911","0.12""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,422,871","1,546,969",45.19,2.47,"1,005,145,616","0.15""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"1,414,667","634,788",44.87,0.01,"606,831,240","0.10""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"1,249,450","548,226",43.87,-2.45,"603,580,761","0.09""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,065,941","455,148",42.69,1.31,"464,564,682","0.09""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"840,421","354,612",42.19,2.35,"490,935,150","0.07""",,,,,,,,,
"""MAP",MAp Group,FORUS,"2,005,093","842,728",42.02,0.32,"1,861,210,782","0.04""",,,,,,,,,
"""NRT",Novogen ,FPO,"25,465","10,594",41.60,-6.78,"102,125,894","0.01""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"9,643,665","3,687,420",38.23,-2.12,"3,102,737,233","0.11""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"10,604,762","3,944,118",37.19,0.30,"2,996,570,442","0.13""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,653,285","960,363",36.19,0.62,"878,168,374","0.10""",,,,,,,,,
"""MPO",Molopo Energy ,FPO,"312,138","111,410",35.69,-1.03,"193,921,119","0.05""",,,,,,,,,
"""BKN",Bradken ,FPO,"579,620","204,758",35.32,-2.89,"129,758,761","0.15""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,554,615","537,646",34.58,0.14,"607,730,819","0.08""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"668,588","226,903",33.93,-0.20,"203,464,058","0.11""",,,,,,,,,
"""OST",OneSteel ,FPO,"3,315,923","1,124,256",33.90,-0.85,"1,328,383,491","0.08""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"1,342,302","445,230",33.16,-3.70,"508,212,161","0.08""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,253,900","415,375",33.12,-2.54,"354,694,375","0.11""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"101,037","33,303",32.96,-2.01,"64,945,877","0.05""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"1,440,698","473,576",32.87,-2.55,"483,712,063","0.09""",,,,,,,,,
"""ASX",ASX ,FPO,"389,528","125,727",32.27,2.17,"172,305,698","0.07""",,,,,,,,,
"""MRU",NewSat ,FPO,"40,936","13,182",32.20,-1.35,"122,454,994","0.01""",,,,,,,,,
"""AAX",Ausenco ,FPO,"229,770","72,076",31.36,0.00,"121,861,958","0.05""",,,,,,,,,
"""ENE",Energy Developments ,FPO,"65,467","20,465",31.26,-0.73,"156,622,631","0.01""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"1,806,245","562,732",31.15,3.35,"1,037,994,023","0.05""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"874,134","272,006",31.11,0.52,"418,700,517","0.06""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"366,276","112,865",30.81,-0.50,"168,111,691","0.06""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"22,596,652","6,921,245",30.63,-1.46,"2,368,729,935","0.29""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,142,279","938,929",29.88,1.29,"1,534,246,082","0.06""",,,,,,,,,
"""ELD",Elders ,FPO,"1,535,904","454,354",29.58,-1.19,"448,598,480","0.10""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"1,530,162","451,512",29.50,-0.49,"460,768,608","0.09""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"6,147,515","1,807,668",29.40,0.55,"2,307,773,663","0.07""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,230,492","344,012",27.95,0.13,"462,491,685","0.07""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"11,161,036","3,019,092",27.05,-1.85,"1,624,890,447","0.18""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"4,756,019","1,279,319",26.89,-1.43,"2,351,955,725","0.05""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"12,287,585","3,258,356",26.51,0.80,"2,729,071,212","0.11""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"4,585,041","1,192,661",26.01,-0.34,"3,356,081,497","0.03""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"9,145,019","2,327,517",25.45,0.31,"1,823,306,551","0.12""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"8,310,620","2,098,496",25.25,0.00,"3,873,085,929","0.05""",,,,,,,,,
"""WOW",Woolworths ,FPO,"3,112,950","781,055",25.09,0.86,"1,239,999,313","0.06""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"914,615","227,413",24.86,-0.65,"706,878,212","0.03""",,,,,,,,,
"""SBM",St Barbara ,FPO,"8,362,365","2,011,640",24.05,-3.12,"1,952,668,407","0.10""",,,,,,,,,
"""CDU",Cudeco ,FPO,"224,333","53,399",23.80,-0.56,"137,751,181","0.03""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"1,387,220","324,900",23.42,-0.40,"748,598,989","0.04""",,,,,,,,,
"""AND",Andean Resources ,FPO,"122,470","28,666",23.40,-0.37,"468,187,217","0.00""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"4,856,895","1,080,702",22.25,1.31,"1,299,562,220","0.08""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"4,297,669","951,996",22.15,0.84,"1,488,668,825","0.06""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"2,530,916","547,177",21.62,0.00,"686,309,634","0.08""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"2,116,915","456,957",21.58,1.62,"748,219,617","0.06""",,,,,,,,,
"""DUE",Duet Group,FORUS,"1,306,024","281,333",21.54,0.27,"859,163,875","0.03""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"2,686,144","577,381",21.49,-1.37,"713,154,560","0.08""",,,,,,,,,
"""FPA",Fisher & Paykel Appliances,FPO NZ,"95,080","20,000",21.03,1.01,"724,235,162","0.00""",,,,,,,,,
"""ESV",Eservglobal ,FPO,"95,450","20,000",20.95,-1.78,"196,847,706","0.01""",,,,,,,,,
"""ENV",Envestra ,FPO,"1,122,883","234,917",20.92,0.00,"1,346,902,042","0.01""",,,,,,,,,
"""CWN",Crown ,FPO,"2,101,298","425,951",20.27,-0.51,"753,555,290","0.05""",,,,,,,,,
"""DOM",Dominion Mining ,FPO,"172,201","34,907",20.27,-2.88,"103,249,351","0.03""",,,,,,,,,
"""BBG",Billabong International ,FPO,"1,218,374","245,293",20.13,5.28,"252,863,336","0.09""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"24,664,271","4,924,009",19.96,1.80,"12,443,074,357","0.04""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"350,429","68,163",19.45,-0.91,"413,727,231","0.01""",,,,,,,,,
