Daily Gross Short Sales,,,,,,,,,,,,,,,,,,,,
ASX & CHI-X SHORT SALES: REPORTED FOR Tuesday, April 30, 2013,,,,,,,,,,,,,,,,,,,,
"Report at Tuesday, April 30, 2013. Processed Wednesday at 2013-05-01T12:15:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
DLS,Drillsearch Energy,FPO,,"14,508,992",,,"427,353,371",3.39,,
BOQ,Bank of Qld,FPO,,"1,848,781",,,"312,878,919",.59,,
BDR,Beadell Resources,FPO,,"3,446,587",,,"786,477,280",.43,,
SGT,Singapore Tel ,CDI 1:1,,"788,872",,,"194,460,137",.40,,
ANN,Ansell,FPO,,"521,846",,,"130,841,339",.39,,
NWH,NRW Hldgs,FPO,,"1,025,348",,,"278,888,011",.36,,
KDR,Kidman Res,FPO,,"284,600",,,"85,525,328",.33,,
OZL,OZ Minerals,FPO,,"1,030,189",,,"303,470,022",.33,,
ASL,Ausdrill,FPO,,"1,025,436",,,"309,585,297",.33,,
BSE,Base Res,FPO,,"1,750,000",,,"561,840,029",.31,,
SCP,SCA Property Grp,STAPLED,,"1,811,605",,,"585,455,114",.30,,
RRL,Regis Res,FPO,,"1,454,372",,,"474,413,655",.30,,
BLD,Boral,FPO,,"2,244,848",,,"774,000,641",.29,,
DJS,David Jones,FPO,,"1,445,315",,,"531,788,775",.27,,
ILU,Iluka Res,FPO,,"1,133,760",,,"418,700,517",.27,,
MND,Monadelphous Grp,FPO,,"237,514",,,"90,940,258",.26,,
ORI,Orica,FPO,,"980,370",,,"366,868,401",.26,,
QRX,QRxPharma,FPO,,"366,800",,,"144,644,706",.25,,
TAH,Tabcorp Hldgs,FPO,,"1,820,614",,,"744,885,690",.24,,
FXJ,Fairfax Media,FPO,,"5,676,236",,,"2,351,955,725",.24,,
FDC,Federation Centres,STAPLED,,"3,332,985",,,"1,427,641,565",.23,,
PDN,Paladin Energy,FPO,,"1,905,690",,,"837,187,808",.22,,
BLY,Boart Longyear,FPO,,"1,048,907",,,"461,163,412",.22,,
SLR,Silver Lake Res,FPO,,"869,547",,,"379,048,750",.22,,
TRY,Troy Resources,FPO,,"203,307",,,"91,318,649",.22,,
PRU,Perseus Min,FPO,,"1,003,262",,,"457,962,088",.21,,
MML,Medusa Min,FPO,,"374,594",,,"188,903,911",.19,,
SAR,Saracen Min,FPO,,"1,145,521",,,"595,263,186",.19,,
EHL,Emeco Hldgs,FPO,,"1,150,221",,,"599,675,707",.19,,
EVN,Evolution Mining,FPO,,"1,312,481",,,"708,092,989",.18,,
SGM,Sims Metal Mgt,FPO,,"384,169",,,"204,309,387",.18,,
KCN,Kingsgate Cons,FPO,,"274,192",,,"152,191,905",.18,,
BWP,BWP Trust,ORD UNITS,,"914,871",,,"537,753,954",.17,,
MYR,Myer Hldgs,FPO,,"1,025,884",,,"583,594,551",.17,,
BTU,Bathurst Res,FPO,,"1,173,317",,,"697,247,997",.16,,
PNA,PanAust,FPO,,"1,041,994",,,"615,911,205",.16,,
IMD,Imdex,FPO,,"336,129",,,"210,473,188",.16,,
NUF,Nufarm,FPO,,"400,924",,,"262,796,891",.15,,
COH,Cochlear,FPO,,"86,410",,,"57,040,932",.15,,
ALQ,ALS,FPO,,"544,582",,,"343,556,949",.15,,
SAI,SAI Global,FPO,,"322,579",,,"209,019,442",.15,,
IGO,Independence Grp,FPO,,"353,602",,,"232,882,535",.15,,
AIO,Asciano,FPO,,"1,473,566",,,"975,385,664",.15,,
BRG,Breville Grp,FPO,,"182,957",,,"130,095,322",.14,,
SBM,St Barbara,FPO,,"688,694",,,"488,074,077",.14,,
CPA,C'wlth Prop Office   ,ORD UNIT,,"3,408,589",,,"2,347,003,413",.14,,
MDL,Mineral Deposits,FPO,,"120,437",,,"83,538,786",.14,,
AQG,Alacer Gold,CDI 1:1,,"159,604",,,"106,804,866",.14,,
MTS,Metcash,FPO,,"1,229,126",,,"880,704,786",.14,,
QAN,Qantas Airways,FPO,,"2,985,828",,,"2,241,945,788",.13,,
WHC,Whitehaven Coal,FPO,,"1,426,496",,,"1,025,635,023",.13,,
MQG,Macquarie Grp,FPO,,"462,717",,,"339,506,578",.13,,
AIW,Aust-American Min,FPO,,"250,000",,,"182,792,669",.13,,
ALL,Aristocrat Leisure,FPO,,"673,380",,,"551,418,047",.12,,
WSA,Western Areas ,FPO,,"247,188",,,"196,843,803",.12,,
DXS,DEXUS Prop Grp ,STAPLED,,"6,061,135",,,"4,839,024,176",.12,,
CSR,CSR,FPO,,"642,361",,,"506,000,315",.12,,
BKN,Bradken,FPO,,"205,940",,,"169,240,662",.12,,
AWE,AWE,FPO,,"639,983",,,"522,116,985",.12,,
NST,Northern Star Res,FPO,,"540,532",,,"424,277,027",.12,,
RIO,Rio Tinto,FPO,,"498,832",,,"435,758,720",.11,,
ABC,Adelaide Brighton,FPO,,"734,214",,,"637,387,488",.11,,
ANZ,ANZ Banking Grp,FPO,,"3,123,032",,,"2,743,749,158",.11,,
TEL,Telecom Corp of NZ,FPO NZ,,"1,944,450",,,"1,816,996,340",.10,,
RMD,ResMed Inc ,CDI 10:1,,"1,605,379",,,"1,556,242,300",.10,,
AWC,Alumina,FPO,,"3,052,138",,,"2,806,225,615",.10,,
AMC,Amcor,FPO,,"1,253,305",,,"1,206,684,923",.10,,
BEN,Bendigo & Adelaide Bk,FPO,,"424,855",,,"407,153,612",.10,,
FLT,Flight Centre,FPO,,"102,939",,,"100,414,455",.10,,
DOW,Downer EDI,FPO,,"468,898",,,"433,409,429",.10,,
DLX,DuluxGroup,FPO,,"390,894",,,"374,507,181",.10,,
WOR,WorleyParsons,FPO,,"255,515",,,"243,103,065",.10,,
BSL,BlueScope Steel,FPO,,"516,007",,,"558,243,305",.09,,
CFX,CFS Retail Prop ,STAPLED,,"2,599,707",,,"2,828,495,659",.09,,
SUN,Suncorp Grp,FPO,,"1,211,170",,,"1,286,600,980",.09,,
TRS,The Reject Shop,FPO,,"23,419",,,"26,092,220",.09,,
WRT,Westfield Retail Tr,STAPLED,,"3,032,517",,,"3,054,166,195",.09,,
SFR,Sandfire Res,FPO,,"141,156",,,"153,650,968",.09,,
WDR,Western Desert Res,FPO,,"302,825",,,"360,853,631",.08,,
ARI,Arrium,FPO,,"1,150,680",,,"1,355,433,903",.08,,
OGC,OceanaGold Corp ,CDI 1:1,,"238,960",,,"293,517,918",.08,,
PXS,Pharmaxis,FPO,,"257,544",,,"308,543,389",.08,,
SHL,Sonic Healthcare,FPO,,"349,823",,,"396,207,681",.08,,
TTS,Tatts Grp,FPO,,"1,137,691",,,"1,402,686,978",.08,,
BPT,Beach Energy,FPO,,"1,034,573",,,"1,267,805,688",.08,,
AGO,Atlas Iron,FPO,,"731,901",,,"909,718,409",.08,,
PRY,Primary Health Care,FPO,,"422,988",,,"503,921,941",.08,,
IPL,Incitec Pivot,FPO,,"1,333,655",,,"1,628,730,107",.08,,
AQA,Aquila Res,FPO,,"345,327",,,"411,804,442",.08,,
TCL,Transurban Grp ,STAPLED,,"1,090,540",,,"1,481,594,818",.07,,
SKI,Spark Infrastructure ,STAPLED,,"941,131",,,"1,326,734,264",.07,,
EGP,Echo Entertainment,FPO,,"578,772",,,"825,672,730",.07,,
GWA,GWA Grp,FPO,,"221,227",,,"306,533,770",.07,,
CPU,Computershare,FPO,,"421,598",,,"556,203,079",.07,,
LEI,Leighton Hldgs,FPO,,"241,263",,,"337,230,813",.07,,
NCM,Newcrest Min,FPO,,"568,520",,,"766,510,971",.07,,
SVW,Seven Grp Hldgs,FPO,,"228,581",,,"308,160,281",.07,,
UGL,UGL,FPO,,"130,826",,,"166,511,240",.07,,
SGP,Stockland ,STAPLED,,"1,658,175",,,"2,202,657,963",.07,,
TSE,Transfield Services,FPO,,"366,146",,,"512,457,716",.07,,
KAR,Karoon Gas Aust,FPO,,"171,363",,,"221,420,769",.07,,
IAU,Intrepid Mines,FPO,,"374,450",,,"555,792,572",.06,,
APN,APN News & Media,FPO,,"414,042",,,"661,526,586",.06,,
NAB,National Aust Bank,FPO,,"1,626,904",,,"2,342,421,436",.06,,
MIN,Mineral Res,FPO,,"112,652",,,"185,957,992",.06,,
NXT,NEXTDC,FPO,,"115,882",,,"173,102,288",.06,,
HZN,Horizon Oil,FPO,,"677,606",,,"1,135,266,515",.06,,
AAD,Ardent Leisure Grp,STAPLED,,"275,871",,,"397,803,987",.06,,
