ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4767.8 at 16:47 19/11/2009  Report at 19:08 . Processed 13:21 Friday 20/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""PBT",Prana Biotechnology ,FPO,"26,700","23,500",88.01,0.00,"233,050,871","0.01""",,,,,,,,,
"""DVN",Devine ,FPO,"142,372","111,100",78.03,-1.06,"315,486,872","0.03""",,,,,,,,,
"""WHG",WHK Group ,FPO,"241,956","188,186",77.77,-0.95,"263,258,335","0.07""",,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,"1,348","1,048",77.74,1.75,"51,900,000","0.00""",,,,,,,,,
"""AVG",Australian Vintage,FPO,"153,668","109,372",71.17,-6.89,"128,282,317","0.08""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"1,043,561","658,917",63.14,1.38,"175,671,398","0.37""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"883,673","540,315",61.14,-1.37,"338,286,375","0.16""",,,,,,,,,
"""API",Australian Pharmaceutical,FPO,"1,951,803","1,180,000",60.45,-1.51,"377,715,762","0.31""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"515,663","275,000",53.32,-0.52,"474,322,094","0.05""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"809,717","422,604",52.19,0.14,"388,429,875","0.10""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"574,523","253,469",44.11,-0.96,"603,580,761","0.04""",,,,,,,,,
"""CCD",Caledon Resources,CDI,"35,207","15,000",42.60,-1.98,"30,206,041","0.05""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"11,478,893","4,705,092",40.98,-1.58,"2,805,460,371","0.16""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"10,785,572","4,249,956",39.40,0.61,"3,356,081,497","0.12""",,,,,,,,,
