ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4913.5 at 16:37 23/4/2010  Report at 19:12 Friday 23/4/2010!. Processed 11:05 Tuesday 27/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""SUH",Southern Hemisphere Mining Ltd,CDI 1:1,"25,000","20,000",80.00,0.00,"94,494,912","0.02""",,,,,,,,,
"""MTS",Metcash ,FPO,"7,868,109","5,613,143",71.34,-0.24,"765,640,891","0.73""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"9,584,594","5,520,915",57.60,0.00,"2,709,995,932","0.20""",,,,,,,,,
"""ZIM",Zimplats Holdings ,FPO 10CUS,"4,000","2,251",56.27,0.85,"107,637,649","0.00""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"3,578,974","1,872,068",52.30,1.18,"1,031,911,394","0.18""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"582,943","304,800",52.28,-1.43,"367,098,825","0.08""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"35,036,894","16,087,072",45.91,3.49,"6,205,676,188","0.25""",,,,,,,,,
"""FPA",Fisher & Paykel Appliances,FPO NZ,"708,645","321,709",45.39,-1.09,"724,235,162","0.04""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"2,409,895","1,014,271",42.08,0.16,"270,000,000","0.37""",,,,,,,,,
"""PMP",PMP ,FPO,"70,188","28,829",41.07,-2.74,"335,348,483","0.00""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"10,187,774","4,115,008",40.39,0.72,"1,823,322,017","0.22""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,452,913","571,114",39.30,1.10,"707,511,545","0.08""",,,,,,,,,
"""RRS",Range Resources ,FPO,"1,313,236","500,000",38.07,-6.45,"787,576,758","0.06""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"14,213,425","5,383,044",37.87,-1.04,"2,078,994,021","0.25""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"1,830,723","674,232",36.82,0.41,"702,867,609","0.09""",,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"2,027,123","718,214",35.43,-2.29,"707,757,674","0.10""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"32,929","11,663",35.41,1.10,"148,673,282","0.00""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"1,625,790","556,307",34.21,-2.90,"435,384,268","0.12""",,,,,,,,,
"""NUF",Nufarm ,FPO,"3,204,279","1,088,746",33.97,0.00,"218,126,718","0.49""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"7,587,926","2,572,613",33.90,-0.85,"1,005,151,794","0.25""",,,,,,,,,
"""CSL",CSL ,FPO,"25,354,079","8,505,693",33.54,-7.26,"576,213,193","1.47""",,,,,,,,,
"""BLD",Boral ,FPO,"2,590,891","863,459",33.32,-0.17,"598,952,998","0.14""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"1,741,088","569,708",32.72,-1.53,"255,003,613","0.22""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"6,738,595","2,188,078",32.47,1.05,"2,510,727,671","0.08""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"8,154,095","2,607,468",31.97,-0.19,"2,533,518,438","0.10""",,,,,,,,,
"""PMV",Premier Investments ,FPO,"184,718","58,440",31.63,-0.13,"150,808,102","0.03""",,,,,,,,,
"""APA",APA Group,STAPLED,"641,663","194,071",30.24,0.53,"542,318,629","0.03""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"10,739,802","3,247,166",30.23,-1.09,"1,930,403,911","0.16""",,,,,,,,,
"""AWC",Alumina ,FPO,"14,119,252","4,243,411",30.05,0.59,"2,440,196,187","0.17""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,681,760","505,373",30.05,1.76,"508,524,465","0.09""",,,,,,,,,
"""TRS",The Reject Shop ,FPO,"30,068","9,032",30.03,-0.29,"25,973,070","0.03""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"8,746,690","2,622,157",29.97,-1.70,"2,265,123,620","0.11""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"6,127,074","1,828,988",29.85,1.64,"2,012,803,230","0.09""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"351,456","103,005",29.30,0.11,"156,070,648","0.06""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"3,056,233","891,834",29.18,-0.79,"151,920,368","0.58""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"650,867","187,000",28.73,-3.64,"177,546,198","0.10""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"3,670,986","1,041,213",28.36,-3.29,"1,167,783,517","0.08""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"262,592","74,032",28.19,-0.36,"497,233,764","0.01""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"2,413,376","667,629",27.66,0.94,"483,493,006","0.13""",,,,,,,,,
"""SGP",Stockland,STAPLED,"5,363,785","1,472,076",27.44,1.48,"2,383,036,717","0.06""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"23,123,276","6,325,898",27.35,1.38,"3,247,874,742","0.19""",,,,,,,,,
"""PIH",Prime Infrastructure.,STAPLED,"1,141,096","304,595",26.69,4.47,"351,776,795","0.08""",,,,,,,,,
"""AAX",Ausenco ,FPO,"277,337","72,505",26.14,0.00,"122,337,599","0.05""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"764,183","192,679",25.21,-1.34,"533,379,348","0.03""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"13,917,148","3,489,408",25.07,-0.56,"3,356,081,497","0.10""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"1,738,139","435,601",25.06,-0.34,"635,132,810","0.06""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"1,824,856","454,733",24.91,-0.90,"565,558,754","0.08""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"36,636,485","9,080,798",24.78,0.63,"12,443,074,357","0.07""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"3,044,772","751,309",24.67,2.36,"434,530,879","0.17""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"351,999","86,683",24.62,0.32,"620,709,233","0.01""",,,,,,,,,
"""FLT",Flight Centre ,FPO,"223,238","54,863",24.57,-1.09,"99,755,858","0.05""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"727,392","169,095",23.24,0.17,"493,550,069","0.03""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"3,224,666","748,280",23.20,1.23,"1,281,937,479","0.05""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"2,467,710","571,557",23.16,4.45,"603,580,761","0.09""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"8,520,536","1,960,839",23.01,1.46,"2,307,773,663","0.08""",,,,,,,,,
"""CPU",Computershare,FPO,"1,636,229","374,836",22.90,1.85,"555,664,059","0.06""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"14,888,309","3,399,400",22.83,-0.83,"3,121,339,730","0.10""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"2,140,052","485,659",22.69,-1.13,"3,873,085,929","0.01""",,,,,,,,,
"""CDU",Cudeco ,FPO,"291,782","65,805",22.55,-0.20,"137,285,632","0.04""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"3,060,997","686,348",22.42,-0.32,"2,067,095,545","0.03""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"1,754,741","391,123",22.29,-1.13,"780,136,909","0.05""",,,,,,,,,
"""CWN",Crown ,FPO,"2,018,535","445,255",22.05,-2.30,"753,555,290","0.05""",,,,,,,,,
"""CSR",CSR ,FPO,"29,164,831","6,413,539",21.99,5.62,"1,514,920,814","0.42""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"1,686,556","365,286",21.65,0.69,"1,212,723,832","0.03""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"1,767,572","381,726",21.59,-0.49,"865,224,422","0.04""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,294,298","279,441",21.59,1.23,"543,241,448","0.05""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"9,794,848","2,082,593",21.26,3.08,"1,081,066,538","0.19""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"3,566,838","756,399",21.20,-2.58,"394,781,237","0.19""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"1,085,275","225,900",20.81,1.82,"336,582,351","0.06""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"7,683,308","1,534,115",19.96,1.49,"4,611,574,674","0.03""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"4,632,973","920,510",19.86,-4.30,"713,154,560","0.12""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"1,023,578","200,143",19.55,-1.03,"239,430,765","0.08""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"648,135","124,969",19.28,-1.04,"344,632,088","0.03""",,,,,,,,,
"""AMP",AMP ,FPO,"6,499,997","1,242,329",19.11,-0.78,"2,071,925,423","0.06""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"7,052,544","1,343,537",19.05,0.00,"1,077,174,611","0.12""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"9,176,134","1,734,798",18.90,-1.40,"2,976,728,931","0.05""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,153,995","405,857",18.84,-0.18,"880,639,872","0.04""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"5,851,808","1,094,097",18.69,-1.79,"717,142,802","0.15""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"1,431,343","264,739",18.49,-0.77,"205,212,842","0.12""",,,,,,,,,
"""ELD",Elders ,FPO,"1,354,622","249,025",18.38,-1.94,"448,598,480","0.05""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"156,729","28,725",18.32,0.16,"120,437,014","0.02""",,,,,,,,,
"""ANN",Ansell ,FPO,"712,105","128,987",18.11,0.41,"131,577,652","0.09""",,,,,,,,,
"""TSI",Transfield Services Infra,STAPLED,"187,627","33,662",17.94,1.08,"274,817,488","0.01""",,,,,,,,,
"""CTO",Citigold Corporation ,FPO,"468,750","82,614",17.62,-3.70,"908,565,634","0.00""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"3,964,429","697,792",17.60,0.00,"1,165,034,662","0.06""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"2,670,458","453,266",16.97,-0.82,"1,035,056,133","0.04""",,,,,,,,,
"""GXY",Galaxy Resources ,FPO,"656,174","111,300",16.96,1.01,"152,153,358","0.07""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"2,623,471","440,230",16.78,1.16,"520,081,488","0.08""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"13,497,162","2,252,632",16.69,-1.37,"3,106,885,545","0.07""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"2,474,879","409,796",16.55,-1.11,"462,915,574","0.08""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"64,388","10,648",16.53,-0.35,"65,276,374","0.01""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"243,681","40,290",16.53,-2.56,"248,219,660","0.01""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"4,569,545","753,439",16.48,1.15,"1,062,316,784","0.07""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"1,225,979","197,572",16.11,0.00,"576,777,900","0.03""",,,,,,,,,
"""GNC",Graincorp ,FPO,"659,145","105,588",16.01,-0.16,"198,318,900","0.05""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"956,008","152,161",15.91,0.00,"686,759,634","0.02""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"3,882,825","613,615",15.80,-1.14,"491,178,342","0.12""",,,,,,,,,
"""OGC",OceanaGold Corporation,CDI,"128,865","20,333",15.77,-1.48,"228,003,726","0.00""",,,,,,,,,
"""GNS",Gunns ,FPO,"2,313,070","355,325",15.36,1.94,"806,734,892","0.04""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,952,968","606,541",15.34,-1.35,"1,548,727,174","0.03""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"69,379","10,648",15.34,0.10,"61,065,933","0.01""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"4,226,619","645,013",15.26,-0.53,"606,831,240","0.10""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,676,382","250,780",14.96,-0.43,"612,625,759","0.04""",,,,,,,,,
"""OST",OneSteel ,FPO,"8,680,415","1,293,322",14.89,-0.80,"1,331,583,166","0.09""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,736,631","256,407",14.76,3.47,"960,638,735","0.02""",,,,,,,,,
"""BXB",Brambles ,FPO,"3,859,007","564,842",14.63,-0.27,"1,421,883,078","0.04""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"2,785,201","400,663",14.38,0.00,"1,296,751,361","0.03""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"1,144,930","162,906",14.22,-0.46,"200,184,686","0.08""",,,,,,,,,
"""SEK",Seek ,FPO,"1,115,834","152,299",13.64,1.91,"336,584,488","0.04""",,,,,,,,,
"""SUL",Super Cheap Auto Group ,FPO,"92,095","12,541",13.61,-0.97,"108,802,493","0.01""",,,,,,,,,
"""IVC",Invocare ,FPO,"65,418","8,819",13.48,-0.48,"102,069,091","0.00""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"1,704,632","229,327",13.45,3.30,"497,510,150","0.04""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"657,155","87,744",13.35,0.99,"420,711,773","0.02""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"164,776","21,968",13.33,0.34,"259,126,131","0.00""",,,,,,,,,
"""STW",SPDR S&P/ASX 200 Fund,ETF UNITS,"73,195","9,759",13.33,-0.47,"48,979,172","0.02""",,,,,,,,,
"""AWB",AWB ,FPO,"1,543,652","202,384",13.11,0.47,"817,304,356","0.02""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"13,497,908","1,763,866",13.06,0.28,"2,351,955,725","0.07""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"6,455,850","838,615",12.99,-0.33,"1,281,390,524","0.06""",,,,,,,,,
"""IGO",Independence Group,FPO,"219,399","28,457",12.97,-0.64,"113,691,039","0.02""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"614,835","79,580",12.94,0.02,"300,687,299","0.02""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"1,047,168","134,422",12.83,0.00,"289,349,776","0.04""",,,,,,,,,
"""AMC",Amcor ,FPO,"5,054,063","643,969",12.74,-0.62,"1,221,188,753","0.05""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"1,864,690","236,287",12.67,0.00,"764,907,820","0.03""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"117,069","14,823",12.66,1.27,"232,465,800","0.00""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"14,875,733","1,883,465",12.66,1.25,"4,820,821,799","0.03""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"7,523,602","949,627",12.62,-0.31,"2,121,066,699","0.04""",,,,,,,,,
"""WOW",Woolworths ,FPO,"3,342,996","417,816",12.49,-0.66,"1,240,000,138","0.03""",,,,,,,,,
