ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4831.5 at 16:35 12/3/2010  Report at 19:08 Friday 12/3/2010!. Processed 11:23 Monday 15/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""AVO",Avoca Resources ,FPO,"961,748","656,288",68.23,-0.75,"287,755,246","0.22""",,,,,,,,,
"""BNO",Bionomics ,FPO,"10,300","6,800",66.01,0.00,"318,174,279","0.00""",,,,,,,,,
"""TGR",Tassal Group ,FPO,"225,483","134,493",59.64,0.00,"140,355,647","0.09""",,,,,,,,,
"""GNSPA",Gunns ,FORESTS,"3,689","2,003",54.29,0.06,"1,200,000","0.16""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"744,727","354,544",47.60,-1.41,"151,920,368","0.23""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"1,758,291","823,465",46.83,0.43,"798,520,953","0.10""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"88,054","39,934",45.35,2.04,"64,583,988","0.06""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"5,980,869","2,674,611",44.71,1.80,"496,845,037","0.53""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,164,635","909,254",42.00,0.54,"606,831,240","0.15""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"6,522,671","2,648,175",40.60,-1.32,"434,508,164","0.60""",,,,,,,,,
"""CSL",CSL ,FPO,"2,124,460","832,631",39.19,-0.24,"582,876,567","0.14""",,,,,,,,,
"""AMP",AMP ,FPO,"3,981,325","1,517,147",38.10,0.16,"2,048,645,162","0.07""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"5,811,530","2,205,025",37.94,-0.87,"1,299,562,220","0.17""",,,,,,,,,
"""BLD",Boral ,FPO,"755,793","286,069",37.85,0.18,"595,313,279","0.04""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"2,094,278","789,200",37.68,-0.17,"748,312,667","0.10""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"215,393","79,827",37.06,0.00,"264,264,459","0.03""",,,,,,,,,
"""CXC",Coeur d'Alene Mines,CDI 1:1,"12,550","4,643",36.99,4.52,"4,361,857","0.10""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"1,677,681","599,227",35.71,0.91,"483,397,504","0.12""",,,,,,,,,
"""ORI",Orica ,FPO,"688,293","243,535",35.38,0.15,"361,088,962","0.06""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"9,388,543","3,296,796",35.11,1.44,"2,067,095,545","0.15""",,,,,,,,,
"""MDL",Mineral Deposits ,FPO,"152,899","50,535",33.05,-4.50,"573,625,950","0.00""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"446,309","146,563",32.83,-0.82,"120,437,014","0.12""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"754,810","246,009",32.59,-0.96,"413,727,231","0.05""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"3,140,603","1,010,015",32.16,0.80,"2,729,071,212","0.03""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"3,251,864","1,043,292",32.08,-0.69,"460,804,793","0.22""",,,,,,,,,
"""ANN",Ansell ,FPO,"534,038","170,049",31.84,-2.12,"131,574,652","0.12""",,,,,,,,,
"""UXC",UXC ,FPO,"1,172,799","369,556",31.51,-6.48,"243,188,341","0.15""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"415,922","129,154",31.05,0.44,"168,132,810","0.07""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"1,277,728","396,227",31.01,0.00,"1,813,551,794","0.02""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,884,006","1,197,794",30.83,-0.96,"1,005,151,794","0.11""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"381,531","112,277",29.42,0.51,"1,823,698,244","0.00""",,,,,,,,,
