ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4715.5 at 16:47 30/11/2009  Report at 19:09 Monday 30/11/2009!. Processed 12:29 Tuesday 1/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"3,068,339","1,842,981",60.06,-0.80,"462,094,914","0.39""",,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,"5,198","3,000",57.71,-2.78,"51,900,000","0.00""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"3,576,151","2,016,400",56.38,-3.03,"603,580,761","0.33""",,,,,,,,,
"""TSM",ThinkSmart ,FPO,"555,577","279,530",50.31,8.23,"96,689,390","0.28""",,,,,,,,,
"""IVV",iShares S&P 500,CDI 1:1,"8,257","4,151",50.27,-0.03,"116,350,000","0.00""",,,,,,,,,
"""GOLD",ETFS Metal Securities Australia,ETFS GOLD,"26,742","12,793",47.83,-2.27,"4,886,109","0.26""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,272,726","899,959",39.59,1.23,"503,524,465","0.17""",,,,,,,,,
"""ABY",Aditya Birla Minerals ,FPO,"843,356","309,423",36.68,6.15,"313,372,551","0.09""",,,,,,,,,
"""MMG",Macquarie Media Group,STAPLED,"3,579,708","1,275,522",35.63,0.00,"306,076,656","0.41""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"2,693,081","903,884",33.56,3.19,"433,076,021","0.20""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"14,045,857","4,485,106",31.93,3.11,"2,926,103,883","0.15""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"699,107","219,593",31.41,5.00,"169,781,960","0.12""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"21,074,514","6,442,556",30.57,5.96,"2,095,594,763","0.30""",,,,,,,,,
"""CRG",Crane Group ,FPO,"335,094","101,505",30.29,2.52,"77,684,223","0.13""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"10,026,815","2,844,943",28.37,0.00,"1,860,813,983","0.15""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,526,399","998,519",28.31,3.36,"1,005,136,141","0.09""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"12,952,730","3,604,278",27.82,2.25,"3,356,081,497","0.10""",,,,,,,,,
