ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4773.8 at 16:47 16/11/2009  Report at 19:05 Monday 16/11/2009. Processed 11:19 Tuesday 17/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ASL",Ausdrill ,FPO,"1,606,624","1,034,546",64.39,-0.28,"175,671,398","0.58""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"1,062,286","637,512",60.01,2.09,"798,520,953","0.08""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"320,481","190,484",59.43,-2.36,"474,242,606","0.04""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,116,653","621,836",55.68,2.87,"533,379,348","0.11""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"4,653,477","2,337,328",50.22,1.28,"2,805,460,371","0.08""",,,,,,,,,
"""CSL",CSL ,FPO,"1,706,102","831,989",48.76,0.53,"598,245,929","0.13""",,,,,,,,,
"""PPT",Perpetual ,FPO,"338,278","157,382",46.52,2.65,"42,879,253","0.36""",,,,,,,,,
"""IVC",Invocare ,FPO,"154,412","70,291",45.52,-0.49,"101,834,236","0.06""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"417,652","177,540",42.50,1.65,"298,171,836","0.06""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,025,759","853,077",42.11,2.42,"503,524,465","0.16""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"37,267,750","15,671,955",42.05,1.51,"12,443,074,357","0.12""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"11,736,240","4,926,204",41.97,0.00,"2,483,693,809","0.19""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"14,676,971","5,864,602",39.95,2.79,"3,356,081,497","0.17""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"2,885,703","1,137,552",39.42,1.02,"1,166,347,845","0.09""",,,,,,,,,
"""NRT",Novogen ,FPO,"155,811","58,501",37.54,-6.48,"102,125,894","0.05""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"884,754","328,154",37.09,0.73,"448,868,339","0.07""",,,,,,,,,
"""HSP",Healthscope ,FPO,"747,639","275,232",36.81,-0.20,"314,241,491","0.08""",,,,,,,,,
"""GWT",GWA International ,FPO,"408,661","144,521",35.36,1.41,"300,667,514","0.04""",,,,,,,,,
"""API",Australian Pharmaceutical,FPO,"1,339,082","465,332",34.75,-0.75,"377,715,762","0.12""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"514,531","172,138",33.45,0.98,"388,429,875","0.04""",,,,,,,,,
"""AHD",Amalgamated Holdings ,FPO,"124,255","39,686",31.93,-4.31,"129,009,875","0.03""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"3,341,510","1,057,794",31.65,2.76,"1,062,316,784","0.10""",,,,,,,,,
"""SGP",Stockland,STAPLED,"6,843,767","2,089,728",30.53,0.98,"2,383,036,717","0.08""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"4,194,244","1,235,540",29.45,1.24,"2,078,994,021","0.05""",,,,,,,,,
"""BLD",Boral ,FPO,"1,410,261","412,408",29.24,2.74,"595,313,279","0.06""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"9,496,468","2,724,021",28.68,-2.05,"2,941,632,293","0.09""",,,,,,,,,
"""AVJ",AVJennings ,FPO,"17,856","5,000",28.00,-2.70,"274,588,694","0.00""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"10,417,376","2,916,943",28.00,3.21,"3,121,339,730","0.09""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,372,919","922,256",27.34,-0.68,"1,534,246,082","0.06""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"6,914,780","1,822,617",26.35,1.50,"1,860,813,983","0.09""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"4,030,802","1,058,549",26.26,1.69,"2,662,931,420","0.04""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"4,268,351","1,116,163",26.15,4.83,"606,831,240","0.18""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"18,500,126","4,773,976",25.80,3.28,"2,351,955,725","0.20""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"8,768,148","2,245,047",25.60,-0.56,"2,307,770,787","0.09""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"336,891","84,098",24.96,-0.97,"264,264,459","0.03""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"848,341","211,000",24.87,2.03,"168,841,960","0.12""",,,,,,,,,
"""FAN",Fantastic Holdings ,FPO,"654,085","160,348",24.51,1.48,"102,579,941","0.15""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"4,952,828","1,189,993",24.02,1.05,"706,253,212","0.16""",,,,,,,,,
