ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4456.7 at 16:38 15/7/2010  Report at 19:06 Thursday 15/7/2010!. Processed 12:59 Friday 16/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"6,884,872","1,436,802",20.86,0.25,"2,510,727,671","0.05""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"3,526,144","730,033",20.70,-0.24,"336,582,351","0.21""",,,,,,,,,
"""DUE",Duet Group,FORUS,"2,392,948","491,419",20.53,2.07,"870,559,400","0.05""",,,,,,,,,
"""WOW",Woolworths ,FPO,"2,256,095","463,161",20.52,-0.48,"1,231,191,381","0.03""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"429,519","88,104",20.51,0.00,"508,158,296","0.01""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"1,716,682","348,176",20.28,-0.35,"1,281,390,524","0.02""",,,,,,,,,
"""OST",OneSteel ,FPO,"6,810,564","1,370,686",20.12,0.34,"1,331,583,166","0.10""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"356,125","71,073",19.95,0.92,"177,546,198","0.04""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"2,393,225","470,239",19.64,5.26,"290,492,011","0.16""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"4,133,573","808,728",19.56,1.42,"686,759,634","0.11""",,,,,,,,,
"""AMC",Amcor ,FPO,"4,816,208","936,786",19.45,1.04,"1,221,647,084","0.07""",,,,,,,,,
"""WSA",Western Areas,FPO,"1,345,731","259,561",19.28,3.36,"179,735,899","0.14""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"1,981,131","380,714",19.21,1.61,"499,623,232","0.07""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"1,044,136","200,638",19.21,-0.38,"388,429,875","0.05""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"6,581,869","1,258,881",19.12,-1.65,"2,307,773,663","0.05""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"17,531,944","3,340,372",19.05,-2.95,"4,820,821,799","0.06""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"1,617,258","305,426",18.88,0.73,"418,700,517","0.07""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"268,215","50,628",18.87,-0.14,"216,011,546","0.02""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"10,164,268","1,905,620",18.74,0.17,"1,930,432,682","0.09""",,,,,,,,,
"""GRY",Gryphon Minerals ,FPO,"990,371","185,111",18.69,7.38,"216,231,598","0.08""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,749,307","319,622",18.27,2.95,"960,638,735","0.03""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,064,580","194,442",18.26,-0.27,"450,076,509","0.04""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"5,473,795","997,946",18.23,0.00,"631,237,586","0.15""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"524,082","91,794",17.51,0.00,"603,580,761","0.01""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"1,207,553","209,148",17.32,-1.87,"491,428,342","0.04""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"26,781,668","4,630,820",17.29,-0.79,"6,369,751,394","0.07""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"2,526,358","433,986",17.17,-0.42,"1,281,937,479","0.03""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"1,493,523","256,001",17.14,0.13,"772,670,160","0.03""",,,,,,,,,
"""UGL",UGL ,FPO,"306,334","51,827",16.91,0.70,"165,928,705","0.03""",,,,,,,,,
"""BKN",Bradken ,FPO,"759,498","128,137",16.87,1.96,"138,747,494","0.09""",,,,,,,,,
"""NHC",New Hope Corp ,FPO,"189,384","31,845",16.81,0.00,"827,730,549","0.00""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"678,141","111,790",16.48,-0.68,"1,166,821,398","0.01""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"1,160,190","188,608",16.25,-0.27,"1,062,316,784","0.01""",,,,,,,,,
"""SMX",SMS Management & Tech,FPO,"150,140","24,397",16.25,-2.90,"66,781,500","0.03""",,,,,,,,,
"""AWB",AWB ,FPO,"2,170,383","345,377",15.91,0.50,"817,304,356","0.04""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"1,273,155","199,540",15.67,-1.55,"435,438,790","0.04""",,,,,,,,,
"""PNA",PanAust ,FPO,"7,492,645","1,167,705",15.58,0.00,"2,953,925,939","0.04""",,,,,,,,,
"""AAX",Ausenco ,FPO,"639,857","99,600",15.56,0.00,"122,427,576","0.08""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"4,354,911","669,788",15.38,-1.16,"2,121,379,130","0.03""",,,,,,,,,
"""ORI",Orica ,FPO,"1,383,434","211,178",15.26,1.67,"362,100,430","0.05""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,046,292","308,335",15.06,-0.76,"880,668,872","0.03""",,,,,,,,,
"""ERA",ERA,FPO 'A',"336,501","50,531",15.01,0.65,"190,737,934","0.02""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"5,037,234","747,805",14.84,-0.86,"2,265,123,620","0.03""",,,,,,,,,
"""TRY",Troy Resources,FPO,"121,451","18,006",14.82,0.80,"87,474,323","0.02""",,,,,,,,,
