ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4896.3 at 16:34 25/3/2010  Report at 19:06 Thursday 25/3/2010. Processed 11:17 Friday 26/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,"4,003","4,003",100.00,0.18,"51,900,000","0.00""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"713,791","535,090",74.96,0.15,"151,920,368","0.35""",,,,,,,,,
"""OKN",Oakton ,FPO,"96,857","64,100",66.18,-1.48,"91,857,235","0.07""",,,,,,,,,
"""CDI",Challenger Diversified Prop,STAPLED,"1,042,920","689,084",66.07,-1.85,"913,426,007","0.07""",,,,,,,,,
"""SUL",Super Cheap Auto Group ,FPO,"13,138","7,489",57.00,-1.66,"108,141,356","0.00""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,775,326","980,351",55.22,-2.18,"533,379,348","0.18""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"3,766,265","1,947,021",51.69,1.83,"606,831,240","0.32""",,,,,,,,,
"""COH",Cochlear ,FPO,"390,654","196,708",50.35,0.53,"56,543,401","0.34""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,535,465","1,132,053",44.64,0.00,"503,524,465","0.22""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"2,821,545","1,173,750",41.60,3.07,"418,700,517","0.28""",,,,,,,,,
"""STO",Santos ,FPO,"9,954,153","3,954,278",39.72,2.71,"831,413,347","0.47""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"2,549,790","973,675",38.18,-0.75,"603,580,761","0.16""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"652,362","242,040",37.10,-0.17,"270,000,000","0.09""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,285,518","1,192,974",36.31,-0.01,"1,534,295,722","0.07""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"23,290,544","8,216,456",35.27,-0.09,"3,356,081,497","0.24""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"636,234","219,634",34.52,2.33,"202,081,252","0.10""",,,,,,,,,
"""ANN",Ansell ,FPO,"769,809","263,830",34.27,-2.47,"131,577,652","0.20""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,259,492","421,644",33.47,-1.31,"448,868,339","0.09""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"418,113","139,519",33.36,-0.79,"203,496,058","0.06""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"4,035,106","1,282,634",31.78,-0.22,"481,619,331","0.26""",,,,,,,,,
"""GNC",Graincorp ,FPO,"406,499","124,331",30.58,-0.32,"198,318,900","0.06""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"16,851,689","5,030,625",29.85,0.00,"1,823,322,017","0.27""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"60,716,843","17,896,851",29.47,56.52,"1,561,166,672","1.14""",,,,,,,,,
"""CRG",Crane Group ,FPO,"293,660","86,438",29.43,-0.11,"77,684,223","0.11""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"828,189","239,137",28.87,-1.69,"197,428,524","0.12""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"2,323,851","656,543",28.25,0.12,"777,245,797","0.08""",,,,,,,,,
"""CSL",CSL ,FPO,"2,651,770","748,120",28.21,1.34,"579,699,101","0.12""",,,,,,,,,
