ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4509.4 at 16:38 23/6/2010  Report at 19:06 Wednesday 23/6/2010!. Processed 12:23 Thursday 24/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ETPMP",T  ETFS Metal Securities Australia,ETFS PT,36,36,100.00,0.00,"36,000","0.10""",,,,,,,,,
"""NPX",Nuplex Industries ,FPO NZ,"5,000","5,000",100.00,-2.00,"192,232,926","0.00""",,,,,,,,,
"""IVA",Ivanhoe Australia ,FPO,"33,939","25,697",75.71,-3.01,"70,955,953","0.03""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"8,850","6,241",70.52,-0.44,"238,640,580","0.00""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"5,007,747","3,171,992",63.34,-1.28,"3,940,145,951","0.08""",,,,,,,,,
"""PMV",Premier Investments ,FPO,"47,552","26,918",56.60,-1.60,"155,030,045","0.01""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"784,309","429,403",54.74,-6.48,"322,273,136","0.13""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"963,012","519,888",53.98,-1.03,"491,328,342","0.10""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"161,276","86,517",53.64,-0.53,"169,365,966","0.05""",,,,,,,,,
"""NDO",Nido Petroleum ,FPO,"6,664,458","3,406,924",51.12,-2.85,"1,080,658,378","0.31""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"871,914","420,660",48.24,-2.07,"270,000,000","0.15""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"3,584,813","1,721,954",48.03,-1.78,"958,061,849","0.18""",,,,,,,,,
"""AWC",Alumina ,FPO,"12,068,798","5,695,642",47.19,-1.81,"2,440,196,187","0.23""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"381,044","176,774",46.39,-1.16,"202,081,252","0.08""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"9,142,051","4,200,523",45.94,-0.50,"2,012,803,230","0.20""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"867,611","386,079",44.49,0.35,"108,344,987","0.35""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,678,828","1,160,347",43.31,-2.17,"606,831,240","0.19""",,,,,,,,,
