Daily Gross Short Sales,,,,,,,,,,,,,,,,,,,,
ASX & CHI-X SHORT SALES: REPORTED FOR Friday, March 27, 2015,,,,,,,,,,,,,,,,,,,,
"Report at Friday, March 27, 2015. Processed Monday at 2015-03-30T12:15:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
BKN,Bradken,FPO,,"782,188",,,"171,027,249",.45,,
MIN,Mineral Resources,FPO,,"834,804",,,"187,270,274",.44,,
ARI,Arrium,FPO,,"11,966,974",,,"2,937,293,755",.40,,
MTS,Metcash,FPO,,"3,340,847",,,"928,357,876",.36,,
ORI,Orica,FPO,,"1,343,257",,,"372,743,291",.36,,
SGT,Singapore Tel ,CDI 1:1,,"448,208",,,"130,397,705",.34,,
ALQ,ALS,FPO,,"1,381,213",,,"407,246,306",.33,,
ILU,Iluka Res,FPO,,"1,356,128",,,"418,700,517",.32,,
BOQ,Bank of Qld,FPO,,"1,165,711",,,"366,982,047",.31,,
UGL,UGL,FPO,,"510,734",,,"166,511,240",.30,,
BPT,Beach Energy,FPO,,"3,653,440",,,"1,297,496,886",.28,,
IIN,iiNet,FPO,,"421,603",,,"162,950,896",.25,,
FMG,Fortescue Metals Grp,FPO,,"7,356,514",,,"3,113,798,151",.23,,
WOR,WorleyParsons,FPO,,"572,390",,,"244,389,452",.23,,
BDR,Beadell Resources,FPO,,"1,795,647",,,"798,657,280",.22,,
FLT,Flight Centre Travel,FPO,,"226,275",,,"100,795,991",.22,,
BSL,BlueScope Steel,FPO,,"1,266,993",,,"565,225,282",.22,,
STO,Santos,FPO,,"2,117,144",,,"1,002,155,772",.21,,
NST,Northern Star Res,FPO,,"1,235,872",,,"592,416,408",.20,,
RRL,Regis Res,FPO,,"997,208",,,"499,781,595",.20,,
GUD,GUD Hldgs,FPO,,"136,160",,,"70,939,492",.19,,
PRU,Perseus Min,FPO,,"1,022,306",,,"526,656,401",.19,,
MML,Medusa Min,FPO,,"395,621",,,"207,794,301",.19,,
MRM,MMA Offshore,FPO,,"687,686",,,"368,666,221",.18,,
PNA,PanAust,FPO,,"1,180,751",,,"647,862,526",.18,,
AQG,Alacer Gold,CDI 1:1,,"123,815",,,"72,780,012",.17,,
BLD,Boral,FPO,,"1,385,642",,,"782,736,249",.17,,
AGL,AGL Energy,FPO,,"1,184,735",,,"673,224,543",.17,,
MQG,Macquarie Grp,FPO,,"585,381",,,"331,145,063",.17,,
GEM,G8 Education,FPO,,"590,897",,,"359,151,207",.16,,
PRY,Primary Health Care,FPO,,"850,427",,,"512,130,550",.16,,
OFX,OzForex Grp,FPO,,"398,906",,,"240,000,000",.16,,
WOW,Woolworths,FPO,,"2,105,875",,,"1,263,154,987",.16,,
KMD,Kathmandu Hldgs,FPO,,"335,572",,,"201,484,583",.16,,
MND,Monadelphous Grp,FPO,,"141,510",,,"92,998,380",.15,,
AAD,Ardent Leisure Grp,STAPLED,,"700,150",,,"442,322,106",.15,,
KAR,Karoon Gas Aust,FPO,,"359,985",,,"246,621,832",.14,,
NSR,Natl Storage REIT,STAPLED,,"412,904",,,"295,631,660",.14,,
TPI,Transpacific Indust,FPO,,"2,238,917",,,"1,579,914,690",.14,,
CAB,Cabcharge Aust,FPO,,"164,816",,,"120,430,683",.13,,
SXY,Senex Energy,FPO,,"1,489,142",,,"1,149,657,377",.13,,
MYR,Myer Hldgs,FPO,,"780,221",,,"585,689,551",.13,,
CAR,Carsales.com,FPO,,"317,971",,,"239,001,759",.13,,
MMS,McMillan Shakespr,FPO,,"113,176",,,"81,810,993",.13,,
OZL,OZ Minerals,FPO,,"419,872",,,"303,470,022",.13,,
IPL,Incitec Pivot,FPO,,"2,104,026",,,"1,675,621,466",.12,,
DOW,Downer EDI,FPO,,"534,394",,,"435,399,975",.12,,
ANN,Ansell,FPO,,"194,949",,,"153,139,924",.12,,
SEK,Seek,FPO,,"442,049",,,"344,076,965",.12,,
EVN,Evolution Mining,FPO,,"784,847",,,"714,921,647",.11,,
SRX,Sirtex Medical,FPO,,"63,561",,,"56,530,231",.11,,
SGM,Sims Metal Mgt,FPO,,"238,146",,,"204,795,889",.11,,
CPU,Computershare,FPO,,"603,305",,,"556,203,079",.10,,
API,Aust Pharmaceutical,FPO,,"504,709",,,"488,115,883",.10,,
NUF,Nufarm,FPO,,"273,079",,,"264,948,132",.10,,
BXB,Brambles,FPO,,"1,595,540",,,"1,566,303,366",.10,,
SKI,Spark Infrastructure ,FORUS,,"1,580,589",,,"1,466,360,128",.10,,
ALL,Aristocrat Leisure,FPO,,"651,192",,,"633,822,253",.10,,
GXL,Greencross,FPO,,"117,780",,,"111,447,503",.10,,
GMG,Goodman Grp,STAPLED,,"1,841,841",,,"1,753,035,922",.10,,
DLS,Drillsearch Energy,FPO,,"474,414",,,"461,101,450",.10,,
VOC,Vocus Comms,FPO,,"109,040",,,"105,441,949",.10,,
