ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4656.7 at 10:29 17/2/2010  Report at 10:30 Wednesday 17/2/2010. Processed 11:23 Wednesday 17/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""KTE",K2 Energy ,FPO,"207,400","200,000",96.43,0.00,"128,708,322","0.15""",,,,,,,,,
"""CXC",Coeur d'Alene Mines,CDI 1:1,"5,748","4,119",71.66,1.07,"4,365,904","0.09""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"878,129","573,924",65.35,-0.42,"299,048,336","0.19""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"4,610,325","2,373,297",51.47,0.99,"1,005,148,015","0.23""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"15,153,084","7,760,664",51.21,1.75,"9,277,584,743","0.08""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,059,284","536,004",50.60,-1.27,"960,638,735","0.05""",,,,,,,,,
"""AAX",Ausenco ,FPO,"156,207","75,554",48.36,0.78,"121,861,958","0.06""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"527,129","243,161",46.12,0.00,"603,580,761","0.04""",,,,,,,,,
"""WHG",WHK Group ,FPO,"835,128","378,813",45.36,-0.45,"262,829,131","0.14""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"1,089,757","463,143",42.50,-3.01,"418,700,517","0.11""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"949,495","383,608",40.40,0.42,"503,544,941","0.07""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"3,371,167","1,314,724",38.99,0.00,"1,275,641,444","0.10""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"447,413","168,809",37.73,0.51,"203,496,058","0.08""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"573,638","204,011",35.56,3.62,"213,673,497","0.09""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"291,448","103,000",35.34,0.22,"97,443,268","0.10""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"9,088,997","3,179,596",34.98,-0.27,"3,356,081,497","0.09""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"106,519","36,621",34.38,0.89,"65,276,374","0.05""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"2,271,261","780,992",34.38,-0.49,"350,257,487","0.22""",,,,,,,,,
"""CRG",Crane Group ,FPO,"257,637","86,707",33.65,-3.62,"77,684,223","0.11""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"24,005","8,058",33.56,1.14,"62,959,971","0.01""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"3,076,588","969,174",31.50,-1.92,"476,975,890","0.20""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"1,577,199","496,956",31.50,-0.80,"1,167,783,517","0.04""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"21,902,211","6,882,105",31.42,6.18,"2,976,290,392","0.23""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"1,449,430","453,581",31.29,1.11,"1,031,911,394","0.04""",,,,,,,,,
"""EXT",Extract Resources,FPO,"24,354","7,299",29.97,1.28,"242,617,636","0.00""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"8,810,904","2,639,823",29.96,1.70,"2,209,126,568","0.11""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"6,571,652","1,910,510",29.07,-1.33,"2,483,693,809","0.07""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,553,991","732,998",28.70,0.01,"606,831,240","0.12""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"8,979,314","2,551,115",28.41,-2.14,"750,594,010","0.34""",,,,,,,,,
