ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4931.6 at 16:33 12/1/2010  Report at 19:13 Tuesday 12/1/2010. Processed 11:09 Wednesday 13/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ETPMP",ETFS Metal Securities Aust,ETFS PM,696,696,100.00,0.00,"12,500","5.56""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"639,096","387,230",60.59,0.00,"490,935,150","0.07""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"970,081","409,058",42.16,-1.05,"1,031,911,394","0.04""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"7,029,601","2,794,593",39.75,-0.84,"1,488,668,825","0.18""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"765,767","300,399",39.22,-0.73,"533,379,348","0.05""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,520,860","1,337,740",37.99,0.00,"1,534,246,082","0.08""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"19,642,302","7,253,949",36.93,-1.51,"2,996,570,442","0.24""",,,,,,,,,
"""MRU",NewSat ,FPO,"124,152","45,000",36.24,2.08,"122,454,994","0.03""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"210,231","75,951",36.12,0.28,"303,981,829","0.02""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"2,070,373","740,214",35.75,0.00,"414,227,380","0.17""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,186,276","419,692",35.37,-0.42,"464,564,682","0.09""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"8,960,305","3,128,607",34.91,-2.20,"3,356,081,497","0.09""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"2,484,185","866,899",34.89,-0.47,"1,005,145,616","0.08""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"7,712,102","2,656,789",34.45,-1.51,"3,102,737,233","0.08""",,,,,,,,,
"""CTO",Citigold Corporation ,FPO,"1,015,750","329,856",32.47,-3.57,"900,265,513","0.03""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"18,944,683","6,103,161",32.21,-1.56,"6,205,676,188","0.09""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"638,263","203,809",31.93,-0.64,"1,037,994,023","0.02""",,,,,,,,,
"""LEP",ALE Property Group,STAPLED,"353,461","110,000",31.12,-1.31,"151,519,561","0.07""",,,,,,,,,
"""LRL",Leyshon Resources ,FPO,"450,000","140,000",31.11,3.03,"218,255,692","0.06""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"4,662,621","1,442,440",30.93,-2.27,"1,751,297,420","0.08""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"1,946,103","597,367",30.69,-2.03,"606,831,240","0.09""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"967,288","292,203",30.20,-2.65,"388,429,875","0.07""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"689,606","196,690",28.52,-0.67,"798,520,953","0.02""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"2,434,749","694,296",28.51,-5.05,"1,167,783,517","0.05""",,,,,,,,,
"""APN",APN News & Media ,FPO,"477,326","133,646",27.99,0.00,"595,311,917","0.02""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"793,166","220,350",27.78,-1.84,"298,808,836","0.07""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"46,272,519","12,598,290",27.22,-1.19,"12,443,074,357","0.10""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"8,838,670","2,395,489",27.10,-1.15,"2,368,729,935","0.10""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,561,227","420,243",26.91,-3.53,"462,491,685","0.09""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"6,686,006","1,770,068",26.47,0.86,"2,209,126,568","0.08""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"302,034","79,624",26.36,-1.66,"603,580,761","0.01""",,,,,,,,,
"""MAP",MAp Group,FORUS,"4,005,903","1,009,251",25.19,-2.28,"1,861,210,782","0.05""",,,,,,,,,
"""AWC",Alumina ,FPO,"20,572,480","5,181,041",25.18,-4.85,"2,440,196,187","0.21""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"2,375,570","594,473",25.02,-2.95,"706,878,212","0.08""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"2,128,923","532,563",25.01,-0.98,"607,730,819","0.08""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"10,838,391","2,649,888",24.44,0.00,"3,873,085,929","0.06""",,,,,,,,,
"""CPU",Computershare,FPO,"759,300","185,617",24.44,-0.08,"555,654,059","0.03""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"2,198,771","531,504",24.17,0.00,"1,161,817,264","0.04""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"9,845,098","2,363,855",24.01,-3.06,"2,592,249,647","0.09""",,,,,,,,,
"""SXL",Southern Cross Media Group,STAPLED,"689,339","164,487",23.86,-5.58,"378,818,260","0.04""",,,,,,,,,
"""MOF",Macquarie Office Trust,UNIT,"25,969,360","6,070,197",23.37,0.00,"4,752,826,494","0.12""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,483,881","346,649",23.36,-0.98,"503,524,465","0.06""",,,,,,,,,
"""ENV",Envestra ,FPO,"706,989","164,799",23.31,0.00,"1,346,902,042","0.01""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,221,649","516,063",23.22,-1.46,"878,168,374","0.05""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"1,074,990","249,382",23.19,1.63,"434,401,349","0.05""",,,,,,,,,
"""TRS",The Reject Shop ,FPO,"110,237","25,428",23.06,-2.07,"25,973,070","0.09""",,,,,,,,,
"""EXT",Extract Resources,FPO,"172,648","39,681",22.98,-3.40,"242,617,636","0.01""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"851,541","195,687",22.98,-0.82,"203,464,058","0.09""",,,,,,,,,
"""BLD",Boral ,FPO,"1,744,960","398,781",22.85,-1.52,"595,313,279","0.06""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"2,831,814","644,802",22.77,0.55,"699,358,971","0.09""",,,,,,,,,
"""BBG",Billabong International ,FPO,"261,745","57,563",21.99,0.34,"252,863,336","0.02""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"8,517,995","1,860,909",21.84,-2.11,"1,624,890,447","0.11""",,,,,,,,,
"""OST",OneSteel ,FPO,"4,811,639","1,026,919",21.34,-2.74,"1,328,383,491","0.07""",,,,,,,,,
"""EPG",European Gas ,FPO,"80,000","17,000",21.25,0.00,"213,944,359","0.00""",,,,,,,,,
