ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 5011.6 at 16:37 12/4/2010  Report at 19:07 Monday 12/4/2010!. Processed 12:05 Tuesday 13/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""BTT",BT Investment Management ,FPO,"123,055","100,000",81.26,2.92,"160,000,000","0.06""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"2,818,986","1,766,550",62.66,-1.96,"483,397,504","0.36""",,,,,,,,,
"""COU",Count Financial ,FPO,"180,593","100,000",55.37,4.08,"258,195,805","0.03""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"4,356,645","2,382,462",54.68,0.00,"1,080,653,789","0.22""",,,,,,,,,
"""COH",Cochlear ,FPO,"163,341","88,279",54.04,1.71,"56,543,401","0.15""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"31,927,036","14,743,145",46.17,-0.34,"2,997,874,742","0.49""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,433,612","634,361",44.24,0.00,"960,638,735","0.06""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"4,580,338","2,019,812",44.09,-0.23,"717,142,802","0.28""",,,,,,,,,
"""SAI",SAI Global ,FPO,"399,276","170,465",42.69,1.22,"159,436,564","0.10""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"34,342,328","14,387,127",41.89,1.49,"6,205,676,188","0.23""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"1,261,690","521,631",41.34,-0.40,"491,069,791","0.10""",,,,,,,,,
"""SFH",Specialty Fashion Group ,FPO,"2,380,156","981,500",41.23,-2.98,"190,964,693","0.51""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"743,329","304,702",40.99,1.32,"533,379,348","0.05""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"1,309,990","495,873",37.85,0.00,"344,482,088","0.14""",,,,,,,,,
"""PPT",Perpetual ,FPO,"132,840","47,717",35.92,0.91,"43,411,178","0.11""",,,,,,,,,
"""SBM",St Barbara ,FPO,"9,284,372","3,235,820",34.85,0.00,"1,952,668,407","0.16""",,,,,,,,,
"""BBG",Billabong International ,FPO,"771,095","267,354",34.67,3.38,"252,863,336","0.10""",,,,,,,,,
