ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4686.8 at 16:34 17/2/2010  Report at 19:05 Wednesday 17/2/2010. Processed 12:10 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""PBG",Pacific Brands ,FPO,"1,892,030","384,754",20.33,2.27,"931,386,248","0.04""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"1,507,954","302,883",20.08,1.06,"1,062,316,784","0.02""",,,,,,,,,
"""MOL",Moly Mines ,FPO,"476,252","95,560",20.06,0.00,"156,680,677","0.06""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"1,587,697","317,539",20.00,1.59,"777,245,797","0.04""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"32,003,670","6,365,937",19.89,1.72,"9,277,584,743","0.06""",,,,,,,,,
"""WSA",Western Areas,FPO,"967,654","189,847",19.61,4.18,"179,735,899","0.10""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"3,000,902","579,084",19.29,4.30,"483,343,584","0.12""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,765,414","338,880",19.19,-0.20,"503,524,465","0.06""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"12,805,235","2,440,665",19.06,6.72,"2,209,126,568","0.11""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"443,518","84,494",19.05,4.15,"303,981,829","0.02""",,,,,,,,,
"""AOE",Arrow Energy ,FPO,"1,855,079","350,376",18.88,2.82,"732,381,533","0.04""",,,,,,,,,
"""DUE",Duet Group,FORUS,"1,280,617","241,824",18.88,0.28,"859,163,875","0.02""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"717,527","130,300",18.16,1.47,"299,048,336","0.04""",,,,,,,,,
"""CWN",Crown ,FPO,"1,611,849","290,915",18.04,2.36,"753,555,290","0.03""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,890,923","338,969",17.92,3.11,"462,755,572","0.07""",,,,,,,,,
