ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4651.1 at 16:35 26/2/2010  Report at 19:07 Friday 26/2/2010!. Processed 11:16 Monday 1/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""RSGO",Resolute Mining ,OPT DEC11,"103,000","59,000",57.28,0.00,"95,979,173","0.06""",,,,,,,,,
"""DUE",Duet Group,FORUS,"2,284,680","1,248,262",54.63,-0.54,"870,559,400","0.14""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"172,454","87,982",51.01,-0.51,"60,606,420","0.14""",,,,,,,,,
"""PPT",Perpetual ,FPO,"117,453","51,267",43.64,2.77,"42,981,208","0.11""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"331,765","136,759",41.22,-2.64,"264,264,459","0.05""",,,,,,,,,
"""SGP",Stockland,STAPLED,"10,117,749","4,094,373",40.46,0.74,"2,383,036,717","0.17""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"400,730","157,208",39.23,0.42,"177,116,198","0.08""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"3,189,152","1,244,937",39.03,2.01,"1,894,391,570","0.06""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"821,715","317,667",38.65,0.90,"238,997,693","0.13""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"5,628,531","2,164,472",38.45,-0.09,"1,005,148,015","0.21""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"191,167","72,165",37.75,-0.41,"474,538,913","0.01""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"654,101","241,875",36.97,2.21,"576,777,900","0.04""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"1,969,112","682,628",34.66,0.29,"388,429,875","0.17""",,,,,,,,,
"""MAP",MAp Group,FORUS,"4,511,682","1,427,950",31.65,2.29,"1,861,210,782","0.07""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"5,836,595","1,831,938",31.38,-0.91,"476,975,890","0.38""",,,,,,,,,
"""OST",OneSteel ,FPO,"5,978,848","1,855,882",31.04,0.00,"1,328,402,869","0.14""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"15,816,104","4,790,396",30.28,0.82,"2,209,126,568","0.21""",,,,,,,,,
"""CDU",Cudeco ,FPO,"271,132","81,056",29.89,-1.02,"137,285,632","0.05""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"607,230","181,554",29.89,-0.50,"320,880,521","0.05""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"19,972,207","5,959,855",29.84,-1.92,"2,997,874,742","0.19""",,,,,,,,,
"""GWT",GWA International ,FPO,"205,676","61,295",29.80,-0.64,"300,667,514","0.02""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"4,042,688","1,203,454",29.76,1.20,"1,775,790,668","0.06""",,,,,,,,,
"""ORI",Orica ,FPO,"1,119,328","329,886",29.47,0.88,"361,088,962","0.09""",,,,,,,,,
