ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4506.2 at 16:37 3/6/2010  Report at 19:05 Thursday 3/6/2010!. Processed 12:13 Friday 4/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""AAI",Alcoa Inc.,CDI,500,500,100.00,-8.82,"866,018,842","0.00""",,,,,,,,,
"""ETPMA",G  ETFS Metal Securities Australia,ETFS AG,280,280,100.00,-0.86,"455,585","0.06""",,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,524,524,100.00,2.01,"51,900,000","0.00""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"686,263","494,429",72.04,0.00,"264,264,459","0.18""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"4,912,317","3,263,705",66.43,1.73,"1,005,159,970","0.32""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"7,901,896","3,752,030",47.48,2.71,"2,012,803,230","0.18""",,,,,,,,,
"""DOM",Dominion Mining ,FPO,"204,348","90,488",44.28,-0.73,"103,327,059","0.08""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"860,176","363,401",42.24,3.18,"300,687,299","0.12""",,,,,,,,,
"""BRM",Brockman Resources ,FPO,"167,804","69,233",41.25,-0.62,"139,738,151","0.05""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"8,956,707","3,680,182",41.08,-2.11,"931,386,248","0.39""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"899,687","368,898",41.00,2.18,"558,008,815","0.06""",,,,,,,,,
"""MPO",Molopo Energy ,FPO,"505,505","192,400",38.06,0.00,"250,665,548","0.07""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"10,795,980","4,104,874",38.02,2.40,"3,356,081,497","0.12""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"944,470","357,850",37.88,1.18,"1,062,316,784","0.03""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"3,577,998","1,336,160",37.34,1.49,"483,493,006","0.27""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"2,492,363","926,841",37.18,4.73,"1,045,236,720","0.08""",,,,,,,,,
"""WEC",White Energy Company ,FPO,"859,728","318,754",37.07,2.10,"236,066,184","0.13""",,,,,,,,,
"""APN",APN News & Media ,FPO,"1,131,123","413,473",36.55,3.63,"598,823,853","0.06""",,,,,,,,,
"""CPU",Computershare,FPO,"2,281,669","825,655",36.18,3.80,"555,664,059","0.14""",,,,,,,,,
"""AWB",AWB ,FPO,"2,635,420","936,700",35.54,-0.49,"817,304,356","0.11""",,,,,,,,,
"""GRR",Grange Resources ,FPO,"2,730,799","952,725",34.88,4.12,"1,151,778,896","0.08""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"1,370,727","475,269",34.67,4.47,"635,132,810","0.07""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"3,876,497","1,334,591",34.42,-0.66,"1,916,860,491","0.07""",,,,,,,,,
"""ANN",Ansell ,FPO,"363,957","119,429",32.81,3.19,"131,577,652","0.09""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"848,475","278,248",32.79,1.49,"603,580,761","0.04""",,,,,,,,,
"""SBM",St Barbara ,FPO,"10,531,737","3,452,117",32.77,0.00,"1,952,668,407","0.17""",,,,,,,,,
"""DJS",David Jones ,FPO,"3,796,579","1,234,375",32.51,-0.23,"510,945,759","0.24""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"389,473","125,688",32.27,0.69,"202,081,252","0.06""",,,,,,,,,
"""AMC",Amcor ,FPO,"6,378,661","1,969,536",30.87,2.07,"1,221,323,617","0.16""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"745,234","228,270",30.63,4.00,"463,070,936","0.04""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"64,179,970","18,436,025",28.72,5.55,"6,369,751,394","0.28""",,,,,,,,,
"""NDO",Nido Petroleum ,FPO,"27,247,288","7,815,860",28.68,8.82,"1,050,814,774","0.74""",,,,,,,,,
"""AUN",Austar United Comms,FPO,"807,625","231,592",28.67,2.01,"1,259,940,198","0.01""",,,,,,,,,
"""NVT",Navitas ,FPO,"280,929","79,606",28.33,-1.51,"342,361,526","0.02""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"33,332","9,411",28.23,1.73,"65,276,374","0.01""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"13,111,184","3,695,352",28.18,3.36,"3,121,339,730","0.11""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,562,482","712,319",27.79,3.43,"606,831,240","0.11""",,,,,,,,,
"""CSL",CSL ,FPO,"1,955,184","538,696",27.55,1.17,"575,377,849","0.09""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"32,671","8,785",26.88,-1.67,"148,880,108","0.00""",,,,,,,,,
