ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 19:07 Tuesday 29/12/2009!. Processed 11:40 Wednesday 30/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""SPT",Spotless Group ,FPO,"559,310","104,660",18.71,7.19,"259,126,131","0.04""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"918,503","170,099",18.51,3.37,"253,994,135","0.06""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"355,615","65,815",18.50,2.37,"561,000,000","0.01""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"943,586","171,972",18.22,1.64,"878,168,374","0.02""",,,,,,,,,
"""MTS",Metcash ,FPO,"1,452,759","258,188",17.77,1.60,"765,191,573","0.03""",,,,,,,,,
"""ABY",Aditya Birla Minerals ,FPO,"300,862","53,280",17.70,0.40,"313,372,551","0.01""",,,,,,,,,
"""HAW",Hawthorn Resources ,FPO,"8,476,294","1,500,000",17.69,0.00,"1,525,595,897","0.09""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"464,475","81,572",17.56,1.87,"333,681,857","0.02""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"416,364","72,994",17.53,1.26,"193,248,524","0.03""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"2,314,753","402,865",17.40,3.26,"1,031,911,394","0.03""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"3,365,328","574,901",17.08,4.92,"375,985,253","0.15""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"249,763","42,481",17.00,6.11,"208,918,744","0.02""",,,,,,,,,
"""ANN",Ansell ,FPO,"171,876","28,967",16.85,-1.11,"133,337,196","0.02""",,,,,,,,,
