ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4544.8 at 16:34 1/2/2010  Report at 19:06 Monday 1/2/2010. Processed 11:26 Tuesday 2/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""WOWHB",Woolworths ,PERP.FRN,"6,687","5,100",76.26,0.55,"6,000,000","0.08""",,,,,,,,,
"""VTS",Vanguard US Total Market Shares ,CDI 1:1,"4,221","2,865",67.87,0.74,"90,000","3.18""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"1,269,074","657,859",51.83,-1.15,"490,935,150","0.13""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,501,750","752,023",50.07,0.43,"448,868,339","0.16""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"711,767","345,635",48.56,-0.52,"298,808,836","0.11""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,271,000","603,105",47.45,-1.79,"464,564,682","0.13""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"4,293,110","1,907,148",44.42,-0.83,"1,005,145,616","0.19""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"12,189,996","5,016,198",41.15,0.86,"2,351,955,725","0.21""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"3,358,887","1,315,405",39.16,-2.00,"960,638,735","0.13""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"4,832,252","1,814,658",37.55,-3.62,"1,167,783,517","0.15""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"44,786","16,639",37.15,-2.82,"62,959,971","0.02""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"600,300","222,815",37.11,-5.36,"194,998,524","0.11""",,,,,,,,,
