ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4460.5 at 16:38 23/8/2010  Report at 19:14 Monday 23/8/2010!. Processed 13:09 Tuesday 24/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""PRT",Prime Media Group ,FPO,"45,000","45,000",100.00,4.54,"366,330,303","0.01""",,,,,,,,,
"""RSGO",Resolute Mining ,OPT DEC11,"3,507","3,507",100.00,0.00,"95,974,417","0.00""",,,,,,,,,
"""STOWO",Q  Citiwarrants (Citigroup Global MA,CTWOC10PW,"20,000","20,000",100.00,0.00,"40,000,000","0.05""",,,,,,,,,
"""GCL",Gloucester Coal,FPO,"45,723","33,444",73.14,0.00,"81,962,133","0.04""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"175,366","114,802",65.46,-1.45,"151,902,455","0.07""",,,,,,,,,
"""RFG",Retail Food Group ,FPO,"121,720","79,607",65.40,-0.79,"106,458,473","0.07""",,,,,,,,,
"""PPC",Peet ,FPO,"120,009","65,040",54.19,-1.05,"300,681,486","0.02""",,,,,,,,,
"""BDG",Bendigo Mining ,FPO,"403,967","212,652",52.64,0.00,"509,712,735","0.04""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"12,582,134","6,123,049",48.66,0.78,"2,510,727,671","0.24""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,101,733","499,728",45.35,1.20,"510,945,759","0.09""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"254,371","111,735",43.92,0.61,"86,459,327","0.12""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"2,493,933","1,095,361",43.92,-1.94,"1,167,783,517","0.09""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"5,900,293","2,581,497",43.75,1.86,"1,920,694,831","0.13""",,,,,,,,,
