Daily Gross Short Sales,,,,,,,,,,,,,,,,,,,,
ASX & CHI-X SHORT SALES: REPORTED FOR Friday, May 10, 2013,,,,,,,,,,,,,,,,,,,,
"Report at Friday, May 10, 2013. Processed Monday at 2013-05-13T12:15:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
BTU,Bathurst Res,FPO,,"665,963",,,"697,247,997",.09,,
WDC,Westfield Grp ,STAPLED,,"1,969,192",,,"2,194,138,450",.09,,
APA,APA Grp ,STAPLED,,"790,272",,,"835,750,807",.09,,
DJS,David Jones,FPO,,"492,587",,,"535,002,401",.09,,
RMS,Ramelius Res,FPO,,"323,409",,,"337,686,949",.09,,
ANZ,ANZ Banking Grp,FPO,,"2,491,715",,,"2,743,749,158",.09,,
ALL,Aristocrat Leisure,FPO,,"530,881",,,"551,418,047",.09,,
PRU,Perseus Min,FPO,,"384,410",,,"457,962,088",.08,,
CGF,Challenger,FPO,,"465,975",,,"532,319,752",.08,,
JHX,James Hardie Ind ,CDI 1:1,,"358,230",,,"441,654,684",.08,,
MMS,McMillan Shakespeare,FPO,,"61,974",,,"74,523,965",.08,,
CSR,CSR,FPO,,"408,533",,,"506,000,315",.08,,
WSA,Western Areas ,FPO,,"157,337",,,"196,843,803",.08,,
AIO,Asciano,FPO,,"817,269",,,"975,385,664",.08,,
DOW,Downer EDI,FPO,,"348,650",,,"433,409,429",.08,,
NUF,Nufarm,FPO,,"230,698",,,"262,796,891",.08,,
BXB,Brambles,FPO,,"1,277,334",,,"1,557,270,574",.08,,
WRT,Westfield Retail Tr,STAPLED,,"2,237,904",,,"3,054,166,195",.07,,
EVN,Evolution Mining,FPO,,"519,975",,,"708,092,989",.07,,
FDC,Federation Centres,STAPLED,,"1,000,056",,,"1,427,641,565",.07,,
MGX,Mount Gibson Iron,FPO,,"814,096",,,"1,090,584,232",.07,,
NCM,Newcrest Min,FPO,,"568,917",,,"766,510,971",.07,,
NAB,National Aust Bank,FPO,,"1,706,868",,,"2,342,421,436",.07,,
CTX,Caltex Aust,FPO,,"193,404",,,"270,000,000",.07,,
PPT,Perpetual,FPO,,"30,602",,,"41,980,678",.07,,
LEI,Leighton Hldgs,FPO,,"243,993",,,"337,230,813",.07,,
WHG,WHK Grp,FPO,,"193,654",,,"265,200,652",.07,,
DXS,DEXUS Prop Grp ,STAPLED,,"3,443,398",,,"4,839,024,176",.07,,
RMD,ResMed Inc ,CDI 10:1,,"1,168,706",,,"1,556,242,300",.07,,
AQG,Alacer Gold,CDI 1:1,,"74,629",,,"108,431,967",.06,,
BHP,BHP Billiton,FPO,,"2,170,148",,,"3,211,691,105",.06,,
AMP,AMP,FPO,,"1,777,778",,,"2,944,564,649",.06,,
MAH,Macmahon Hldgs,FPO,,"766,464",,,"1,261,699,966",.06,,
GMG,Goodman Grp ,STAPLED,,"1,144,940",,,"1,713,233,947",.06,,
TRY,Troy Resources,FPO,,"60,417",,,"91,318,649",.06,,
BPT,Beach Energy,FPO,,"770,137",,,"1,267,805,688",.06,,
ORI,Orica,FPO,,"242,571",,,"366,868,401",.06,,
ACR,Acrux,FPO,,"100,952",,,"166,521,711",.06,,
CQR,Charter Hall Ret REIT,UNIT,,"220,833",,,"337,582,974",.06,,
STO,Santos,FPO,,"667,074",,,"964,270,203",.06,,
FKP,FKP Prop Grp,STAPLED,,"192,851",,,"321,578,705",.06,,
ASX,ASX,FPO,,"120,337",,,"175,136,729",.06,,
WES,Wesfarmers,FPO,,"545,809",,,"1,006,665,540",.05,,
AQA,Aquila Res,FPO,,"225,908",,,"411,804,442",.05,,
SWM,Seven West Media,FPO,,"572,127",,,"999,160,872",.05,,
TSE,Transfield Services,FPO,,"278,590",,,"512,457,716",.05,,
MIN,Mineral Res,FPO,,"95,896",,,"185,957,992",.05,,
SGP,Stockland ,STAPLED,,"1,257,738",,,"2,202,657,963",.05,,
DUE,DUET Grp ,FORUS,,"669,370",,,"1,169,314,842",.05,,
BRG,Breville Grp,FPO,,"68,574",,,"130,095,322",.05,,
AGK,AGL Energy,FPO,,"288,581",,,"554,210,005",.05,,
SKE,Skilled Grp,FPO,,"123,286",,,"233,533,526",.05,,
CHC,Charter Hall Grp,FORUS,,"159,834",,,"302,262,312",.05,,
CPU,Computershare,FPO,,"275,385",,,"556,203,079",.05,,
GUD,GUD Hldgs,FPO,,"32,693",,,"71,341,319",.04,,
MBN,Mirabela Nickel,FPO,,"428,332",,,"876,765,094",.04,,
SDL,Sundance Res,FPO,,"1,381,816",,,"3,072,110,985",.04,,
QAN,Qantas Airways,FPO,,"940,452",,,"2,241,945,788",.04,,
CCV,Cash Convert   ,FPO,,"177,875",,,"423,861,025",.04,,
SEK,Seek,FPO,,"153,900",,,"337,833,019",.04,,
RSG,Resolute Min,FPO,,"304,360",,,"643,094,224",.04,,
CFX,CFS Retail Prop ,STAPLED,,"1,313,809",,,"2,828,495,659",.04,,
ORG,Origin Energy,FPO,,"516,803",,,"1,097,938,465",.04,,
CSL,CSL,FPO,,"222,629",,,"493,718,865",.04,,
TRS,The Reject Shop,FPO,,"13,562",,,"27,944,072",.04,,
SVW,Seven Grp Hldgs,FPO,,"142,278",,,"308,160,281",.04,,
AWE,AWE,FPO,,"237,057",,,"522,116,985",.04,,
TTS,Tatts Grp,FPO,,"567,523",,,"1,402,708,406",.04,,
AAD,Ardent Leisure Grp,STAPLED,,"160,047",,,"397,803,987",.04,,
GEM,G8 Education,FPO,,"104,666",,,"272,151,612",.03,,
CRZ,carsales.com,FPO,,"78,890",,,"236,113,495",.03,,
MND,Monadelphous Grp,FPO,,"33,463",,,"90,940,258",.03,,
IMF,IMF (Aust),FPO,,"39,985",,,"123,201,716",.03,,
SKI,Spark Infrastructure ,STAPLED,,"522,379",,,"1,326,734,264",.03,,
MCE,Matrix C & E,FPO,,"30,000",,,"94,555,428",.03,,
WPL,Woodside Petroleum,FPO,,"302,496",,,"823,910,657",.03,,
MAD,Maverick Drilling,FPO,,"155,308",,,"452,726,751",.03,,
STW,SPDR 200 Fund,ETF UNITS,,"16,006",,,"45,551,346",.03,,
IVC,InvoCare,FPO,,"42,776",,,"110,030,298",.03,,
CAB,Cabcharge Aust,FPO,,"36,408",,,"120,430,683",.03,,
MDL,Mineral Deposits,FPO,,"30,155",,,"83,538,786",.03,,
NWS,News Corp  ,B VOTING,,"281,371",,,"798,520,953",.03,,
NXS,Nexus Energy,FPO,,"438,905",,,"1,329,821,159",.03,,
NVT,Navitas,FPO,,"117,433",,,"375,367,918",.03,,
SCP,SCA Property Grp,STAPLED,,"214,054",,,"585,455,114",.03,,
SYR,Syrah Res,FPO,,"54,885",,,"147,767,623",.03,,
SAI,SAI Global,FPO,,"82,584",,,"209,440,120",.03,,
AGI,Ainsworth Game Tech,FPO,,"100,701",,,"322,025,876",.03,,
TPM,TPG Telecom,FPO,,"251,871",,,"793,808,141",.03,,
FXL,FlexiGroup,FPO,,"100,521",,,"287,869,669",.03,,
EGP,Echo Entertainment,FPO,,"288,734",,,"825,672,730",.03,,
EHL,Emeco Hldgs,FPO,,"225,776",,,"599,675,707",.03,,
BWP,BWP Trust,ORD UNITS,,"177,473",,,"537,753,954",.03,,
HVN,Harvey Norman,FPO,,"316,873",,,"1,062,316,784",.03,,
GWA,GWA Grp,FPO,,"111,749",,,"306,533,770",.03,,
SYD,Sydney Airport,FORUS,,"639,701",,,"1,861,210,782",.03,,
BND,Bandanna Energy,FPO,,"178,912",,,"528,481,199",.03,,
RHC,Ramsay Health Care,FPO,,"65,292",,,"202,081,252",.03,,
ENV,Envestra,FPO,,"378,882",,,"1,764,283,571",.02,,
COK,Cockatoo Coal,FPO,,"239,837",,,"1,016,746,908",.02,,
CMW,Cromwell Property,STAPLED,,"403,846",,,"1,460,982,142",.02,,
FGE,Forge Grp,FPO,,"20,815",,,"86,169,014",.02,,
CPL,Coalspur Mines,FPO,,"173,376",,,"639,748,901",.02,,
IFL,IOOF Hldgs,FPO,,"65,971",,,"232,091,225",.02,,
CDU,CuDECO,FPO,,"58,652",,,"199,877,294",.02,,
HZN,Horizon Oil,FPO,,"313,799",,,"1,135,266,515",.02,,
BEN,Bendigo & Adelaide Bk,FPO,,"90,680",,,"407,166,826",.02,,
FXJ,Fairfax Media,FPO,,"574,148",,,"2,351,955,725",.02,,
IGO,Independence Grp,FPO,,"58,855",,,"232,882,535",.02,,
IAG,Insurance Aust Grp,FPO,,"485,506",,,"2,079,034,021",.02,,
IOF,Investa Office Fd,STAPLED,,"162,159",,,"614,047,458",.02,,
SGH,Slater & Gordon,FPO,,"50,000",,,"170,960,722",.02,,
ROC,Roc Oil Co,FPO,,"141,508",,,"683,235,552",.02,,
SIR,Sirius Res ,FPO,,"52,975",,,"224,620,167",.02,,
