ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4929.4 at 16:34 14/1/2010  Report at 19:05 Thursday 14/1/2010. Processed 11:07 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ESV",Eservglobal ,FPO,"274,998","259,998",94.54,0.00,"196,847,706","0.13""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"388,720","311,884",80.23,0.00,"474,413,911","0.06""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,233,834","878,322",71.18,-0.86,"464,564,682","0.18""",,,,,,,,,
"""ANN",Ansell ,FPO,"871,862","586,581",67.27,-1.63,"132,714,927","0.44""",,,,,,,,,
"""TWR",Tower ,FPO NZ,"15,490","8,114",52.38,-3.30,"254,882,993","0.00""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"3,089,688","1,570,137",50.81,0.35,"757,542,720","0.20""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,532,403","737,553",48.13,2.95,"462,522,229","0.15""",,,,,,,,,
"""IVV",iShares S&P 500,CDI 1:1,"3,776","1,801",47.69,-0.25,"116,350,000","0.00""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"2,431,428","1,133,940",46.63,-0.45,"706,878,212","0.16""",,,,,,,,,
"""CWN",Crown ,FPO,"1,512,413","681,624",45.06,-0.12,"753,555,290","0.09""",,,,,,,,,
"""SLV",Sylvania Resources ,FPO,"115,927","50,000",43.13,1.58,"243,079,254","0.02""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"2,157,906","897,817",41.60,-1.07,"576,777,900","0.15""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"63,310","26,053",41.15,-0.23,"64,945,877","0.04""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"10,230,632","4,135,475",40.42,1.53,"3,356,081,497","0.12""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"11,381,135","4,262,007",37.44,-1.22,"2,996,570,442","0.14""",,,,,,,,,
"""IJP",Ishares MSCI Japan,CDI 1:1,"7,000","2,598",37.11,-0.44,"822,000,000","0.00""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"1,886,892","673,196",35.67,2.63,"606,831,240","0.11""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"264,371","92,627",35.03,-1.15,"120,437,014","0.07""",,,,,,,,,
"""BBG",Billabong International ,FPO,"592,046","196,701",33.22,2.14,"252,863,336","0.07""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,022,115","989,371",32.73,-0.25,"1,005,145,616","0.09""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"544,139","178,021",32.71,-1.00,"490,935,150","0.03""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"4,692,739","1,532,796",32.66,1.29,"1,380,386,438","0.11""",,,,,,,,,
"""LRL",Leyshon Resources ,FPO,"155,000","50,000",32.25,2.94,"218,255,692","0.02""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,153,323","365,430",31.68,-0.71,"960,638,735","0.03""",,,,,,,,,
"""COH",Cochlear ,FPO,"123,219","38,763",31.45,0.12,"56,351,818","0.06""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"2,990,088","939,643",31.42,-2.56,"686,759,634","0.13""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"2,114,809","656,761",31.05,-1.60,"798,520,953","0.08""",,,,,,,,,
"""EXT",Extract Resources,FPO,"141,962","42,806",30.15,2.26,"242,617,636","0.01""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"1,785,449","534,746",29.95,1.81,"108,235,467","0.49""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"4,461,594","1,270,664",28.48,-0.85,"1,488,668,825","0.08""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,004,079","835,863",27.82,1.39,"1,534,246,082","0.05""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"1,431,034","387,981",27.11,0.00,"178,950,022","0.21""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"6,033,570","1,582,935",26.23,3.32,"3,102,737,233","0.05""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"1,041,305","259,839",24.95,4.57,"418,700,517","0.06""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"167,820","41,670",24.83,0.00,"115,824,028","0.03""",,,,,,,,,
"""APN",APN News & Media ,FPO,"845,567","208,135",24.61,-3.32,"595,311,917","0.03""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"3,257,706","781,483",23.98,1.53,"1,080,653,789","0.07""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"20,309,504","4,734,365",23.31,0.58,"4,766,093,266","0.09""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"7,818,431","1,804,157",23.07,0.00,"2,368,729,935","0.07""",,,,,,,,,
"""AMC",Amcor ,FPO,"3,127,284","702,825",22.47,0.96,"1,220,822,970","0.05""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"1,194,891","260,128",21.77,2.60,"603,580,761","0.04""",,,,,,,,,
