ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4477.3 at 16:35 14/7/2010!Report at 19:15 Wednesday 14/7/2010!. Processed 12:59 Thursday 15/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IIN",iiNet ,FPO,"127,369","74,000",58.09,-1.09,"151,898,119","0.04""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,489,678","778,005",52.22,2.00,"510,945,759","0.15""",,,,,,,,,
"""WEC",White Energy Company ,FPO,"235,157","120,929",51.42,0.63,"236,766,184","0.05""",,,,,,,,,
"""AXO",Aurox Resources ,FPO,"624,766","314,409",50.32,1.46,"196,044,413","0.16""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"7,427,161","3,660,052",49.27,2.07,"3,356,081,497","0.10""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,516,828","1,044,456",41.49,1.24,"606,831,240","0.17""",,,,,,,,,
"""MTS",Metcash ,FPO,"3,836,389","1,558,811",40.63,0.45,"765,675,951","0.20""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"11,070,723","4,397,882",39.72,2.81,"3,107,179,370","0.14""",,,,,,,,,
"""CQT",Conquest Mining ,FPO,"369,657","131,254",35.50,0.00,"353,151,103","0.03""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"509,206","177,963",34.94,1.55,"440,346,022","0.04""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"6,946,971","2,335,453",33.61,0.34,"1,930,432,682","0.12""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"4,251,540","1,415,905",33.30,0.73,"1,035,064,820","0.13""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"1,420,480","472,400",33.25,1.26,"483,493,006","0.09""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"9,252,957","3,066,431",33.14,1.68,"2,307,773,663","0.13""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"1,877,448","619,331",32.98,2.21,"1,005,167,663","0.06""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"17,758,382","5,821,642",32.78,2.84,"2,351,955,725","0.24""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"1,571,800","501,261",31.89,1.49,"880,668,872","0.05""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"5,041,162","1,563,051",31.00,3.23,"2,988,996,237","0.05""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,761,728","1,150,433",30.58,3.12,"1,548,737,374","0.07""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"29,537","8,782",29.73,0.46,"65,298,128","0.01""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"13,710,413","4,063,415",29.63,1.86,"3,121,339,730","0.13""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"3,067,720","906,950",29.56,0.31,"1,920,694,831","0.04""",,,,,,,,,
"""BBG",Billabong International ,FPO,"323,704","91,390",28.23,0.89,"253,122,552","0.03""",,,,,,,,,
"""AWC",Alumina ,FPO,"38,438,452","10,772,823",28.02,-0.64,"2,440,196,187","0.44""",,,,,,,,,
"""CRG",Crane Group ,FPO,"163,728","45,443",27.75,1.85,"78,286,427","0.05""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"22,601,003","6,253,611",27.67,3.24,"1,823,322,017","0.34""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"225,312","60,978",27.06,3.58,"94,193,403","0.06""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"38,504,548","10,422,821",27.06,1.23,"12,443,074,357","0.08""",,,,,,,,,
"""CDD",Cardno ,FPO,"29,002","7,676",26.46,-0.79,"90,510,461","0.00""",,,,,,,,,
"""DLX",Duluxgroup ,DEF SET,"11,912,210","3,124,382",26.22,-2.67,"362,100,430","0.86""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,223,582","314,270",25.68,4.69,"533,379,348","0.05""",,,,,,,,,
