ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4743.1 at 16:35 25/1/2010  Report at 19:05 Monday 25/1/2010. Processed 11:21 Wednesday 27/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"1,294,295","877,892",67.82,-0.68,"757,542,720","0.11""",,,,,,,,,
"""IBK",iShares MSCI BRIC,CDI 1:1,"7,518","4,502",59.88,-0.92,"3,650,000","0.12""",,,,,,,,,
"""RIC",Ridley Corporation ,FPO,"103,615","54,109",52.22,-1.72,"307,817,071","0.01""",,,,,,,,,
"""IAA",iShares S&P Asia 50,CDI 1:1,"7,923","3,935",49.66,-0.32,"1,700,000","0.23""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"185,979","86,163",46.32,-1.51,"168,111,691","0.05""",,,,,,,,,
"""TAP",Tap Oil ,FPO,"129,288","51,866",40.11,-3.18,"156,485,921","0.03""",,,,,,,,,
"""CSR",CSR ,FPO,"7,183,109","2,790,701",38.85,-1.79,"1,514,920,814","0.18""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,227,550","473,690",38.58,1.59,"462,751,391","0.10""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"368,864","133,790",36.27,-2.39,"108,235,467","0.12""",,,,,,,,,
"""MTS",Metcash ,FPO,"3,819,842","1,330,886",34.84,0.90,"765,551,053","0.17""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"4,926,596","1,657,738",33.64,-0.57,"1,005,145,616","0.16""",,,,,,,,,
"""BLD",Boral ,FPO,"1,633,050","543,473",33.28,-1.77,"595,313,279","0.09""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"6,355,329","2,100,445",33.05,-0.41,"3,102,764,016","0.06""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"2,764,669","909,177",32.88,-2.14,"464,564,682","0.19""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"461,241","151,536",32.85,3.22,"474,538,913","0.03""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"328,487","107,636",32.76,-7.50,"64,945,877","0.16""",,,,,,,,,
"""NUF",Nufarm ,FPO,"698,715","224,620",32.14,-0.77,"218,126,718","0.10""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"12,569,838","4,006,158",31.87,-1.07,"3,356,081,497","0.11""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,653,806","524,815",31.73,-1.47,"533,379,348","0.09""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"270,765","85,305",31.50,-0.60,"232,285,800","0.03""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"509,020","159,278",31.29,-0.08,"203,496,058","0.07""",,,,,,,,,
"""AGS",Alliance Resources ,FPO,"89,996","27,906",31.00,-0.83,"341,172,309","0.00""",,,,,,,,,
"""NRT",Novogen ,FPO,"70,323","21,500",30.57,-15.32,"102,125,894","0.02""",,,,,,,,,
"""GNS",Gunns ,FPO,"2,557,017","780,251",30.51,-0.56,"806,734,892","0.09""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"258,625","77,774",30.07,-3.48,"93,937,192","0.08""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"1,796,682","538,974",29.99,-1.50,"878,168,374","0.06""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"329,659","98,368",29.83,-1.89,"1,823,458,876","0.00""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"946,337","280,339",29.62,1.29,"238,997,693","0.11""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,433,481","715,585",29.40,0.54,"606,831,240","0.11""",,,,,,,,,
"""PPT",Perpetual ,FPO,"109,891","31,999",29.11,-2.86,"42,981,208","0.07""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"5,130,742","1,464,547",28.54,-1.66,"2,729,071,212","0.05""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"2,126,508","588,536",27.67,-1.08,"1,290,049,879","0.04""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"771,142","212,658",27.57,4.96,"264,264,459","0.08""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"41,196,405","11,263,292",27.34,2.37,"12,443,074,357","0.09""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"5,047,223","1,362,815",27.00,-0.67,"2,119,507,342","0.06""",,,,,,,,,
"""STW",SPDR S&P/ASX 200 Fund,ETF UNITS,"763,913","206,306",27.00,-0.51,"45,779,172","0.45""",,,,,,,,,
"""MIG",Macquarie Infrastructure Grp,STAPLED,"10,910,939","2,923,642",26.79,-15.54,"2,261,732,048","0.12""",,,,,,,,,
"""CWN",Crown ,FPO,"1,452,721","384,892",26.49,-0.26,"753,555,290","0.05""",,,,,,,,,
"""TRY",Troy Resources,FPO,"106,754","27,860",26.09,0.93,"87,455,889","0.03""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,012,525","782,369",25.97,-1.07,"1,534,266,082","0.05""",,,,,,,,,
"""AMC",Amcor ,FPO,"3,612,462","915,530",25.34,-1.49,"1,220,822,970","0.07""",,,,,,,,,
"""BBG",Billabong International ,FPO,"555,057","140,574",25.32,-0.79,"252,863,336","0.05""",,,,,,,,,
"""APN",APN News & Media ,FPO,"709,354","176,932",24.94,-2.54,"595,311,917","0.03""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"4,347,994","1,065,288",24.50,-1.32,"2,483,693,809","0.04""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"17,832,600","4,276,115",23.97,1.85,"4,766,093,266","0.09""",,,,,,,,,
"""IGO",Independence Group,FPO,"365,787","86,506",23.64,-2.64,"113,651,039","0.07""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"2,194,167","517,161",23.57,-0.37,"960,638,735","0.05""",,,,,,,,,
"""IVC",Invocare ,FPO,"167,568","39,280",23.44,-1.01,"101,834,236","0.03""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,706,899","397,892",23.31,3.57,"707,511,545","0.05""",,,,,,,,,
