ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:06 Friday 18/6/2010!. Processed 12:24 Monday 21/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""VRLPA",Village Roadshow ,A' PREF,"2,878","2,766",96.10,-1.34,"52,235,451","0.00""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"30,162","18,277",60.59,0.87,"62,959,971","0.02""",,,,,,,,,
"""GOLD",ETFS Metal Securities Australia,ETFS GOLD,"24,524","13,621",55.54,-0.11,"4,683,391","0.29""",,,,,,,,,
"""ALD",Allied Gold ,FPO,"393,410","189,210",48.09,2.77,"1,040,132,142","0.01""",,,,,,,,,
"""DJS",David Jones ,FPO,"8,635,450","4,032,622",46.69,-0.44,"510,945,759","0.78""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"3,067,518","1,360,916",44.36,3.44,"463,070,936","0.29""",,,,,,,,,
"""PPP",Pan Pacific Petroleum,FPO,"434,833","187,099",43.02,0.00,"588,612,110","0.03""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"9,658,034","3,941,825",40.81,1.03,"1,005,159,970","0.39""",,,,,,,,,
"""COH",Cochlear ,FPO,"136,673","52,511",38.42,-0.07,"56,543,401","0.09""",,,,,,,,,
"""BBG",Billabong International ,FPO,"1,220,814","435,902",35.70,-0.74,"253,122,552","0.17""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"2,402,392","848,544",35.32,-3.24,"239,431,783","0.35""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"18,358","6,310",34.37,-0.38,"65,276,374","0.01""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"8,622,528","2,832,077",32.84,1.50,"2,926,103,883","0.09""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"1,500,586","491,409",32.74,-2.80,"94,193,403","0.52""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"5,188,794","1,691,194",32.59,0.52,"2,012,803,230","0.08""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"12,414,653","4,031,236",32.47,0.79,"3,356,081,497","0.12""",,,,,,,,,
"""CRG",Crane Group ,FPO,"351,890","112,239",31.89,-1.29,"78,286,427","0.14""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"1,198,186","369,503",30.83,3.91,"179,209,987","0.20""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,037,632","317,734",30.62,3.57,"367,162,725","0.08""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"15,413,573","4,611,180",29.91,2.16,"3,266,304,329","0.14""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"5,787,866","1,721,714",29.74,3.06,"394,889,237","0.43""",,,,,,,,,
"""SUL",Super Cheap Auto Group ,FPO,"365,967","107,508",29.37,4.31,"127,532,302","0.08""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,858,632","815,947",28.54,1.11,"606,831,240","0.13""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"6,455,269","1,802,242",27.91,0.86,"1,281,937,479","0.14""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"30,013,149","8,261,945",27.52,1.80,"4,820,821,799","0.17""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"2,442,026","669,343",27.40,0.65,"1,920,694,831","0.03""",,,,,,,,,
