ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4689.6 at 16:47 17/12/2009  Report at 19:06 Thursday 17/12/2009. Processed 11:39 Friday 18/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""OST",OneSteel ,FPO,"9,611,027","1,196,049",12.44,1.57,"1,328,359,295","0.09""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"21,630,266","2,684,293",12.41,-1.05,"2,943,407,853","0.09""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"3,480,460","425,319",12.22,3.19,"798,520,953","0.05""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"1,472,416","177,763",12.07,-2.49,"108,235,467","0.16""",,,,,,,,,
"""CCD",Caledon Resources,CDI,"109,450","13,000",11.87,9.30,"30,206,041","0.04""",,,,,,,,,
"""UGL",UGL ,FPO,"1,314,485","154,842",11.78,1.56,"165,698,371","0.09""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"6,263,153","728,784",11.63,2.74,"551,229,733","0.13""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"25,888,556","3,006,556",11.61,0.87,"3,356,081,497","0.09""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"17,343,162","1,995,988",11.50,1.33,"2,483,693,809","0.08""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"4,287,586","490,796",11.44,2.01,"433,930,705","0.11""",,,,,,,,,
"""MEO",MEO Australia ,FPO,"9,149,655","1,042,740",11.39,8.04,"477,220,955","0.21""",,,,,,,,,
"""SSN",Samson Oil & Gas ,FPO,"2,256,545","253,497",11.23,0.00,"1,169,555,338","0.02""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"87,239,881","9,734,900",11.15,4.42,"9,277,584,743","0.10""",,,,,,,,,
"""AOE",Arrow Energy ,FPO,"3,910,649","435,449",11.13,0.25,"732,381,533","0.05""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"3,092,220","341,204",11.03,-2.52,"332,771,169","0.10""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"4,097,550","442,412",10.79,4.20,"405,088,239","0.10""",,,,,,,,,
