ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4739.2 at 16:47 23/11/2009  Report at 19:05 Monday 23/11/2009!. Processed 12:13 Tuesday 24/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""VPG",Valad Property Group,FORUS,"25,731,328","16,328,001",63.45,0.00,"2,248,546,624","0.72""",,,,,,,,,
"""AHD",Amalgamated Holdings ,FPO,"32,601","18,489",56.71,-1.45,"129,009,875","0.01""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"4,917,624","2,492,001",50.67,1.63,"1,929,665,584","0.12""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"7,757,907","3,794,193",48.90,1.07,"3,356,081,497","0.11""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"5,319,766","2,514,259",47.26,1.14,"1,522,867,420","0.16""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,919,106","792,541",41.29,-1.23,"435,205,782","0.18""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"351,674","144,537",41.10,0.00,"474,322,094","0.03""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,163,230","876,122",40.50,3.59,"606,831,240","0.14""",,,,,,,,,
"""AMP",AMP ,FPO,"6,406,336","2,559,798",39.95,0.31,"2,048,645,162","0.12""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"599,787","239,370",39.90,2.44,"202,081,252","0.11""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"4,961,171","1,880,790",37.91,1.29,"2,483,693,809","0.07""",,,,,,,,,
"""AVG",Australian Vintage,FPO,"483,000","180,000",37.26,3.84,"128,282,317","0.14""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"9,175,290","3,323,980",36.22,0.97,"2,805,460,371","0.11""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"4,638,707","1,661,816",35.82,5.18,"1,062,316,784","0.15""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"5,744,229","1,953,694",34.01,0.69,"2,504,868,560","0.07""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"5,367,093","1,799,235",33.52,0.34,"2,067,095,545","0.08""",,,,,,,,,
"""ELD",Elders ,FPO,"16,205,270","5,330,166",32.89,0.00,"4,485,836,105","0.11""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,918,943","626,116",32.62,7.86,"462,094,914","0.13""",,,,,,,,,
"""ERC",eircom Holdings ,FPO,"290,591","93,293",32.10,0.94,"167,904,914","0.05""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"6,054,014","1,902,081",31.41,-1.01,"2,095,594,763","0.09""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"2,719,761","852,593",31.34,0.07,"1,534,246,082","0.05""",,,,,,,,,
