ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4643.0 at 16:36 14/5/2010  Report at 19:07 Friday 14/5/2010!. Processed 11:14 Monday 17/5/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""AAI",Alcoa Inc.,CDI,"1,213","1,027",84.66,-1.19,"866,018,842","0.00""",,,,,,,,,
"""FPA",Fisher & Paykel Appliances,FPO NZ,"533,948","307,050",57.50,0.00,"724,235,162","0.04""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"3,481,795","1,643,783",47.21,0.03,"483,493,006","0.34""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"1,140,670","511,995",44.88,-0.17,"270,000,000","0.19""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"6,493,128","2,808,741",43.25,1.26,"496,295,791","0.56""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"568,774","230,830",40.58,-1.45,"300,687,299","0.07""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"4,303,105","1,705,345",39.63,0.46,"533,379,348","0.32""",,,,,,,,,
"""CWN",Crown ,FPO,"1,611,560","621,651",38.57,0.12,"753,555,290","0.08""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"594,393","229,227",38.56,-0.86,"289,477,135","0.07""",,,,,,,,,
"""AWC",Alumina ,FPO,"19,368,172","7,372,362",38.06,0.88,"2,440,196,187","0.30""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"15,069,340","5,592,136",37.10,-0.53,"2,012,803,230","0.27""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"1,555,725","535,160",34.39,-0.49,"2,067,095,545","0.02""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"4,510,578","1,523,117",33.76,-1.51,"798,520,953","0.19""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"7,391,206","2,467,155",33.38,-2.35,"3,940,145,951","0.06""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"213,891","71,042",33.21,-2.16,"561,000,000","0.01""",,,,,,,,,
"""BTT",BT Investment Management ,FPO,"36,239","12,012",33.14,-1.07,"160,000,000","0.00""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"248,278","80,544",32.44,-1.75,"97,942,169","0.08""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"1,095,187","350,864",32.03,0.32,"620,709,233","0.05""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"5,070,650","1,617,809",31.90,-2.23,"1,548,727,174","0.10""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"448,307","142,121",31.70,-1.84,"216,011,546","0.06""",,,,,,,,,
"""BKN",Bradken ,FPO,"788,493","238,924",30.30,-1.40,"130,519,161","0.18""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"1,976,758","596,596",30.18,-0.47,"414,278,904","0.14""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"4,843,648","1,451,745",29.97,0.57,"1,062,316,784","0.13""",,,,,,,,,
"""CSL",CSL ,FPO,"1,420,196","424,562",29.89,-0.68,"575,019,000","0.07""",,,,,,,,,
"""UGL",UGL ,FPO,"735,238","217,680",29.60,-0.68,"165,928,705","0.13""",,,,,,,,,
"""EXT",Extract Resources,FPO,"298,890","87,150",29.15,-0.53,"242,867,636","0.03""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"13,821,448","4,004,782",28.97,-0.46,"3,356,081,497","0.11""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"846,091","244,591",28.90,0.48,"707,511,545","0.03""",,,,,,,,,
