ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4759.6 at 16:47 18/11/2009  Report at 19:05 Wednesday 18/11/2009!. Processed 12:15 Thursday 19/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"4,219,093","2,574,854",61.02,1.91,"462,094,914","0.55""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"577,558","324,848",56.24,-0.23,"169,781,960","0.19""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"726,841","349,071",48.02,-0.28,"388,429,875","0.09""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"4,184,666","1,866,711",44.60,-0.51,"1,175,672,572","0.15""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"18,818,558","7,471,801",39.70,0.24,"3,356,081,497","0.22""",,,,,,,,,
"""MRU",NewSat ,FPO,"92,637","36,442",39.33,4.80,"109,304,994","0.03""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,446,022","531,996",36.79,-2.30,"533,379,348","0.10""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"22,883,773","7,732,745",33.79,1.94,"2,805,460,371","0.27""",,,,,,,,,
"""AHD",Amalgamated Holdings ,FPO,"185,948","61,248",32.93,-2.94,"129,009,875","0.04""",,,,,,,,,
"""WSA",Western Areas,FPO,"463,739","148,231",31.96,-0.94,"178,947,149","0.08""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"4,731,381","1,478,230",31.24,0.23,"1,005,136,141","0.14""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,272,751","390,106",30.65,-3.32,"338,286,375","0.11""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"3,148,786","960,977",30.51,-2.06,"432,884,760","0.22""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,040,343","316,447",30.41,0.00,"435,205,782","0.07""",,,,,,,,,
"""CQT",Conquest Mining ,FPO,"1,269,630","384,975",30.32,1.63,"312,271,767","0.12""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,946,231","584,553",30.03,0.00,"706,253,212","0.08""",,,,,,,,,
"""CRG",Crane Group ,FPO,"260,496","75,512",28.98,0.11,"77,684,223","0.09""",,,,,,,,,
"""AMP",AMP ,FPO,"10,140,115","2,890,415",28.50,1.27,"2,048,645,162","0.14""",,,,,,,,,
"""AUN",Austar United Comms,FPO,"1,454,051","412,409",28.36,0.00,"1,252,585,125","0.03""",,,,,,,,,
"""BBG",Billabong International ,FPO,"1,175,705","331,352",28.18,-3.09,"252,863,336","0.13""",,,,,,,,,
"""BLD",Boral ,FPO,"1,993,401","554,615",27.82,-1.72,"595,313,279","0.09""",,,,,,,,,
"""PPT",Perpetual ,FPO,"366,750","101,994",27.81,1.99,"42,879,253","0.23""",,,,,,,,,
"""WDS",WDS ,FPO,"491,071","135,000",27.49,-2.84,"140,731,694","0.09""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"3,154,344","857,544",27.18,0.91,"757,542,720","0.11""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"24,164,679","6,481,169",26.82,1.44,"2,368,729,935","0.27""",,,,,,,,,
"""IVC",Invocare ,FPO,"190,259","47,711",25.07,-1.83,"101,834,236","0.04""",,,,,,,,,
"""SGP",Stockland,STAPLED,"8,531,809","2,108,781",24.71,2.73,"2,383,036,717","0.08""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"11,230,185","2,760,011",24.57,1.23,"2,504,868,560","0.11""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"795,279","194,707",24.48,5.60,"249,029,672","0.07""",,,,,,,,,
"""SPL",starpharma Holdings ,FPO,"589,121","142,308",24.15,Suspended,"207,218,113","0.06""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"3,446,230","823,910",23.90,-6.11,"1,167,783,517","0.07""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"11,027,237","2,585,278",23.44,-0.50,"2,483,693,809","0.10""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"60,145,223","13,995,725",23.27,-8.51,"2,149,296,373","0.65""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,150,793","500,118",23.25,-1.53,"503,524,465","0.09""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"2,854,483","649,326",22.74,0.91,"2,884,031,620","0.02""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"156,041","35,248",22.58,-0.42,"126,214,666","0.02""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"8,096,342","1,818,715",22.46,2.88,"1,929,665,584","0.09""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"391,338","86,676",22.14,2.29,"178,950,022","0.04""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"493,272","108,626",22.02,4.91,"474,322,094","0.02""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"349,530","76,534",21.89,-0.82,"175,671,398","0.04""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"4,404,696","935,690",21.24,-1.46,"481,096,331","0.19""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"2,018,119","427,259",21.17,-1.80,"1,062,316,784","0.04""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"374,583","79,001",21.09,1.63,"108,235,467","0.07""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"3,800,088","797,011",20.97,-1.09,"606,831,240","0.13""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"9,123,754","1,910,175",20.93,-0.16,"2,941,829,646","0.06""",,,,,,,,,
"""BXB",Brambles ,FPO,"9,215,777","1,913,679",20.76,-2.32,"1,412,146,696","0.13""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"5,197,761","1,073,695",20.65,-0.45,"717,142,802","0.15""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"1,593,088","311,211",19.53,0.00,"314,595,521","0.09""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"4,291,435","837,270",19.51,2.54,"1,024,354,874","0.08""",,,,,,,,,
"""EXT",Extract Resources,FPO,"410,520","79,569",19.38,0.12,"242,460,636","0.03""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"507,451","97,957",19.30,0.40,"298,171,836","0.03""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"2,016,868","385,911",19.13,-0.68,"1,161,817,264","0.03""",,,,,,,,,
"""GNS",Gunns ,FPO,"4,204,496","799,670",19.01,-3.06,"806,734,892","0.09""",,,,,,,,,
"""PMV",Premier Investments ,FPO,"97,519","18,535",19.00,0.12,"150,770,718","0.01""",,,,,,,,,
"""BKN",Bradken ,FPO,"333,524","62,855",18.84,2.06,"129,724,959","0.04""",,,,,,,,,
"""ELD",Elders ,FPO,"64,609,276","11,991,660",18.56,0.00,"4,485,836,105","0.26""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"1,951,087","360,949",18.50,-0.90,"685,099,634","0.05""",,,,,,,,,
"""MOL",Moly Mines ,FPO,"4,604,621","851,169",18.48,13.33,"136,680,677","0.62""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"4,669,127","843,390",18.06,1.17,"3,873,085,929","0.02""",,,,,,,,,
"""AWE",Aust Worldwide Exploration,FPO,"3,327,763","588,191",17.67,-1.42,"521,171,941","0.11""",,,,,,,,,
"""MTS",Metcash ,FPO,"1,541,621","268,968",17.44,0.21,"765,146,395","0.03""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"14,195,907","2,453,870",17.28,0.30,"2,926,103,883","0.08""",,,,,,,,,
