ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
"XAO 4685.1 at 16:41 17/9/2010  Report at 19:06 Friday 17/9/2010!ETPMP|T  ETFS Metal Securities Australia|ETFS PT|100|100|100.00|1.75|26,322|0.38. Processed 13:09 Monday 20/9/2010.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""RFG",Retail Food Group ,FPO,"31,832","30,600",96.13,-0.80,"106,680,807","0.02""",,,,,,,,,
"""ETPMA",G  ETFS Metal Securities Australia,ETFS AG,"2,150","1,500",69.76,0.22,"465,293","0.32""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"613,977","290,488",47.31,0.45,"109,147,279","0.26""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"1,403,912","653,080",46.51,1.34,"300,747,299","0.21""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"2,685,308","1,138,739",42.40,2.17,"338,466,351","0.33""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"3,294,941","1,294,541",39.28,1.02,"581,517,884","0.22""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"3,209,681","1,240,327",38.64,0.00,"177,546,198","0.69""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"782,432","287,805",36.78,0.63,"210,666,844","0.13""",,,,,,,,,
"""BXB",Brambles ,FPO,"12,497,629","4,514,944",36.12,3.72,"1,422,577,065","0.31""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"2,178,902","740,910",34.00,3.61,"414,278,904","0.17""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,598,585","541,882",33.89,-0.06,"450,076,509","0.12""",,,,,,,,,
"""GWT",GWA International ,FPO,"730,744","245,378",33.57,0.30,"301,102,514","0.08""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"2,851,584","950,965",33.34,2.33,"1,062,316,784","0.09""",,,,,,,,,
"""AAX",Ausenco ,FPO,"626,415","205,736",32.84,0.37,"122,427,576","0.16""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"7,552,031","2,465,377",32.64,0.00,"1,031,911,394","0.23""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"946,454","306,227",32.35,1.61,"239,531,783","0.12""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"2,374,973","758,769",31.94,1.77,"345,601,301","0.22""",,,,,,,,,
