ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4673.2 at 16:35 3/2/2010  Report at 19:05 Wednesday 3/2/2010. Processed 11:21 Thursday 4/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""MDS",Midas Resources ,FPO,"1,050,000","1,360,000",129.52,20.00,"283,526,546","0.48""",,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,"13,002","9,002",69.23,0.00,"51,900,000","0.01""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"2,144,258","1,278,861",59.64,3.06,"359,161,825","0.35""",,,,,,,,,
"""BRM",Brockman Resources ,FPO,"193,255","112,596",58.26,-1.09,"138,888,151","0.08""",,,,,,,,,
"""ENE",Energy Developments ,FPO,"44,364","23,810",53.67,-1.85,"156,622,631","0.01""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"1,726,065","920,616",53.33,-4.22,"508,212,161","0.18""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,302,233","1,570,046",47.54,-0.14,"1,005,148,015","0.15""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"1,384,411","628,376",45.38,0.60,"418,700,517","0.15""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"1,414,445","634,908",44.88,3.78,"434,506,974","0.14""",,,,,,,,,
"""UGL",UGL ,FPO,"629,438","278,697",44.27,1.22,"165,781,705","0.16""",,,,,,,,,
"""PIH",Prime Infrastructure.,STAPLED,"818,595","332,421",40.60,0.28,"351,776,795","0.09""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"7,840,276","3,168,481",40.41,0.37,"1,930,403,911","0.16""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"108,282","43,110",39.81,-1.37,"60,606,420","0.07""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"1,022,094","381,813",37.35,0.91,"481,404,331","0.07""",,,,,,,,,
"""NHC",New Hope Corp ,FPO,"163,745","57,461",35.09,0.44,"826,230,549","0.00""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"1,497,505","523,628",34.96,2.27,"620,709,233","0.08""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"8,505,628","2,940,850",34.57,4.49,"2,592,249,647","0.11""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"3,566,721","1,211,693",33.97,0.76,"446,890,286","0.27""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"3,700,725","1,245,204",33.64,0.26,"717,142,802","0.17""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"214,932","71,791",33.40,-1.15,"208,918,744","0.03""",,,,,,,,,
"""PPT",Perpetual ,FPO,"123,394","40,716",32.99,1.05,"42,981,208","0.09""",,,,,,,,,
"""IAA",iShares S&P Asia 50,CDI 1:1,"8,291","2,734",32.97,0.63,"1,700,000","0.16""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"469,618","153,163",32.61,1.78,"232,285,800","0.06""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"1,795,230","578,735",32.23,-0.18,"878,168,374","0.06""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"5,643,159","1,810,467",32.08,-0.26,"1,894,384,958","0.09""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"6,620,025","2,120,553",32.03,-1.12,"3,873,085,929","0.05""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"12,898,625","4,112,578",31.88,6.18,"3,103,961,516","0.13""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"11,366,228","3,595,058",31.62,0.00,"2,483,693,809","0.14""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"2,068,506","651,194",31.48,2.26,"464,564,682","0.14""",,,,,,,,,
