ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4732.7 at 16:36 22/2/2010  Report at 19:05 Monday 22/2/2010. Processed 11:14 Tuesday 23/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"2,393,723","454,179",18.97,2.27,"777,245,797","0.05""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"694,525","131,392",18.91,3.56,"418,700,517","0.03""",,,,,,,,,
"""ORI",Orica ,FPO,"1,120,817","210,543",18.78,1.32,"361,088,962","0.05""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"4,405,367","824,710",18.72,3.00,"1,270,897,282","0.06""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"76,301,329","14,158,751",18.55,-4.74,"12,443,074,357","0.11""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"320,349","58,861",18.37,-2.07,"213,673,497","0.02""",,,,,,,,,
"""WSA",Western Areas,FPO,"954,617","174,125",18.24,2.45,"179,735,899","0.09""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"3,034,674","553,009",18.22,2.12,"606,831,240","0.09""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"1,266,423","230,281",18.18,3.61,"200,184,686","0.11""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"3,297,509","594,597",18.03,-1.34,"748,299,067","0.07""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"4,620,607","824,648",17.84,0.53,"2,483,693,809","0.03""",,,,,,,,,
"""OST",OneSteel ,FPO,"5,762,050","1,017,465",17.65,-0.28,"1,328,402,869","0.07""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"21,841,989","3,853,194",17.64,1.12,"2,351,955,725","0.16""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"1,421,210","242,160",17.03,1.83,"334,822,944","0.07""",,,,,,,,,
