ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4754.9 at 16:47 27/10/2009  Report at 19:05 Tuesday 27/10/2009!. Processed 11:15 Wednesday 28/10/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""BKW",Brickworks ,FPO,"218,564","153,552",70.25,-2.64,"133,167,842","0.11""",,,,,,,,,
"""SWW",Solverdi Worldwide ,FPO,"130,000","79,804",61.38,0.00,"50,614,754","0.15""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,773,375","1,040,359",58.66,0.00,"414,853,130","0.25""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"1,231,711","680,075",55.21,-1.30,"655,054,841","0.10""",,,,,,,,,
"""IZZ",iShares FTSE/Xinhua China 25,CDI 1:1,"15,490","8,540",55.13,1.11,"128,250,000","0.00""",,,,,,,,,
"""BBG",Billabong International ,FPO,"2,584,030","1,234,001",47.75,-3.37,"252,863,336","0.48""",,,,,,,,,
"""APN",APN News & Media ,FPO,"2,656,845","1,147,780",43.20,-3.25,"595,311,917","0.19""",,,,,,,,,
"""IGR",Integra Mining ,FPO,"1,782,622","745,683",41.83,-4.00,"523,145,138","0.14""",,,,,,,,,
"""BAU",Bauxite Resources ,FPO,"1,543,388","600,000",38.87,-6.48,"152,243,228","0.39""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"4,734,693","1,814,737",38.32,-1.76,"3,092,655,082","0.05""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"9,758,421","3,717,374",38.09,1.61,"1,045,236,720","0.35""",,,,,,,,,
"""API",Australian Pharmaceutical,FPO,"480,334","180,500",37.57,-5.74,"257,346,455","0.07""",,,,,,,,,
"""BGD",Boulder Steel ,FPO,"200,000","70,000",35.00,-6.25,"482,938,752","0.01""",,,,,,,,,
"""BLD",Boral ,FPO,"3,848,805","1,267,629",32.93,-1.92,"595,313,279","0.21""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"4,678,986","1,438,227",30.73,-1.13,"1,290,049,879","0.11""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"15,158,366","4,418,117",29.14,-2.21,"3,356,081,497","0.13""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"10,414,557","3,021,979",29.01,-2.92,"2,483,693,809","0.12""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"579,264","160,705",27.74,0.22,"182,316,209","0.08""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"4,447,929","1,211,019",27.22,1.29,"755,446,780","0.16""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"3,737,128","984,161",26.33,-3.77,"716,944,681","0.13""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,792,821","729,509",26.12,-2.82,"606,831,240","0.12""",,,,,,,,,
"""DJS",David Jones ,FPO,"3,239,734","829,048",25.59,0.70,"500,656,676","0.16""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"949,974","241,324",25.40,-5.01,"416,882,268","0.05""",,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"2,784,421","702,883",25.24,-3.82,"707,187,674","0.09""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"11,550,476","2,875,432",24.89,-2.29,"2,351,955,725","0.12""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"555,316","137,429",24.74,1.03,"120,437,014","0.11""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,341,851","328,615",24.49,-1.73,"338,286,375","0.09""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"25,652,749","6,281,796",24.48,-4.06,"1,860,813,983","0.33""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"2,764,400","674,259",24.39,-2.68,"399,710,521","0.16""",,,,,,,,,
"""NFE",Northern Iron ,FPO,"128,395","30,773",23.96,-1.63,"154,199,324","0.02""",,,,,,,,,
"""EXT",Extract Resources,FPO,"348,015","81,689",23.47,-1.98,"237,260,636","0.03""",,,,,,,,,
"""GNS",Gunns ,FPO,"1,614,873","378,134",23.41,-1.34,"803,213,796","0.04""",,,,,,,,,
"""ANN",Ansell ,FPO,"437,244","100,530",22.99,-0.28,"134,730,586","0.07""",,,,,,,,,
"""PNA",PanAust ,FPO,"28,018,543","6,261,054",22.34,-5.00,"2,932,518,949","0.21""",,,,,,,,,
"""MAP",MAp Group,FORUS,"4,920,362","1,099,053",22.33,0.36,"1,718,653,539","0.06""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"2,003,469","445,000",22.21,-6.91,"303,047,088","0.14""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"961,431","212,610",22.11,-1.64,"298,171,836","0.07""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"7,204,589","1,585,089",22.00,-0.74,"1,488,668,825","0.10""",,,,,,,,,
"""HSP",Healthscope ,FPO,"764,328","165,093",21.60,0.20,"314,241,491","0.05""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"1,775,719","376,977",21.23,-4.61,"314,595,521","0.12""",,,,,,,,,
"""DXS",Dexus Property Group,STAPLED,"36,866,186","7,794,108",21.14,-4.14,"4,766,093,266","0.16""",,,,,,,,,
"""SGP",Stockland,STAPLED,"13,338,835","2,820,703",21.14,-3.24,"2,383,036,717","0.11""",,,,,,,,,
"""PRG",Programmed Maintenance,FPO,"266,295","54,749",20.56,-2.88,"99,582,071","0.05""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"600,992","120,917",20.12,-2.03,"264,264,459","0.04""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"2,663,820","531,754",19.96,-2.45,"717,387,358","0.07""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"2,920,536","571,257",19.56,0.00,"447,827,412","0.12""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"1,763,603","344,381",19.52,-1.91,"332,683,024","0.10""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"4,183,251","813,052",19.43,-1.58,"748,198,267","0.10""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"3,699,308","711,856",19.24,-0.75,"1,270,897,282","0.05""",,,,,,,,,
"""AND",Andean Resources ,FPO,"349,684","67,181",19.21,-4.34,"463,293,884","0.01""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"21,530,245","4,125,640",19.16,-4.03,"2,368,729,935","0.17""",,,,,,,,,
"""GOLD",ETFS Metal Securities Australia,ETFS GOLD,"19,034","3,626",19.05,-0.75,"4,707,138","0.07""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"11,114,088","2,092,571",18.82,-1.09,"2,941,058,008","0.07""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"2,767,616","520,986",18.82,-8.00,"235,815,914","0.22""",,,,,,,,,
"""CUE",Cue Energy ,FPO,"1,353,575","250,000",18.47,-1.92,"692,694,718","0.03""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"4,430,427","815,265",18.40,-3.52,"1,032,491,333","0.07""",,,,,,,,,
