ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4403.7 at 16:35 2/6/2010  Report at 19:06 Wednesday 2/6/2010!. Processed 11:56 Thursday 3/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""TRS",The Reject Shop ,FPO,"37,957","11,617",30.60,-0.38,"25,973,070","0.04""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"6,040,595","1,844,689",30.53,-1.27,"1,281,937,479","0.14""",,,,,,,,,
"""GOLD",ETFS Metal Securities Australia,ETFS GOLD,"36,574","11,046",30.20,1.44,"4,724,391","0.23""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"11,675,502","3,505,665",30.02,-0.24,"3,106,892,301","0.11""",,,,,,,,,
"""PRG",Programmed Maintenance,FPO,"118,662","35,080",29.56,-3.75,"118,169,906","0.03""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"2,332,378","681,482",29.21,-1.17,"483,493,006","0.14""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"709,633","202,601",28.55,-1.82,"200,184,686","0.10""",,,,,,,,,
"""REA",REA Group,FPO,"64,986","18,255",28.09,-2.91,"128,439,366","0.01""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"3,621,221","1,013,448",27.98,-1.02,"717,142,802","0.14""",,,,,,,,,
"""PNA",PanAust ,FPO,"27,548,372","7,497,414",27.21,0.00,"2,953,891,309","0.25""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"8,100,489","2,199,237",27.14,-1.26,"3,940,145,951","0.05""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"510,857","138,684",27.14,1.23,"561,347,878","0.02""",,,,,,,,,
"""EXT",Extract Resources,FPO,"226,830","61,459",27.09,-2.70,"242,867,636","0.02""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"311,481","82,485",26.48,-0.19,"120,437,014","0.06""",,,,,,,,,
"""NFE",Northern Iron ,FPO,"59,067","15,261",25.83,-0.68,"292,204,786","0.00""",,,,,,,,,
"""ERA",ERA,FPO 'A',"604,397","155,151",25.67,-4.14,"190,737,934","0.08""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"11,260,558","2,869,779",25.48,0.39,"2,307,773,663","0.12""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"4,274,526","1,073,596",25.11,-1.29,"1,548,727,174","0.06""",,,,,,,,,
