ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4859.7 at 16:47 23/10/2009  Report at 19:05 Friday 23/10/2009. Processed 11:46 Monday 26/10/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""JHX",James Hardie Industries,CDI,"3,069,338","1,703,336",55.49,1.47,"432,884,760","0.39""",,,,,,,,,
"""AWB",AWB ,FPO,"17,218,496","9,177,101",53.29,1.24,"576,669,628","1.59""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,683,597","1,116,918",41.62,1.04,"500,656,676","0.22""",,,,,,,,,
"""MAE",Marion Energy ,FPO,"605,904","250,000",41.26,-3.22,"343,836,046","0.07""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"20,183,222","8,080,419",40.03,-2.47,"1,860,813,983","0.43""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"3,039,413","1,181,387",38.86,0.72,"706,253,212","0.16""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,687,683","974,504",36.25,1.04,"606,831,240","0.16""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"1,671,400","599,862",35.89,-0.02,"483,712,063","0.12""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"14,390,259","5,156,537",35.83,1.36,"3,356,081,497","0.15""",,,,,,,,,
"""BKW",Brickworks ,FPO,"86,771","30,778",35.47,-1.03,"133,167,842","0.02""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"11,254,705","3,726,955",33.11,-0.30,"1,823,306,551","0.20""",,,,,,,,,
"""BXB",Brambles ,FPO,"6,984,358","2,307,525",33.03,0.41,"1,402,686,030","0.16""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"10,757,464","3,442,618",32.00,3.11,"1,534,223,582","0.22""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"399,288","125,421",31.41,-0.95,"412,384,875","0.03""",,,,,,,,,
