ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4299.7 at 16:36 6/7/2010  Report at 19:06 Tuesday 6/7/2010!. Processed 13:15 Wednesday 7/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""TGR",Tassal Group ,FPO,"47,500","45,000",94.73,-0.35,"144,197,882","0.03""",,,,,,,,,
"""MSL",Mac Services Group (The) ,FPO,"5,870","3,757",64.00,-0.77,"165,966,692","0.00""",,,,,,,,,
"""MEL",Metgasco ,FPO,"408,788","211,324",51.69,2.77,"249,006,674","0.08""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"4,494,612","2,164,248",48.15,-1.25,"1,079,570,693","0.20""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"154,443","71,794",46.48,-0.64,"151,904,499","0.04""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"2,259,330","1,020,327",45.16,3.22,"760,374,428","0.13""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"10,328,523","4,650,245",45.02,2.51,"1,855,529,431","0.25""",,,,,,,,,
"""SKC",Sky City Entertainment Group,FPO NZ,"19,861","8,800",44.30,1.27,"575,114,687","0.00""",,,,,,,,,
"""SEK",Seek ,FPO,"983,264","427,404",43.46,1.02,"336,584,488","0.12""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,262,969","537,715",42.57,1.14,"510,945,759","0.10""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,196,576","502,542",41.99,-3.84,"367,162,725","0.13""",,,,,,,,,
"""AAX",Ausenco ,FPO,"787,882","330,106",41.89,-1.40,"122,427,576","0.27""",,,,,,,,,
