ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4547.6 at 16:47 4/11/2009  Report at 19:05 Wednesday 4/11/2009!. Processed 11:25 Thursday 5/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""WOT",Westpac Office Trust,UNITS,"680,000","656,970",96.61,0.00,"482,154,278","0.13""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"10,570,522","6,053,924",57.27,-2.43,"1,488,668,825","0.40""",,,,,,,,,
"""BAU",Bauxite Resources ,FPO,"357,722","200,000",55.90,0.00,"212,693,228","0.09""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"7,679,483","3,995,085",52.02,1.56,"1,380,386,438","0.28""",,,,,,,,,
"""ZIM",Zimplats Holdings ,FPO 10CUS,"14,000","7,000",50.00,-3.13,"107,637,649","0.00""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"212,081","92,141",43.44,2.35,"174,773,978","0.05""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"275,823","109,337",39.64,-0.54,"414,374,875","0.02""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"10,763,637","4,237,560",39.36,2.06,"1,823,306,551","0.23""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"1,291,136","490,308",37.97,-3.84,"603,580,761","0.08""",,,,,,,,,
"""AND",Andean Resources ,FPO,"248,386","92,464",37.22,1.33,"464,293,884","0.02""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"4,468,852","1,649,651",36.91,1.38,"552,390,161","0.29""",,,,,,,,,
"""CSR",CSR ,FPO,"3,478,732","1,266,585",36.40,1.11,"1,289,265,068","0.09""",,,,,,,,,
