ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4472.4 at 16:37 4/6/2010  Report at 19:06 Friday 4/6/2010!. Processed 12:13 Monday 7/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""TWD",Tamawood ,FPO,"5,337","5,000",93.68,0.00,"37,840,926","0.01""",,,,,,,,,
"""ETPMA",G  ETFS Metal Securities Australia,ETFS AG,"4,742","4,000",84.35,-3.62,"455,585","0.87""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"289,691","195,077",67.34,0.25,"1,824,059,817","0.01""",,,,,,,,,
"""CRG",Crane Group ,FPO,"305,170","177,345",58.11,-1.72,"78,286,427","0.22""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"25,291","10,839",42.85,-0.42,"62,959,971","0.01""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"539,455","227,367",42.14,2.50,"480,514,663","0.04""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"9,102,706","3,697,884",40.62,-1.08,"1,005,159,970","0.36""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"35,322,395","13,201,364",37.37,2.51,"4,820,821,799","0.27""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"72,804","27,154",37.29,0.17,"169,264,716","0.01""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"146,714","54,517",37.15,-2.90,"94,193,403","0.05""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"13,922,763","5,109,522",36.69,-2.24,"3,356,081,497","0.15""",,,,,,,,,
"""MTS",Metcash ,FPO,"3,170,126","1,144,521",36.10,-0.48,"765,644,031","0.14""",,,,,,,,,
"""BKN",Bradken ,FPO,"349,559","126,175",36.09,-1.48,"137,611,361","0.09""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"732,251","262,262",35.81,1.59,"108,344,987","0.24""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"22,052","7,884",35.75,-0.37,"238,640,580","0.00""",,,,,,,,,
"""SGP",Stockland,STAPLED,"8,092,719","2,886,213",35.66,1.02,"2,383,036,717","0.12""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"720,320","256,806",35.65,-2.60,"259,309,656","0.09""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"1,018,478","355,419",34.89,1.59,"270,000,000","0.13""",,,,,,,,,
"""GOLD",ETFS Metal Securities Australia,ETFS GOLD,"29,686","10,218",34.42,-0.89,"4,724,391","0.21""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"4,656,909","1,590,044",34.14,-1.27,"1,281,937,479","0.12""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"4,025,859","1,365,224",33.91,0.33,"1,916,860,491","0.07""",,,,,,,,,
"""MSL",Mac Services Group (The) ,FPO,"29,990","10,131",33.78,-4.95,"165,966,692","0.00""",,,,,,,,,
