ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4500.7 at 16:37 17/5/2010  Report at 19:06 Monday 17/5/2010!. Processed 12:14 Tuesday 18/5/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""CCD",Caledon Resources,CDI,"6,287","6,287",100.00,-2.77,"30,206,041","0.02""",,,,,,,,,
"""FPH",Fisher & Paykel Healthcare,FPO NZ,"7,726","6,343",82.09,1.81,"512,327,327","0.00""",,,,,,,,,
"""PMP",PMP ,FPO,"274,514","220,519",80.33,-7.85,"335,348,483","0.06""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"6,712,200","3,808,862",56.74,-2.53,"1,035,057,651","0.36""",,,,,,,,,
"""NMG",Noble Mineral Resources ,FPO,"36,550","20,000",54.72,-10.22,"48,064,537","0.04""",,,,,,,,,
"""BTT",BT Investment Management ,FPO,"37,811","20,478",54.15,-2.52,"160,000,000","0.01""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"2,326,352","1,151,367",49.49,-1.71,"270,000,000","0.42""",,,,,,,,,
"""MAP",MAp Group,FORUS,"7,991,730","3,769,008",47.16,-1.32,"1,861,210,782","0.20""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"452,091","207,906",45.98,-4.93,"322,273,136","0.06""",,,,,,,,,
"""SEK",Seek ,FPO,"1,305,637","572,955",43.88,-4.04,"336,584,488","0.17""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,991,041","869,730",43.68,-5.78,"707,511,545","0.12""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"23,353,890","10,059,707",43.07,-5.07,"1,916,860,491","0.52""",,,,,,,,,
