ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4889.6 at 16:33 19/1/2010  Report at 19:06 Tuesday 19/1/2010. Processed 12:44 Wednesday 20/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""CZA",Coal of Africa ,FPO,"1,005,648","814,012",80.94,0.95,"474,413,911","0.17""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"9,891,610","5,503,504",55.63,-0.75,"2,067,095,545","0.26""",,,,,,,,,
"""BKN",Bradken ,FPO,"880,982","453,231",51.44,-2.18,"129,758,761","0.34""",,,,,,,,,
"""GCL",Gloucester Coal,FPO,"47,580","23,237",48.83,0.55,"81,962,133","0.02""",,,,,,,,,
"""UMC",United Minerals Corp,FPO,"312,465","148,123",47.40,0.00,"155,112,330","0.09""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,119,594","503,374",44.96,-1.34,"448,868,339","0.11""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,393,713","598,812",42.96,0.00,"533,379,348","0.11""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"9,454,994","3,587,769",37.94,-2.26,"3,102,737,233","0.11""",,,,,,,,,
"""BLD",Boral ,FPO,"2,132,065","769,274",36.08,1.21,"595,313,279","0.12""",,,,,,,,,
"""MTS",Metcash ,FPO,"5,492,174","1,730,804",31.51,-1.13,"765,551,053","0.22""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"13,952,519","4,332,691",31.05,-0.29,"3,356,081,497","0.12""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"12,738,930","3,942,643",30.95,0.12,"2,532,914,308","0.15""",,,,,,,,,
"""MAP",MAp Group,FORUS,"3,373,349","1,014,251",30.06,-3.32,"1,861,210,782","0.05""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"1,492,293","432,451",28.97,-3.34,"413,727,231","0.10""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"223,521","64,637",28.91,-1.36,"1,823,458,876","0.00""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"9,831,419","2,676,663",27.22,-0.18,"2,119,507,342","0.12""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"921,993","246,811",26.76,-0.10,"270,000,000","0.09""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"5,808,747","1,534,872",26.42,-2.42,"1,534,246,082","0.10""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,809,680","1,001,554",26.29,-0.35,"1,005,145,616","0.10""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"1,778,725","466,950",26.25,-0.47,"606,831,240","0.07""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"1,870,020","488,076",26.10,0.00,"334,766,625","0.14""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"3,663,833","931,636",25.42,-2.33,"1,045,236,720","0.08""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"2,411,513","611,173",25.34,-4.16,"1,561,166,672","0.03""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"3,937,513","992,957",25.21,-2.70,"713,154,560","0.13""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"577,179","144,812",25.09,-0.65,"620,709,233","0.02""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"11,542,269","2,890,553",25.04,-1.64,"1,930,403,911","0.15""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"738,377","181,154",24.53,-4.51,"561,000,000","0.03""",,,,,,,,,
"""KMD",Kathmandu Holdings ,FPO,"514,508","125,656",24.42,-1.23,"200,000,000","0.06""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"324,062","78,281",24.15,-0.50,"202,081,252","0.03""",,,,,,,,,
