ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010!. Processed 13:33 Monday 18/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""SGP",Stockland,STAPLED,"11,805,956","2,446,997",20.72,-0.25,"2,383,036,717","0.10""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"2,310,262","475,063",20.56,0.35,"334,766,625","0.14""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"16,285,709","3,345,886",20.54,-1.94,"1,823,306,551","0.18""",,,,,,,,,
"""PPT",Perpetual ,FPO,"130,584","26,690",20.43,0.71,"42,981,208","0.06""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"2,090,309","426,880",20.42,0.11,"699,358,971","0.06""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"525,690","105,100",19.99,0.21,"97,443,268","0.10""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,512,097","301,786",19.95,-2.26,"706,878,212","0.04""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"2,546,628","502,758",19.74,-1.59,"748,598,989","0.06""",,,,,,,,,
"""MIG",Macquarie Infrastructure Grp,STAPLED,"6,035,524","1,174,235",19.45,0.34,"2,261,732,048","0.05""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"470,599","90,168",19.16,0.00,"478,897,537","0.01""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"9,485,179","1,778,620",18.75,0.47,"2,973,828,533","0.06""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"823,229","150,773",18.31,0.24,"413,727,231","0.03""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"38,376,071","6,937,957",18.07,-0.59,"12,443,074,357","0.05""",,,,,,,,,
"""AWB",AWB ,FPO,"2,802,696","496,960",17.73,0.00,"817,304,356","0.06""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,456,294","435,402",17.72,-0.67,"606,831,240","0.07""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"6,032,148","1,057,293",17.52,0.54,"1,930,403,911","0.05""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"1,603,279","278,311",17.35,-1.49,"434,506,974","0.06""",,,,,,,,,
"""MAP",MAp Group,FORUS,"4,307,797","733,473",17.02,0.33,"1,861,210,782","0.03""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"1,692,481","286,106",16.90,-1.72,"460,804,793","0.06""",,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"947,181","157,733",16.65,0.52,"203,464,058","0.07""",,,,,,,,,
"""BBG",Billabong International ,FPO,"1,051,189","174,280",16.57,-0.92,"252,863,336","0.06""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"9,957,961","1,640,716",16.47,0.00,"1,655,249,093","0.09""",,,,,,,,,
"""HSP",Healthscope ,FPO,"457,450","74,782",16.34,0.60,"314,241,491","0.02""",,,,,,,,,
"""OGC",OceanaGold Corporation,CDI,"144,570","23,325",16.13,1.09,"185,880,075","0.01""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,656,357","266,579",16.09,0.24,"533,379,348","0.05""",,,,,,,,,
"""COH",Cochlear ,FPO,"152,438","24,393",16.00,-0.61,"56,351,818","0.04""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"4,881,435","781,050",16.00,-2.73,"865,224,422","0.09""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"6,534,147","1,042,740",15.95,0.92,"2,119,507,342","0.04""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"2,704,780","430,959",15.93,-2.42,"1,167,783,517","0.03""",,,,,,,,,
"""ANN",Ansell ,FPO,"532,839","84,128",15.78,0.39,"132,714,927","0.06""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"2,596,857","407,151",15.67,0.18,"1,290,049,879","0.03""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"649,269","101,157",15.58,0.66,"620,709,233","0.01""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"21,288,130","3,223,725",15.14,0.85,"9,277,584,743","0.03""",,,,,,,,,
"""CXS",Chemgenex Pharmaceuticals,FPO,"285,644","42,879",15.01,0.52,"282,969,347","0.01""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"14,946,438","2,241,809",14.99,1.89,"3,102,737,233","0.07""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"1,775,846","266,295",14.99,0.42,"511,140,975","0.05""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"1,110,444","161,689",14.56,1.83,"388,429,875","0.04""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"3,758,680","545,411",14.51,1.91,"1,380,386,438","0.04""",,,,,,,,,
"""CSL",CSL ,FPO,"1,970,387","285,794",14.50,-0.15,"583,878,251","0.04""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"8,342,630","1,189,553",14.25,0.87,"2,209,126,568","0.05""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"2,485,164","349,913",14.08,1.54,"270,000,000","0.13""",,,,,,,,,
"""OST",OneSteel ,FPO,"3,358,816","471,223",14.02,-1.96,"1,328,383,491","0.03""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"4,745,442","657,966",13.86,-3.12,"2,709,995,932","0.02""",,,,,,,,,
"""UGL",UGL ,FPO,"403,463","55,482",13.75,-0.14,"165,781,705","0.03""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"299,508","40,789",13.61,1.12,"208,918,744","0.02""",,,,,,,,,
"""OMH",OM Holdings ,FPO 10C,"963,126","130,676",13.56,3.30,"490,935,150","0.02""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"1,549,745","206,619",13.33,1.47,"1,045,236,720","0.02""",,,,,,,,,
"""DOM",Dominion Mining ,FPO,"226,259","29,533",13.05,-0.27,"103,249,351","0.02""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"562,674","73,380",13.04,-1.54,"272,935,495","0.02""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"5,658,295","727,216",12.85,0.31,"2,307,773,663","0.03""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"1,711,967","219,349",12.81,-1.36,"238,461,619","0.09""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"32,808,081","4,110,782",12.53,-1.17,"4,766,093,266","0.08""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"26,211,058","3,260,809",12.44,-1.28,"4,611,574,674","0.07""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"436,756","54,140",12.39,0.84,"202,081,252","0.02""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"9,431,061","1,161,682",12.31,3.16,"2,483,693,809","0.04""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"1,183,504","144,938",12.24,1.70,"350,233,189","0.04""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"863,918","105,739",12.23,-0.19,"151,926,546","0.07""",,,,,,,,,
"""BKN",Bradken ,FPO,"506,274","61,884",12.22,-1.21,"129,758,761","0.04""",,,,,,,,,
"""ROC",Roc Oil Company ,FPO,"5,693,617","680,415",11.95,1.42,"713,154,560","0.09""",,,,,,,,,
"""SBM",St Barbara ,FPO,"5,027,944","599,995",11.93,0.00,"1,952,668,407","0.03""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"9,296,470","1,082,988",11.64,0.54,"1,624,890,447","0.06""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"10,488,851","1,209,971",11.53,0.13,"2,532,914,308","0.04""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"703,644","81,000",11.51,1.25,"508,212,161","0.01""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,847,725","212,304",11.49,1.41,"607,730,819","0.03""",,,,,,,,,
"""JPR",Jupiter Energy ,FPO,"1,589,929","181,100",11.39,3.44,"736,220,391","0.02""",,,,,,,,,
"""IMD",Imdex ,FPO,"156,056","17,752",11.37,0.67,"195,003,794","0.00""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"1,195,355","135,201",11.31,3.15,"414,227,380","0.03""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"1,964,750","219,852",11.19,-0.17,"878,168,374","0.02""",,,,,,,,,
"""ASX",ASX ,FPO,"940,928","103,076",10.95,-0.37,"172,305,698","0.06""",,,,,,,,,
