Daily Gross Short Sales,,,,,,,,,,,,,,,,,,,,
ASX & CHI-X SHORT SALES: REPORTED FOR Friday, May 30, 2014,,,,,,,,,,,,,,,,,,,,
"Report at Friday, May 30, 2014. Processed Monday at 2014-06-02T12:17:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
DJS,David Jones,FPO,,"5,436,767",,,"537,137,845",1.01,,
YMAX,BetaShares Aust Top 20,TMF UNITS,,"85,363",,,"9,418,220",.90,,
EGP,Echo Entertainment,FPO,,"6,115,547",,,"825,672,730",.74,,
TPM,TPG Telecom,FPO,,"5,796,675",,,"793,808,141",.73,,
SBM,St Barbara,FPO,,"3,392,662",,,"488,074,077",.69,,
MIN,Mineral Res,FPO,,"1,108,980",,,"186,556,246",.59,,
MDL,Mineral Deposits,FPO,,"613,230",,,"103,538,786",.59,,
AGO,Atlas Iron,FPO,,"5,106,446",,,"915,496,158",.55,,
PRU,Perseus Min,FPO,,"2,864,079",,,"526,656,401",.54,,
RRL,Regis Res,FPO,,"2,614,270",,,"499,744,095",.52,,
OZL,OZ Minerals,FPO,,"1,551,182",,,"303,470,022",.51,,
SGH,Slater & Gordon,FPO,,"923,682",,,"204,338,625",.45,,
ACR,Acrux,FPO,,"743,444",,,"166,521,711",.44,,
ALQ,ALS,FPO,,"1,735,914",,,"394,252,273",.44,,
ANG,Austin Engineer,FPO,,"366,736",,,"84,274,004",.43,,
IPP,iProperty Grp,FPO,,"747,732",,,"181,579,840",.41,,
FMG,Fortescue Metals Grp,FPO,,"12,334,286",,,"3,113,798,151",.39,,
ALZ,Australand Prop ,STAPLED,,"2,063,066",,,"578,984,528",.35,,
SXL,Sthn Cross Media ,FPO,,"2,396,770",,,"705,246,986",.34,,
SPL,Starpharma Hldgs,FPO,,"959,015",,,"284,914,680",.33,,
OFX,OzForex Grp,FPO,,"744,373",,,"240,000,000",.31,,
IIN,iiNet,FPO,,"491,165",,,"161,238,847",.30,,
BKN,Bradken,FPO,,"509,437",,,"171,027,249",.29,,
BBG,Billabong Int'l,FPO,,"2,916,903",,,"990,370,034",.29,,
SLR,Silver Lake Res,FPO,,"1,419,458",,,"503,233,971",.28,,
SGP,Stockland ,STAPLED,,"6,327,827",,,"2,326,978,560",.27,,
NWH,NRW Hldgs,FPO,,"717,897",,,"278,888,011",.25,,
LYC,Lynas Corp,FPO,,"4,962,942",,,"1,961,285,594",.25,,
CVO,Cover-More Grp,FPO,,"798,207",,,"317,750,000",.25,,
DLS,Drillsearch Energy,FPO,,"995,188",,,"432,965,895",.23,,
ORI,Orica,FPO,,"854,327",,,"370,924,362",.23,,
UGL,UGL,FPO,,"390,449",,,"166,511,240",.23,,
PDN,Paladin Energy,FPO,,"2,168,841",,,"964,367,284",.22,,
KCN,Kingsgate Cons,FPO,,"480,801",,,"223,584,937",.21,,
IPL,Incitec Pivot,FPO,,"3,333,243",,,"1,644,919,097",.20,,
VED,Veda Grp,FPO,,"1,707,996",,,"842,055,406",.20,,
JBH,JB Hi-Fi,FPO,,"209,570",,,"100,385,400",.20,,
MND,Monadelphous Grp,FPO,,"178,792",,,"92,679,570",.19,,
CQR,Charter Hall Ret REIT,UNIT,,"735,992",,,"369,040,750",.19,,
LNG,Liquefied Natural,FPO,,"703,646",,,"387,256,269",.18,,
SKE,Skilled Grp,FPO,,"433,890",,,"235,254,496",.18,,
NST,Northern Star Res,FPO,,"1,075,246",,,"578,591,915",.18,,
ARI,Arrium,FPO,,"2,457,633",,,"1,366,183,142",.18,,
IFN,Infigen Energy ,STAPLED,,"1,386,934",,,"764,993,434",.18,,
ABC,Adelaide Brighton,FPO,,"1,096,446",,,"640,535,020",.17,,
PNA,PanAust,FPO,,"1,049,463",,,"635,580,654",.16,,
FDC,Federation Centres,STAPLED,,"2,326,034",,,"1,427,641,565",.16,,
TOL,Toll Hldgs,FPO,,"1,167,638",,,"717,133,875",.16,,
BCI,BC Iron,FPO,,"200,890",,,"124,028,630",.16,,
MAD,Maverick Drilling,FPO,,"865,984",,,"533,885,763",.16,,
SGN,STW Comms,FPO,,"677,845",,,"403,828,512",.16,,
MGR,Mirvac Grp ,STAPLED,,"5,703,800",,,"3,692,279,772",.15,,
MML,Medusa Min,FPO,,"320,542",,,"207,794,301",.15,,
COH,Cochlear,FPO,,"87,951",,,"57,062,020",.15,,
BPT,Beach Energy,FPO,,"1,931,959",,,"1,291,666,518",.15,,
GRR,Grange Res,FPO,,"1,758,644",,,"1,157,097,869",.15,,
