ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
 XAO 4978.4 at 16:34 13/4/2010  Report at 19:05 Tuesday 13/4/2010!. Processed 12:12 Wednesday 14/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"793,522","482,486",60.80,-2.28,"94,193,403","0.51""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"4,542,864","2,350,861",51.74,-1.48,"483,397,504","0.48""",,,,,,,,,
"""SBM",St Barbara ,FPO,"8,099,210","4,090,947",50.51,-1.81,"1,952,668,407","0.21""",,,,,,,,,
"""CBH",CBH Resources ,FPO,"4,019,875","2,000,000",49.75,0.00,"1,094,602,625","0.18""",,,,,,,,,
"""RHC",Ramsay Health Care ,FPO,"635,033","307,215",48.37,0.63,"202,081,252","0.15""",,,,,,,,,
"""PPC",Peet ,FPO,"1,774,089","789,439",44.49,0.85,"299,364,448","0.26""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"5,061,549","2,250,239",44.45,-1.30,"1,080,653,789","0.20""",,,,,,,,,
"""COH",Cochlear ,FPO,"254,605","108,358",42.55,-0.86,"56,543,401","0.19""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"413,906","171,291",41.38,-2.89,"363,937,557","0.04""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,173,861","471,323",40.15,0.00,"960,638,735","0.04""",,,,,,,,,
"""BBG",Billabong International ,FPO,"2,046,246","820,490",40.09,1.37,"252,863,336","0.32""",,,,,,,,,
"""CXS",Chemgenex Pharmaceuticals,FPO,"1,143,157","452,302",39.56,-5.31,"283,348,870","0.16""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"182,778","70,663",38.66,0.73,"232,465,800","0.03""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"1,540,822","595,023",38.61,-0.81,"491,069,791","0.12""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"1,225,793","468,318",38.20,-0.24,"151,920,368","0.30""",,,,,,,,,
"""GNS",Gunns ,FPO,"3,708,064","1,388,066",37.43,-2.75,"806,734,892","0.17""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,254,131","464,831",37.06,-1.08,"533,379,348","0.08""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"36,606,744","13,507,526",36.89,0.73,"6,205,676,188","0.21""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"11,758,132","4,267,386",36.29,-1.37,"3,356,081,497","0.12""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"118,225","42,909",36.29,-0.25,"156,010,648","0.02""",,,,,,,,,
"""HSP",Healthscope ,FPO,"958,675","343,786",35.86,-0.88,"317,010,025","0.10""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"2,600,181","926,359",35.62,1.39,"754,308,869","0.12""",,,,,,,,,
