S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4590.8 at 16:34 16/2/2010  Report at 19:05 Tuesday 16/2/2010. Processed 19:28 Tuesday 16/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.226,0.38,0.365,ABP,Abacus Prop stpld,0.365,-1,"49,821",0.365,0.37,5.75,,-,0.62,15.75,-11.81,-
3.01,1.445,2.62,2.50,ABC,Adelaide Brighton,2.56,8,"10,362",2.55,2.57,14,f,1.49,1.15,5.47,20.8,12.3
1.65,0.096,1.05,0.985,ABY,Aditya Birla,1.01,-1,"6,099",1.00,1.02,-,,-,1.42,-,-17.34,-
1.24,0.50,0.595,0.565,AED,AED Oil Ltd,0.565,-0.5,"1,140",0.565,0.58,-,,-,-,-,-66.9,-
15.46,12.83,13.85,13.71,AGK,AGL Energy Ltd,13.75,-1,"3,699",13.73,13.80,54,f,6.63,6.00,3.93,358,3.8
5.60,2.03,3.45,3.28,AJL,AJ Lucas Grp,3.40,3,"1,065",3.35,3.45,5.5,,45.40,2.11,1.62,249.7,1.4
5.91,0.60,4.25,4.18,ALS,Alesco Corp,4.20,2,"1,105",4.16,4.26,14,f,-,0.65,3.33,-17.36,-
0.98,0.363,0.54,0.535,AGS,Alliance Res,0.535,,"1,922",0.535,0.54,-,,-,-,-,-8.3,-
2.06,0.683,1.605,1.54,AWC,Alumina Ltd,1.55,-4,"194,030",1.545,1.56,2,f,-,1.21,1.29,-1.2,-
6.35,3.50,5.98,5.89,AMC,Amcor Ltd,5.90,,"22,753",5.87,5.93,34,,0.74,1.61,5.76,25.3,23.3
6.97,3.52,6.20,6.14,AMP,AMP Ltd,6.15,-5,"71,832",6.15,6.16,30,p,0.99,0.67,4.88,29.6,20.8
10.98,7.51,10.30,10.05,ANN,Ansell Ltd,10.20,5,"7,495",10.20,10.25,28,,3.19,1.98,2.75,89.2,11.4
25.25,12.06,21.47,20.78,ANZ,ANZ Banking Grp,21.10,60,"92,068",21.10,21.13,102,f,1.67,10.72,4.83,170.4,12.4
3.68,2.50,3.23,3.18,APA,APA Grp stpld,3.20,-2,"5,141",3.19,3.22,31,,0.52,1.18,9.69,16.2,19.8
0.276,0.027,0.029,0.027,AXM,Apex Min NL,0.028,,"39,152",0.027,0.029,-,,-,-,-,-31.41,-
2.61,0.866,2.31,2.27,APN,APN News & Media,2.28,1,"12,477",2.27,2.30,12,,-,-1.23,5.26,-13.1,-
7.95,3.088,6.55,6.40,AQP,Aquarius Platinum,6.43,-12,"6,490",6.41,6.51,-,,-,-,-,20.79,30.9
11.38,1.727,9.72,9.25,AQA,Aquila Res,9.53,37,"5,153",9.53,9.68,-,,-,-,-,-10.5,-
1.285,0.245,-,-,ARU,Arafura Resource,0.805,,-,0.815,0.81,-,,-,-,-,-7.7,-
1.845,0.79,1.62,1.56,AAD,Ardent Leisure Grp stp,1.565,-0.5,"2,591",1.54,1.57,14.3,,-,1.18,9.14,-0.32,-
5.75,3.16,4.47,4.37,ALL,Aristocrat Leisure,4.40,,"2,743",4.36,4.40,14.5,f,-,0.35,3.30,-0.2,-
4.73,2.36,3.61,3.52,AOE,Arrow Energy,3.54,,"9,961",3.53,3.54,-,,-,0.82,-,52,6.8
1.94,0.32,1.725,1.69,AIO,Asciano Grp stpld,1.705,,"60,946",1.70,1.705,-,,-,-1.41,-,-32.5,-
0.575,0.218,0.45,0.445,APZ,Aspen Grp stpld,0.445,,"3,995",0.445,0.45,5.18,,-,0.68,11.64,-22.53,-
0.515,0.16,0.36,0.345,AJA,Astro Jap Prop stp,0.355,,"7,762",0.35,0.355,9,,-,0.93,25.35,-71.94,-
37.90,24.57,35.88,34.92,ASX,ASX Ltd,35.33,-52,"7,263",35.19,35.42,164.9,f,1.11,2.66,4.67,183.2,19.3
2.36,1.115,2.13,2.04,AGO,Atlas Iron Ltd,2.06,,"15,186",2.04,2.07,-,,-,-,-,-21.3,-
2.20,0.675,1.88,1.82,ASL,Ausdrill Ltd,1.88,6,"3,612",1.87,1.88,11,f,2.11,1.73,5.85,23.23,8.1
5.95,1.855,3.90,3.80,AAX,Ausenco Ltd,3.83,3,"1,562",3.83,3.90,18.5,f,2.38,0.76,4.83,43.94,8.7
1.95,1.16,1.36,1.315,AAC,Aust Agriculture,1.315,-4,"15,297",1.30,1.335,-,,-,2.42,-,-20.3,-
1.95,0.991,1.855,1.81,AIX,Aust Infra unt,1.825,2.5,"7,700",1.81,1.85,13,,2.03,3.14,7.12,26.33,6.9
0.939,0.312,0.605,0.595,API,Aust Pharmaceutical,0.595,,"12,952",0.595,0.605,2,f,2.95,0.84,3.36,5.9,10.1
3.12,1.425,2.48,2.42,ASB,Austal Ltd,2.44,,"1,055",2.42,2.46,6,f,0.83,1.24,2.46,5,48.8
