S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,,,,
Trading data for Monday, September 24, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4409.2 at 2012-09-24T16:44:36. Report at Monday, September 24, 2012. Processed Tuesday at 2012-09-25T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
2.13,1.78,2.01,1.975,ABP,Abacus Prop stp,1.985,-1.5,8001,1.985,1.995,16.50,,.13,2.34,8.31,2.11,94.1,,
.082,.035,.059,.056,ABU,ABM Res,.057,-.2,68549,.056,.057,-,,-,-,-,-.41,-,,
4.77,2.59,3.42,3.32,ACR,Acrux,3.32,-7,12401,3.32,3.35,8.00,,.56,.17,2.41,4.44,74.8,,
3.40,2.45,3.04,2.99,ABC,Adelaide Brighton,3.00,-1,4927,3.00,3.01,16.50,f,1.47,1.23,5.50,24.20,12.4,,
16.01,13.031,14.52,14.38,AGK,AGL Energy,14.45,-11,12225,14.45,14.46,61.00,f,.39,7.26,4.22,23.80,60.7,,
2.75,.335,2.44,2.30,AGI,Ainsworth Game Tech,2.34,-11,7483,2.33,2.34,-,,-,.36,-,23.00,10.2,,
12.30,4.66,7.05,6.88,AQG,Alacer Gold cdi,6.93,+20,9876,6.92,6.94,-,,-,-,-,28.59,24.2,,
2.03,.947,1.93,1.915,ALS,Alesco Corp,1.92,+.5,1009,1.92,1.925,8.00,f,-,.75,4.17,-14.72,-,,
1.615,.735,.995,.95,ALK,Alkane Res,.985,+4,2095,.975,.99,-,,-,-,-,-.52,-,,
13.984,7.23,8.83,8.58,ALQ,ALS,8.70,-18,12189,8.70,8.71,45.00,p,1.46,.48,5.17,65.89,13.2,,
1.665,.625,.89,.88,AWC,Alumina,.885,-.5,48670,.885,.89,2.80,,.69,.96,3.16,1.92,46.1,,
7.80,6.57,7.64,7.56,AMC,Amcor,7.61,-1,30793,7.61,7.62,37.00,,.92,.96,4.86,34.00,22.4,,
4.55,3.71,4.43,4.36,AMP,AMP,4.37,-7,94923,4.37,4.38,26.50,p,.96,1.06,6.06,25.40,17.2,,
2.11,.35,.79,.72,AMX,Ampella Min,.73,-4,7164,.73,.735,-,,-,-,-,-16.83,-,,
16.00,12.44,15.62,15.41,ANN,Ansell,15.49,-6,3557,15.49,15.54,35.50,,2.79,2.43,2.29,99.10,15.6,,
25.12,18.60,24.83,24.61,ANZ,ANZ Banking Grp,24.70,-14,88395,24.69,24.70,142.00,f,1.51,-,5.75,214.80,11.5,,
5.34,3.92,4.77,4.73,APA,APA Grp stp,4.75,-1,15179,4.74,4.75,35.00,,.58,1.58,7.37,20.40,23.3,,
.96,.28,.355,.325,APN,APN News & Media,.335,+1.5,37960,.335,.34,6.50,p,-,-.22,19.40,-41.10,-,,
3.17,.475,.685,.65,AQP,Aquarius Platinum,.67,-2,51935,.67,.68,3.76,,-,-,5.61,-33.14,-,,
6.83,1.86,2.65,2.58,AQA,Aquila Res,2.60,-8,7026,2.60,2.61,-,,-,-,-,-.06,-,,
10.23,7.66,9.92,9.78,ARP,ARB Corp,9.92,+15,455,9.84,9.92,25.00,f,2.12,1.93,2.52,53.12,18.7,,
1.40,1.005,1.327,1.315,AAD,Ardent Leisure Grp stp,1.315,-1.5,4160,1.31,1.32,11.70,p,.33,.80,8.90,3.87,34.0,,
3.25,1.925,2.77,2.72,ALL,Aristocrat Leisure,2.72,-2,7966,2.72,2.73,8.00,,1.75,.33,2.94,14.00,19.4,,
1.39,.50,.59,.57,ARI,Arrium,.58,-1.5,68826,.575,.58,6.00,,.72,1.20,10.34,4.30,13.5,,
