S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4615.6 at 16:40 9/8/2010  Report at 19:05 Monday 9/8/2010. Processed 19:20 Monday 9/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.295,0.175,0.19,0.185,BDG,Bendigo Min Ltd,0.19,,"5,513",0.185,0.19,0.5,,6.40,0.15,2.63,3.2,5.9
1.595,0.905,1.25,1.225,BKY,Berkeley Res,1.23,,"1,062",1.205,1.23,-,,-,-,-,-8.92,-
44.93,35.58,41.65,40.92,BHP,BHP Billiton Ltd,41.55,42,"242,226",41.50,41.60,95.15,f,1.95,8.76,2.29,185.29,22.4
12.32,8.28,9.11,8.87,BBG,Billabong Intl,9.08,,"10,337",9.02,9.08,36,p,1.59,0.84,3.96,57.2,15.9
3.336,0.85,1.04,0.995,BTA,Biota Hldgs,1.035,2.5,"5,660",1.03,1.035,-,,-,0.60,-,36.6,2.8
3.41,2.03,2.47,2.41,BSL,BlueScope Steel,2.45,,"75,576",2.44,2.46,-,,-,2.47,-,-61.37,-
4.10,2.43,3.20,3.13,BLY,Boart Longyear,3.20,2,"15,676",3.18,3.20,-,,-,0.14,-,-0.67,-
6.40,4.15,4.50,4.35,BLD,Boral Ltd,4.47,9,"53,684",4.45,4.49,12.5,f,1.82,4.23,2.80,22.7,19.7
1.605,0.905,1.415,1.385,BOW,Bow Energy Ltd,1.415,2.5,"6,273",1.395,1.415,-,,-,-,-,4.42,32.0
8.14,5.48,7.97,7.72,BKN,Bradken Ltd,7.93,3,"6,036",7.90,7.98,26,f,1.67,1.58,3.28,43.3,18.3
8.37,5.22,5.44,5.36,BXB,Brambles Ltd,5.42,1,"30,913",5.41,5.45,25,p,1.38,0.66,4.61,34.45,15.7
4.05,1.22,3.15,3.02,BRM,Brockman Res,3.08,-4,"1,657",3.05,3.11,-,,-,-,-,-14.9,-
2.09,1.66,1.89,1.88,BWP,Bunnings Warehouse unt,1.89,0.5,"2,202",1.885,1.895,10.97,,1.27,1.83,5.80,13.89,13.6
6.66,4.35,4.55,4.42,CAB,Cabcharge Aust,4.54,11,"2,225",4.53,4.54,34,f,1.44,-,7.49,48.9,9.3
13.63,8.01,10.44,10.25,CTX,Caltex Aust,10.42,9,"3,161",10.33,10.42,25,f,4.65,10.48,2.40,116.3,9.0
0.533,0.269,0.38,0.37,CFE,Cape Lambert Res,0.37,,"11,048",0.37,0.38,-,f,-,-,-,10.88,3.4
0.885,0.29,0.325,0.315,CNX,Carbon Energy,0.315,-1,"5,999",0.315,0.32,-,,-,-,-,-1.87,-
0.655,0.30,0.395,0.385,CVN,Carnarvon Pet,0.39,,"24,652",0.39,0.395,-,,-,0.05,-,3.3,11.8
5.86,3.56,5.14,4.90,CRZ,Carsales Com Ltd,5.14,10,"2,329",5.01,5.16,6.6,f,1.24,0.01,1.28,8.2,62.7
0.71,0.475,0.56,0.55,CCV,Cash Convert ord/div   ,0.56,,"3,582",0.55,0.56,3,f,2.32,0.23,5.36,6.97,8.0
1.957,1.141,1.61,1.585,CAH,Catalpa Res,1.60,,"3,423",1.585,1.61,-,,-,-,-,-3.7,-
6.05,3.05,5.99,5.97,CEY,Centennial Coal,5.98,,"57,535",5.98,5.99,8,p,1.98,1.87,1.34,15.8,37.8
0.52,0.105,0.205,0.195,CNP,Centro Prop stp,0.20,-0.5,"21,527",0.20,0.205,31.8,,-,-2.87,159.00,-113.25,-
0.265,0.105,0.175,0.17,CER,Centro Retail stp,0.17,-0.5,"5,182",0.17,0.175,0.37,,-,0.35,2.18,-18.43,-
0.345,0.15,0.225,0.215,CFU,Ceramic Fuel Cells,0.22,,"50,384",0.22,0.225,-,,-,0.04,-,-0.09,-
2.12,1.695,1.92,1.895,CFX,CFS Retail Prop unt,1.915,1,"79,997",1.91,1.92,12.5,,-,1.99,6.53,-1.9,-
0.58,0.38,0.505,0.50,CDI,Challenger Div Pro stp,0.50,,"2,491",0.495,0.505,5.05,,0.09,0.65,10.10,0.46,108.7
4.50,2.40,3.73,3.53,CGF,Challenger FSG Ltd,3.73,11,"22,593",3.70,3.75,13.5,,2.61,3.36,3.62,35.2,10.6
2.06,1.28,1.33,1.31,CIF,Challenger Infra stp,1.33,1.5,"1,354",1.315,1.33,15,,-,-1.66,11.28,-59.2,-
0.79,0.427,0.64,0.62,CHC,Charter Hall Grp forus,0.625,-0.5,"14,816",0.62,0.63,3.2,,-,0.60,5.12,-23.57,-
0.355,0.22,0.255,0.25,CQO,Charter Hall Office unt,0.255,0.5,"74,434",0.25,0.255,2.5,,4.01,0.44,9.80,10.03,2.5
0.735,0.47,0.53,0.52,CQR,Charter Hall Retail unt,0.53,,"53,969",0.525,0.53,6,,-,0.72,11.32,-45.58,-
0.444,0.234,0.325,0.315,CGG,Citadel Resource Grp,0.32,,"9,184",0.31,0.325,-,,-,-,-,-0.75,-
1.035,0.725,0.86,0.835,CLO,Clough Ltd,0.835,-1.5,241,0.835,0.86,2,,3.99,0.31,2.40,7.98,10.5
12.15,9.21,11.55,11.44,CCL,Coca-Cola Amatil,11.50,-10,"18,848",11.46,11.52,43.5,f,1.39,1.38,3.78,60.5,19.0
79.11,56.27,71.47,70.28,COH,Cochlear Ltd,71.28,99,"3,332",70.75,71.50,190,f,1.27,3.25,2.67,242.2,29.4
2.37,0.855,1.13,1.125,COF,Coffey Intl,1.13,0.5,"1,240",1.125,1.13,12,f,1.00,-0.17,10.62,12,9.4
60.00,43.44,53.19,52.11,CBA,C'wlth Bank  of Aust ,53.04,45,"29,712",53.00,53.12,235,f,1.41,-,4.43,330.4,16.1
1.045,0.735,0.975,0.965,CPA,C'wlth Prop ord unt   ,0.97,-0.5,"53,970",0.965,0.97,6.85,,-,1.11,7.06,-11.41,-
12.90,9.75,10.32,10.15,CPU,Computershare Ltd,10.28,-5,"12,275",10.23,10.30,25,p,2.27,-1.54,2.43,56.84,18.1
0.49,0.33,0.40,0.395,CEU,ConnectEast stp,0.40,,"46,923",0.395,0.40,2,,-,-,5.00,-21.74,-
0.795,0.20,0.355,0.34,CQT,Conquest Min,0.35,1,"1,513",0.35,0.355,-,,-,-,-,-0.14,-
0.58,0.355,0.445,0.43,COE,Cooper Energy Ltd,0.445,2,"7,401",0.44,0.445,-,,-,0.45,-,7.1,6.3
11.66,7.76,8.76,8.61,CRG,Crane Grp Ltd,8.61,-19,"3,194",8.61,8.63,40,f,1.04,4.50,4.65,41.7,20.6
9.39,6.98,8.12,7.96,CWN,Crown Ltd,8.12,-3,"5,360",8.00,8.15,37,p,-,3.24,4.56,-92.35,-
2.30,1.06,1.905,1.865,CSV,CSG Ltd,1.90,-0.5,"3,020",1.89,1.905,5,f,2.77,0.05,2.63,13.85,13.7
37.56,30.03,33.79,33.26,CSL,CSL Ltd,33.73,5,"6,542",33.65,33.73,75,,2.85,6.11,2.22,213.41,15.8
2.18,1.585,1.73,1.71,CSR,CSR Ltd,1.725,0.5,"40,138",1.72,1.725,8.5,f,-,1.04,4.93,-8.2,-
6.59,3.35,5.02,4.68,CDU,Cudeco Ltd,4.99,23,"9,276",4.99,5.00,-,,-,-,-,0.42,1188.1
3.154,2.297,2.71,2.65,CUS,Customers Ltd,2.70,5,"2,614",2.70,2.72,-,,-,0.26,-,18.4,14.7
0.88,0.745,0.775,0.745,DTE,Dart Energy Ltd,0.75,,"40,716",0.75,0.755,-,,-,-,-,-,-
5.96,4.10,4.76,4.66,DJS,David Jones Ltd,4.72,,"8,084",4.71,4.74,29,f,1.14,1.22,6.14,33,14.3
0.405,0.12,0.20,0.19,DYL,Deep Yellow Ltd,0.19,-1.5,"11,508",0.19,0.195,-,,-,-,-,-0.28,-
