S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4652.6 at 16:47 9/12/2009  Report at 19:05 Wednesday 9/12/2009. Processed 19:16 Wednesday 9/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.956,0.678,0.86,0.835,BPT,Beach Pet,0.855,0.5,"48,580",0.855,0.86,1.75,p,14.41,-,2.05,25.21,3.4
12.157,5.733,8.91,8.69,BEN,Bendigo & Adelaide,8.79,3,"8,130",8.76,8.82,43,f,0.60,4.03,4.89,25.6,34.3
0.32,0.13,0.235,0.22,BDG,Bendigo Min Ltd,0.225,-1,"17,475",0.225,0.23,0.5,,3.40,0.15,2.22,1.7,13.2
1.50,0.175,1.28,1.235,BKY,Berkeley Res,1.24,-1,"2,850",1.235,1.24,-,,-,-,-,-9.47,-
42.47,26.64,40.71,40.17,BHP,BHP Billiton Ltd,40.55,-50,"103,310",40.55,40.64,113.63,f,1.15,8.84,2.80,130.15,31.2
12.19,5.815,11.38,10.88,BBG,Billabong Intl,11.20,8,"9,979",10.75,11.27,45,p,1.54,0.70,4.02,69.2,16.2
3.336,0.284,2.97,2.89,BTA,Biota Hldgs,2.91,-8,"9,202",2.91,2.92,-,,-,0.55,-,21.7,13.4
0.335,0.093,0.235,0.22,BUL,Blue Energy Ltd,0.23,-0.5,"15,652",0.225,0.23,-,,-,-,-,-1.48,-
3.48,1.675,2.87,2.82,BSL,BlueScope Steel,2.84,-6,"191,604",2.83,2.85,5,,-,2.46,1.76,-7.1,-
0.375,0.054,0.33,0.315,BLY,Boart Longyear,0.33,0.5,"939,551",0.325,0.33,2.87,,2.38,-0.10,8.70,6.84,4.8
6.40,2.29,5.48,5.36,BLD,Boral Ltd,5.41,-13,"38,571",5.40,5.45,13,f,1.85,4.12,2.40,24.1,22.4
1.60,0.146,1.33,1.30,BOW,Bow Energy Ltd,1.32,-3,"7,795",1.31,1.32,-,,-,-,-,-0.46,-
7.55,0.945,7.26,7.04,BKN,Bradken Ltd,7.19,-11,"3,303",7.17,7.28,23,f,2.28,1.31,3.20,52.5,13.7
8.37,4.08,6.30,6.23,BXB,Brambles Ltd,6.27,-5,"52,912",6.26,6.28,30,p,1.34,0.58,4.78,40.18,15.6
2.23,0.485,2.03,1.965,BRM,Brockman Res,2.00,2.5,614,1.95,2.00,-,,-,-,-,-11.1,-
1.945,1.473,1.80,1.765,BWP,Bunnings Warehouse unt,1.785,-1.5,"5,189",1.745,1.80,11.57,,-,1.79,6.48,-3.74,-
7.09,4.71,5.94,5.89,CAB,Cabcharge Aust,5.94,-1,"2,964",5.90,5.94,34,f,1.50,2.21,5.72,51,11.6
14.00,6.31,8.98,8.44,CTX,Caltex Aust,8.64,-37,"26,239",8.63,8.65,36,,0.43,10.60,4.17,15.6,55.4
0.575,0.19,-,-,CFE,Cape Lambert Res,0.53,,-,0.56,0.53,-,,-,-,-,47.27,1.1
0.885,0.20,0.83,0.78,CNX,Carbon Energy,0.825,2.5,"27,261",0.82,0.83,-,,-,-,-,-3.11,-
0.885,0.25,0.505,0.495,CVN,Carnarvon Pet,0.50,-1,"18,143",0.50,0.505,-,,-,0.07,-,5.4,9.3
0.64,0.255,0.63,0.625,CCV,Cash Convert ord/div   ,0.625,-0.5,"2,271",0.625,0.63,3,f,2.26,0.09,4.80,6.77,9.2
3.66,1.51,3.31,3.27,CEY,Centennial Coal,3.30,-1,"16,959",3.29,3.34,11,f,1.77,1.77,3.33,19.5,16.9
0.52,0.047,0.255,0.24,CNP,Centro Prop stpld,0.25,-1,"65,999",0.245,0.25,31.8,,-,-2.91,127.20,-398.36,-
0.225,0.016,0.16,0.155,CER,Centro Retail stpld,0.16,,"34,122",0.155,0.16,0.37,,-,0.30,2.31,-117.14,-
0.345,0.042,0.235,0.23,CFU,Ceramic Fuel Cells,0.23,-0.5,"9,236",0.23,0.235,-,,-,0.05,-,-8.58,-
2.12,1.415,1.89,1.855,CFX,CFS Retail Prop unt,1.865,-3.5,"69,812",1.86,1.875,12.5,p,-,2.02,6.70,-15.27,-
4.38,0.865,4.20,4.03,CGF,Challenger FSG Ltd,4.17,11,"39,401",4.10,4.17,12.5,,-,1.81,3.00,-16.2,-
2.30,1.20,1.87,1.77,CIF,Challenger Infra stpld,1.85,3,"3,990",1.80,1.85,20,,-,-1.54,10.81,-40.3,-
0.68,0.156,0.615,0.605,CHC,Charter Hall Grp forus,0.615,-0.5,"17,059",0.605,0.615,4.96,,-,0.71,8.07,-17.98,-
0.465,0.105,0.405,0.38,CGG,Citadel Resource Grp,0.40,0.5,"11,973",0.40,0.405,-,,-,-,-,-4.01,-
0.345,0.135,0.15,0.145,CTO,Citigold Corp Ltd,0.145,-0.5,"23,576",0.145,0.15,-,,-,-,-,-0.22,-
1.035,0.245,0.985,0.97,CLO,Clough Ltd,0.98,0.5,"2,768",1.02,0.98,2,p,3.92,0.29,2.04,7.84,12.5
11.25,8.02,10.88,10.69,CCL,Coca-Cola Amatil,10.82,1,"25,032",10.82,10.90,40.5,f,1.35,1.14,3.74,54.8,19.7
