S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4500.0 at 16:36 18/5/2010  Report at 19:05 Tuesday 18/5/2010. Processed 19:18 Tuesday 18/5/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.31,0.405,0.395,ABP,Abacus Prop stp,0.395,,"44,598",0.395,0.40,5.75,,-,0.60,14.56,-2.32,-
2.60,1.005,1.945,1.905,ACR,Acrux Ltd,1.93,-1,"2,903",1.91,1.93,-,,-,0.06,-,-2.84,-
3.01,2.03,2.82,2.73,ABC,Adelaide Brighton,2.75,-1,"43,410",2.74,2.76,13.5,f,1.51,1.21,4.91,20.4,13.5
1.65,0.50,0.90,0.85,ABY,Aditya Birla,0.855,-4,"9,119",0.85,0.89,-,,-,1.51,-,19.61,4.4
15.69,13.07,14.82,14.59,AGK,AGL Energy Ltd,14.78,27,"8,249",14.76,14.81,57,f,0.47,6.21,3.86,27,54.7
5.60,2.10,2.19,2.10,AJL,AJ Lucas Grp,2.15,,"2,642",2.11,2.15,5.5,,2.91,1.32,2.56,16,13.4
5.91,2.57,2.71,2.57,ALS,Alesco Corp,2.58,-7,"5,249",2.58,2.71,14,f,-,0.65,5.43,-17.36,-
0.98,0.38,0.40,0.39,AGS,Alliance Res,0.40,-1,"3,977",0.39,0.40,-,,-,-,-,-1.97,-
2.06,1.22,1.665,1.60,AWC,Alumina Ltd,1.625,-0.5,"392,987",1.62,1.635,2,f,-,1.21,1.23,-1.2,-
6.76,4.276,6.60,6.49,AMC,Amcor Ltd,6.53,3,"69,790",6.51,6.54,29.5,,0.71,2.25,4.52,20.9,31.2
6.97,4.55,5.87,5.70,AMP,AMP Ltd,5.78,-3,"65,942",5.73,5.79,30,p,1.24,0.80,5.19,37.1,15.6
13.48,8.01,13.14,12.64,ANN,Ansell Ltd,12.74,-16,"7,051",12.71,12.81,29,,2.82,1.92,2.28,81.7,15.6
26.23,14.90,22.30,21.64,ANZ,ANZ Banking Grp,21.73,-42,"165,982",21.72,21.73,108,f,1.34,9.99,4.97,144.8,15.0
3.79,2.60,3.58,3.52,APA,APA Grp stp,3.56,6,"11,177",3.55,3.59,31.75,,0.79,-,8.92,25,14.2
2.61,1.145,2.43,2.37,APN,APN News & Media,2.40,1,"12,678",2.34,2.40,4,f,4.17,-0.78,1.67,16.7,14.4
7.95,3.74,6.86,6.62,AQP,Aquarius Platinum,6.80,11,"18,569",6.71,6.85,2.26,,9.20,-,0.33,20.79,32.7
11.38,3.709,9.42,8.93,AQA,Aquila Res,9.09,-15,"6,553",8.99,9.19,-,,-,-,-,-14.8,-
1.285,0.445,0.465,0.445,ARU,Arafura Resource,0.455,-0.5,"5,225",0.455,0.46,-,,-,-,-,-5.1,-
1.845,1.10,1.155,1.12,AAD,Ardent Leisure stp,1.15,4.5,"6,343",1.135,1.16,14.3,,0.19,1.10,12.43,2.73,42.1
5.75,3.37,4.27,4.21,ALL,Aristocrat Leisure,4.25,7,"29,034",4.20,4.28,4.5,,-,0.07,1.06,-31.3,-
5.31,3.04,4.84,4.73,AOE,Arrow Energy,4.78,-6,"91,227",4.78,4.80,-,,-,2.13,-,15.38,31.1
1.94,1.037,1.59,1.515,AIO,Asciano Grp stp,1.56,-0.5,"136,377",1.545,1.57,-,,-,0.10,-,-41.9,-
0.575,0.27,0.50,0.485,APZ,Aspen Grp stp,0.495,0.5,"10,724",0.49,0.495,4.19,,-,0.68,8.46,-3.37,-
0.515,0.29,0.365,0.36,AJA,Astro Jap Prop stp,0.365,0.5,"1,084",0.36,0.365,8.5,,-,0.76,23.29,-36.49,-
37.90,31.03,32.86,32.26,ASX,ASX Ltd,32.70,41,"11,063",32.51,32.88,163.6,f,1.10,3.19,5.00,180.6,18.1
3.05,1.475,2.18,2.05,AGO,Atlas Iron Ltd,2.08,-3,"54,363",2.08,2.10,-,,-,-,-,-15.5,-
2.34,0.855,1.84,1.755,ASL,Ausdrill Ltd,1.79,0.5,"3,068",1.79,1.84,11,f,1.87,1.60,6.15,20.62,8.7
5.95,3.32,4.04,3.83,AAX,Ausenco Ltd,3.85,-8,"10,896",3.83,3.99,9.5,f,2.00,0.62,2.47,19,20.3
1.64,1.18,1.48,1.41,AAC,Aust Agriculture,1.46,5.5,"29,963",1.38,1.465,-,,-,2.42,-,-20.3,-
2.09,1.18,1.775,1.72,AIX,Aust Infra unt,1.74,,"15,931",1.74,1.79,10,p,1.94,2.62,5.75,19.37,9.0
0.939,0.44,0.475,0.455,API,Aust Pharmaceutical,0.47,0.5,"8,244",0.465,0.475,3,f,2.03,0.79,6.38,6.1,7.7
3.12,2.08,2.22,2.18,ASB,Austal Ltd,2.21,-2,"1,071",2.16,2.23,6,,0.72,1.30,2.71,4.35,50.8
1.465,0.715,1.125,1.10,AUN,Austar United,1.12,2,"21,645",1.115,1.14,-,,-,-0.31,-,4.7,23.8
3.05,1.743,2.53,2.45,ALZ,Australand Prop stp,2.46,-4,"5,303",2.44,2.50,5,,-,0.68,2.03,-13.4,-
2.37,1.48,2.31,2.22,AVO,Avoca Res,2.25,-1,"12,280",2.24,2.26,-,,-,0.79,-,12.49,18.0
1.337,0.791,1.01,0.985,AWB,AWB Ltd,1.00,-1,"35,123",0.995,1.005,-,,-,1.81,-,18.5,5.4
3.17,2.11,2.24,2.11,AWE,AWE Ltd,2.14,-4,"45,793",2.13,2.19,-,,-,1.74,-,1.43,149.7
6.72,3.51,6.04,5.92,AXA,AXA Asia Pacific,5.97,-2,"62,467",5.96,5.99,18.5,p,1.89,1.12,3.10,34.89,17.1
13.49,7.394,11.93,11.57,BOQ,Bank of Qld,11.70,-3,"6,376",11.60,11.93,52,f,1.78,7.20,4.44,92.4,12.7
1.485,0.31,0.39,0.365,BMN,Bannerman Res,0.375,,"4,763",0.365,0.375,-,,-,-,-,-7.84,-
1.04,0.655,0.795,0.77,BPT,Beach Energy Ltd,0.79,2,"38,325",0.785,0.79,1.75,p,9.17,1.27,2.22,16.05,4.9
