S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:41 Thursday 24/12/2009. Processed 15:56 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.956,0.678,0.90,0.88,BPT,Beach Energy Ltd,0.895,,"13,153",0.89,0.895,1.75,p,14.41,-,1.96,25.21,3.6
11.515,5.733,9.39,9.07,BEN,Bendigo & Adelaide,9.39,30,"5,987",9.18,9.40,43,f,0.60,4.03,4.58,25.6,36.7
0.32,0.135,0.25,0.245,BDG,Bendigo Min Ltd,0.25,0.5,"1,137",0.245,0.25,0.5,,3.40,0.15,2.00,1.7,14.7
1.50,0.20,1.195,1.15,BKY,Berkeley Res,1.19,1,715,1.19,1.195,-,,-,-,-,-9.47,-
42.65,26.64,42.65,42.35,BHP,BHP Billiton Ltd,42.47,55,"44,801",42.46,42.47,113.63,f,1.15,8.84,2.68,130.15,32.6
12.19,5.815,10.80,10.61,BBG,Billabong Intl,10.70,1,"2,300",10.60,10.77,45,p,1.54,0.70,4.21,69.2,15.5
3.336,0.303,2.48,2.44,BTA,Biota Hldgs,2.44,,"2,830",2.44,2.46,-,,-,0.55,-,21.7,11.2
0.335,0.125,0.22,0.215,BUL,Blue Energy Ltd,0.215,,"4,334",0.215,0.22,-,,-,-,-,-1.48,-
3.48,1.675,3.01,2.92,BSL,BlueScope Steel,2.96,-2,"63,332",2.96,2.97,5,,-,2.46,1.69,-7.1,-
0.375,0.054,0.355,0.335,BLY,Boart Longyear,0.355,1.5,"275,297",0.35,0.355,2.87,,2.38,-0.10,8.08,6.84,5.2
6.40,2.29,5.74,5.66,BLD,Boral Ltd,5.71,4,"4,547",5.71,5.72,13,f,1.85,4.12,2.28,24.1,23.7
1.60,0.252,1.295,1.285,BOW,Bow Energy Ltd,1.295,,"5,913",1.285,1.295,-,,-,-,-,-0.46,-
7.55,0.945,6.60,6.48,BKN,Bradken Ltd,6.60,12,"3,158",6.54,6.60,23,f,2.28,1.31,3.48,52.5,12.6
8.37,4.08,6.81,6.65,BXB,Brambles Ltd,6.80,5,"19,787",6.78,6.81,30,p,1.34,0.58,4.41,40.18,16.9
2.30,0.535,2.26,2.15,BRM,Brockman Res,2.24,8,"2,294",2.21,2.22,-,,-,-,-,-11.1,-
1.945,1.473,1.80,1.78,BWP,Bunnings Warehouse unt,1.795,-0.5,"3,341",1.78,1.80,11.57,,-,1.79,6.45,-3.74,-
7.09,4.71,6.15,6.03,CAB,Cabcharge Aust,6.12,7,"1,777",6.08,6.12,34,f,1.50,2.21,5.56,51,12.0
14.00,7.05,8.78,8.60,CTX,Caltex Aust,8.70,,"5,557",8.67,8.72,36,,0.43,10.60,4.14,15.6,55.8
0.575,0.205,0.50,0.485,CFE,Cape Lambert Res,0.49,,"5,441",0.49,0.50,-,,-,-,-,47.27,1.0
0.885,0.20,0.765,0.735,CNX,Carbon Energy,0.755,2,"4,432",0.74,0.765,-,,-,-,-,-3.11,-
0.885,0.26,0.575,0.545,CVN,Carnarvon Pet,0.575,2.5,"31,711",0.57,0.575,-,,-,0.07,-,5.4,10.6
5.70,3.56,5.70,5.40,CRZ,Carsales Com Ltd,5.45,10,"5,929",5.42,5.51,-,,-,-,-,-,-
0.70,0.275,0.66,0.65,CCV,Cash Convert ord/div   ,0.66,-0.5,"3,658",0.65,0.66,3,f,2.26,0.09,4.55,6.77,9.7
3.95,1.51,3.94,3.84,CEY,Centennial Coal,3.86,-1,"14,499",3.84,3.87,11,f,1.77,1.77,2.85,19.5,19.8
0.52,0.047,0.27,0.25,CNP,Centro Prop stpld,0.26,1.5,"64,948",0.255,0.26,31.8,,-,-2.91,122.31,-398.36,-
0.225,0.016,0.16,0.15,CER,Centro Retail stpld,0.155,0.5,"43,094",0.15,0.155,0.37,,-,0.30,2.39,-117.14,-
0.345,0.042,0.23,0.225,CFU,Ceramic Fuel Cells,0.225,-0.5,"7,249",0.22,0.225,-,,-,0.05,-,-8.58,-
2.12,1.415,1.88,1.835,CFX,CFS Retail Prop unt,1.865,2,"59,839",1.86,1.87,12.5,,-,2.02,6.70,-15.27,-
4.38,0.865,4.18,4.09,CGF,Challenger FSG Ltd,4.17,2,"7,478",4.11,4.18,12.5,,-,1.81,3.00,-16.2,-
2.30,1.20,1.80,1.77,CIF,Challenger Infra stpld,1.80,1,"3,267",1.65,1.805,20,,-,-1.54,11.11,-40.3,-
0.715,0.156,0.705,0.69,CHC,Charter Hall Grp forus,0.705,0.5,"2,756",0.685,0.75,4.96,,-,0.71,7.04,-17.98,-
0.465,0.105,0.39,0.37,CGG,Citadel Resource Grp,0.38,1.5,"55,046",0.38,0.385,-,,-,-,-,-4.01,-
0.345,0.125,0.13,0.125,CTO,Citigold Corp Ltd,0.125,-0.5,"10,391",0.125,0.13,-,,-,-,-,-0.22,-
1.035,0.25,0.95,0.92,CLO,Clough Ltd,0.925,-2.5,"2,559",0.925,0.935,2,p,3.92,0.29,2.16,7.84,11.8
11.72,8.02,11.61,11.36,CCL,Coca-Cola Amatil,11.51,1,"5,465",11.31,11.55,40.5,f,1.35,1.14,3.52,54.8,21.0
69.09,46.21,68.70,67.80,COH,Cochlear Ltd,68.70,53,520,67.81,68.99,175,f,1.34,2.78,2.55,233.7,29.4
0.535,0.235,0.365,0.36,COK,Cockatoo Coal,0.36,-0.5,"1,076",0.355,0.365,-,,-,-,-,-14.52,-
26.54,9.50,21.50,20.85,CXC,Coeur D'alene Mines cdi 1:1,21.50,75,108,20.90,21.82,-,,-,-,-,33.4,64.4
2.37,1.22,2.05,2.03,COF,Coffey Intl,2.03,1,126,2.02,2.05,13,f,1.12,-0.22,6.40,14.5,14.0
56.24,24.03,53.92,52.90,CBA,C'wlth Bank  of Aust ,53.87,87,"13,935",53.79,53.88,228,f,1.44,13.65,4.23,328.5,16.4
1.215,0.67,0.955,0.94,CPA,C'wlth Prop ord unt   ,0.95,0.5,"33,826",0.945,0.955,8.8,,-,1.15,9.26,-31.8,-
11.45,6.41,11.37,11.20,CPU,Computershare Ltd,11.37,12,"4,634",11.20,11.38,22,p,2.58,-1.95,1.93,56.75,20.0
0.536,0.244,0.425,0.415,CEU,ConnectEast stpld,0.425,1,"21,736",0.42,0.425,2,,-,-,4.71,-25.43,-
0.795,0.14,0.50,0.475,CQT,Conquest Min,0.485,,"3,449",0.475,0.495,-,,-,-,-,-0.42,-
3.44,1.71,3.11,3.06,CMJ,Consolidated Media,3.10,1,"1,196",3.06,3.10,16.5,,3.75,0.66,5.32,61.91,5.0
