S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4818.8 at 16:47 22/10/2009  Report at 19:05 Thursday 22/10/2009. Processed 19:06 Thursday 22/10/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.52,0.147,0.475,0.465,ABP,Abacus Prop stpld,0.475,0.5,"31,695",0.47,0.475,7.75,,-,0.62,16.32,-11.81,-
3.00,1.445,3.00,2.88,ABC,Adelaide Brighton,2.90,-4,"18,666",2.89,2.95,14,f,1.49,1.15,4.83,20.8,13.9
1.65,0.096,1.52,1.46,ABY,Aditya Birla,1.49,-3.5,"16,170",1.455,1.49,-,,-,1.31,-,-24.26,-
1.35,0.555,0.64,0.625,AED,AED Oil Ltd,0.635,,"5,177",0.63,0.64,-,,-,-,-,-66.9,-
15.82,12.83,14.56,14.44,AGK,AGL Energy Ltd,14.51,6,"21,694",14.50,14.53,54,f,6.63,6.00,3.72,358,4.1
5.60,2.03,4.89,4.79,AJL,AJ Lucas Grp,4.79,-5,"6,822",4.78,4.89,10.5,f,23.78,2.11,2.19,249.7,1.9
6.10,0.60,5.80,5.53,ALS,Alesco Corp,5.55,-30,"10,402",5.52,5.55,7,f,-,0.49,1.26,-13.94,-
0.98,0.333,0.685,0.67,AGS,Alliance Res,0.67,-1,"5,616",0.67,0.68,-,,-,-,-,-8.3,-
2.231,0.683,1.88,1.845,AWC,Alumina Ltd,1.88,-1,"242,194",1.87,1.88,12,,0.79,1.30,6.38,9.42,20.0
6.082,3.50,5.75,5.62,AMC,Amcor Ltd,5.72,8,"61,305",5.70,5.73,34,,0.74,1.61,5.94,25.3,22.6
6.97,3.52,6.49,6.24,AMP,AMP Ltd,6.28,-18,"161,021",6.27,6.29,30,p,0.99,0.67,4.78,29.6,21.2
13.83,7.51,10.76,10.53,ANN,Ansell Ltd,10.70,7,"2,649",10.51,10.70,28,,3.19,1.98,2.62,89.2,12.0
25.25,11.83,23.85,23.53,ANZ,ANZ Banking Grp,23.53,-31,"78,377",23.53,23.54,120,,1.42,10.72,5.10,170.4,13.8
