S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4372.7 at 16:36 19/7/2010  Report at 19:05 Monday 19/7/2010. Processed 08:10 Tuesday 20/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.33,0.39,0.385,ABP,Abacus Prop stp,0.39,-0.5,"22,118",0.39,0.395,3.9,,-,0.60,10.00,-2.32,-
2.60,1.10,1.78,1.725,ACR,Acrux Ltd,1.745,-3.5,"1,053",1.745,1.75,-,,-,0.06,-,-2.84,-
3.18,2.24,3.13,3.06,ABC,Adelaide Brighton,3.11,-2,"13,183",3.11,3.14,13.5,f,1.51,1.21,4.34,20.4,15.2
1.65,0.62,0.71,0.685,ABY,Aditya Birla,0.69,-3,"4,629",0.69,0.72,-,,-,1.51,-,19.61,3.5
15.69,13.37,14.77,14.50,AGK,AGL Energy Ltd,14.67,-8,"6,266",14.66,14.75,57,f,0.47,6.21,3.89,27,54.3
5.60,2.00,2.13,2.07,AJL,AJ Lucas Grp,2.13,-2,123,2.10,2.14,5.5,,2.91,1.32,2.58,16,13.3
5.91,2.25,2.56,2.48,ALS,Alesco Corp,2.49,-4,"5,596",2.48,2.56,7,,-,0.65,2.81,-17.36,-
0.90,0.28,0.33,0.315,AGS,Alliance Res,0.33,,"1,417",0.315,0.325,-,,-,-,-,-1.97,-
2.06,1.45,1.475,1.45,AWC,Alumina Ltd,1.465,-2,"141,411",1.465,1.47,2,f,-,1.21,1.37,-1.2,-
6.88,4.473,6.75,6.68,AMC,Amcor Ltd,6.72,-10,"14,723",6.70,6.74,29.5,,0.71,2.25,4.39,20.9,32.2
6.97,5.02,5.30,5.23,AMP,AMP Ltd,5.27,-8,"32,736",5.26,5.28,30,p,1.24,0.80,5.69,37.1,14.2
13.50,8.45,12.88,12.61,ANN,Ansell Ltd,12.72,-4,"2,916",12.68,12.94,29,,2.82,1.92,2.28,81.7,15.6
26.23,16.60,22.18,22.02,ANZ,ANZ Banking Grp,22.02,-52,"42,586",22.01,22.03,108,f,1.34,9.99,4.90,144.8,15.2
3.83,2.63,3.74,3.69,APA,APA Grp stp,3.69,-5,"7,166",3.68,3.70,31.75,,0.79,-,8.60,25,14.8
2.61,1.485,2.01,1.965,APN,APN News & Media,1.975,-7.5,"13,396",1.96,1.975,4,f,4.17,-0.78,2.03,16.7,11.8
7.95,3.89,4.34,3.89,AQP,Aquarius Platinum,3.97,-129,"66,085",3.96,3.99,2.26,,9.20,-,0.57,20.79,19.1
11.38,4.846,7.36,7.11,AQA,Aquila Res,7.26,-26,"3,037",7.23,7.30,-,,-,-,-,-14.8,-
1.285,0.38,0.59,0.58,ARU,Arafura Resource,0.59,-0.5,"3,054",0.585,0.59,-,,-,-,-,-5.1,-
1.845,0.94,1.095,1.06,AAD,Ardent Leisure stp,1.08,,"3,348",1.075,1.10,14.3,,0.19,1.10,13.24,2.73,39.6
5.75,3.39,3.47,3.39,ALL,Aristocrat Leisure,3.44,-9,"20,242",3.39,3.45,4.5,,-,0.07,1.31,-31.3,-
5.31,3.26,5.00,4.95,AOE,Arrow Energy,5.00,4,"35,765",4.95,5.00,-,,-,2.13,-,15.38,32.5
1.94,1.315,1.695,1.67,AIO,Asciano Grp stp,1.685,-3.5,"154,926",1.685,1.695,-,,-,0.10,-,-41.9,-
0.575,0.27,0.46,0.45,APZ,Aspen Grp stp,0.455,,"6,117",0.455,0.46,4.2,,-,0.68,9.23,-3.37,-
0.515,0.29,0.325,0.315,AJA,Astro Jap Prop stp,0.325,,"9,431",0.325,0.33,8.5,,-,0.76,26.15,-36.49,-
37.77,28.06,29.05,28.39,ASX,ASX Ltd,28.50,-50,"5,790",28.45,28.52,163.6,f,1.10,3.19,5.74,180.6,15.8
3.05,1.57,1.97,1.91,AGO,Atlas Iron Ltd,1.92,-6,"23,737",1.92,1.94,-,,-,-,-,-15.5,-
2.34,0.934,1.64,1.605,ASL,Ausdrill Ltd,1.62,1.5,"6,777",1.61,1.64,11,f,1.87,1.60,6.79,20.62,7.9
5.95,1.71,2.16,2.02,AAX,Ausenco Ltd,2.02,-7,"17,684",2.02,2.10,9.5,f,2.00,0.62,4.70,19,10.6
1.595,1.18,1.495,1.455,AAC,Aust Agriculture,1.46,-3.5,"1,916",1.46,1.475,-,,-,2.42,-,-20.3,-
2.09,1.355,1.725,1.695,AIX,Aust Infra unt,1.695,-5.5,"6,252",1.69,1.72,10,,1.94,2.62,5.90,19.37,8.8
0.939,0.365,0.44,0.425,API,Aust Pharmaceutical,0.425,-1.5,"5,533",0.42,0.435,3,f,2.03,0.79,7.06,6.1,7.0
3.12,1.935,2.35,2.28,ASB,Austal Ltd,2.32,-3,95,2.32,2.35,6,,0.72,1.30,2.59,4.35,53.3
1.465,0.84,1.06,1.02,AUN,Austar United,1.035,-4.5,"10,103",1.02,1.05,-,,-,-0.31,-,4.7,22.0
3.05,2.125,2.49,2.47,ALZ,Australand Prop stp,2.48,-2,"2,809",2.48,2.51,12,,-,0.68,4.84,-13.4,-
2.99,1.48,2.88,2.67,AVO,Avoca Res,2.75,-17,"12,763",2.74,2.78,-,,-,0.79,-,12.49,22.0
1.337,0.865,0.995,0.97,AWB,AWB Ltd,0.975,-2.5,"10,662",0.975,0.985,-,,-,1.85,-,3.67,26.6
3.17,1.575,1.64,1.605,AWE,AWE Ltd,1.62,-6.5,"33,305",1.615,1.62,-,,-,1.74,-,1.43,113.3
6.72,3.78,5.25,5.15,AXA,AXA Asia Pacific,5.17,-8,"39,967",5.16,5.22,18.5,p,1.89,1.12,3.58,34.89,14.8
13.49,9.74,10.02,9.87,BOQ,Bank of Qld,9.90,-28,"5,223",9.90,10.00,52,f,1.78,7.20,5.25,92.4,10.7
1.43,0.24,0.385,0.345,BMN,Bannerman Res,0.37,-2,"24,176",0.365,0.375,-,,-,-,-,-7.84,-
1.04,0.655,0.695,0.68,BPT,Beach Energy Ltd,0.685,-1.5,"21,573",0.685,0.69,1.75,p,9.17,1.27,2.55,16.05,4.3
10.48,7.196,8.18,8.06,BEN,Bendigo & Adelaide,8.10,-16,"6,910",8.09,8.11,43,f,0.83,5.16,5.31,35.53,22.8
0.295,0.18,0.20,0.195,BDG,Bendigo Min Ltd,0.20,-0.5,"3,091",0.20,0.205,0.5,,6.40,0.15,2.50,3.2,6.3
1.595,0.905,1.16,1.11,BKY,Berkeley Res,1.12,-4,453,1.12,1.13,-,,-,-,-,-8.92,-
44.93,35.58,37.86,37.60,BHP,BHP Billiton Ltd,37.75,-40,"80,229",37.74,37.77,95.15,f,1.95,8.76,2.52,185.29,20.4
12.32,8.11,9.12,9.01,BBG,Billabong Intl,9.06,-12,"5,397",9.01,9.17,36,p,1.59,0.84,3.97,57.2,15.8
3.336,0.85,0.92,0.90,BTA,Biota Hldgs,0.91,-2.5,"7,396",0.905,0.92,-,,-,0.60,-,36.6,2.5
3.48,2.03,2.21,2.17,BSL,BlueScope Steel,2.18,-5,"78,863",2.18,2.19,-,,-,2.47,-,-61.37,-
4.10,1.856,2.85,2.81,BLY,Boart Longyear,2.83,-9,"29,043",2.81,2.84,-,,-,0.14,-,-0.67,-
6.40,4.22,4.33,4.23,BLD,Boral Ltd,4.24,-15,"32,156",4.23,4.25,12.5,f,1.82,4.23,2.95,22.7,18.7
1.605,0.905,1.255,1.22,BOW,Bow Energy Ltd,1.23,-3,"5,740",1.22,1.23,-,,-,-,-,4.42,27.8
8.14,4.49,7.56,7.40,BKN,Bradken Ltd,7.47,-19,"4,773",7.47,7.60,26,f,1.67,1.58,3.48,43.3,17.3
8.37,5.24,5.54,5.39,BXB,Brambles Ltd,5.50,-9,"53,394",5.48,5.52,25,p,1.38,0.66,4.55,34.45,16.0
4.05,1.16,3.06,2.94,BRM,Brockman Res,3.04,,"1,166",3.02,3.06,-,,-,-,-,-14.9,-
2.09,1.66,1.905,1.88,BWP,Bunnings Warehouse unt,1.88,-2,"2,762",1.88,1.93,10.97,,1.27,1.83,5.84,13.89,13.5
6.66,4.55,4.65,4.55,CAB,Cabcharge Aust,4.55,-12,"1,233",4.50,4.60,34,f,1.44,-,7.47,48.9,9.3
13.63,8.01,9.75,9.60,CTX,Caltex Aust,9.71,-13,"4,075",9.71,9.75,25,f,4.65,10.48,2.57,116.3,8.3
0.533,0.269,0.335,0.33,CFE,Cape Lambert Res,0.33,-1,"20,598",0.33,0.335,-,f,-,-,-,10.88,3.0
0.885,0.29,0.365,0.325,CNX,Carbon Energy,0.36,1,"18,301",0.355,0.36,-,,-,-,-,-1.87,-
0.725,0.30,0.34,0.32,CVN,Carnarvon Pet,0.32,-3,"44,206",0.32,0.325,-,,-,0.05,-,3.3,9.7
5.86,3.56,4.75,4.66,CRZ,Carsales Com Ltd,4.68,-13,748,4.68,4.90,6.6,f,1.24,0.01,1.41,8.2,57.1
0.71,0.46,0.56,0.55,CCV,Cash Convert ord/div   ,0.55,-1,"1,708",0.55,0.57,3,f,2.32,0.23,5.45,6.97,7.9
1.957,1.087,1.48,1.41,CAH,Catalpa Res,1.41,-9,"3,899",1.40,1.43,-,,-,-,-,-3.7,-
5.97,2.38,5.93,5.91,CEY,Centennial Coal,5.91,,"93,260",5.91,5.92,8,p,1.98,1.87,1.35,15.8,37.4
0.52,0.092,0.145,0.14,CNP,Centro Prop stp,0.145,-0.5,"2,652",0.14,0.145,31.8,,-,-2.87,219.31,-113.25,-
0.265,0.092,0.155,0.15,CER,Centro Retail stp,0.155,-0.5,"16,325",0.155,0.16,0.37,,-,0.35,2.39,-18.43,-
0.345,0.15,0.205,0.175,CFU,Ceramic Fuel Cells,0.205,3,"180,793",0.20,0.205,-,,-,0.04,-,-0.09,-
2.12,1.695,1.955,1.925,CFX,CFS Retail Prop unt,1.95,0.5,"71,891",1.945,1.96,12.5,,-,1.99,6.41,-1.9,-
0.58,0.38,0.51,0.495,CDI,Challenger Div Pro stp,0.505,,"2,609",0.505,0.51,5.05,,0.09,0.65,10.00,0.46,109.8
4.50,2.40,3.64,3.57,CGF,Challenger FSG Ltd,3.57,-15,"11,386",3.56,3.59,13.5,,2.61,3.36,3.78,35.2,10.1
2.06,1.28,1.34,1.325,CIF,Challenger Infra stp,1.34,,"1,518",1.33,1.345,15,,-,-1.66,11.19,-59.2,-
0.79,0.427,0.625,0.615,CHC,Charter Hall Grp forus,0.62,,"16,584",0.62,0.625,3.2,,-,0.60,5.16,-23.57,-
0.355,0.215,0.255,0.25,CQO,Charter Hall Office unt,0.25,-1,"85,206",0.245,0.25,2.5,,4.01,0.44,10.00,10.03,2.5
0.735,0.47,0.56,0.545,CQR,Charter Hall Retail unt,0.55,-1.5,"8,649",0.55,0.56,6,,-,0.72,10.91,-45.58,-
0.444,0.21,0.29,0.28,CGG,Citadel Resource Grp,0.29,-0.5,"6,624",0.285,0.29,-,,-,-,-,-0.75,-
1.035,0.725,0.79,0.75,CLO,Clough Ltd,0.79,1.5,434,0.76,0.79,2,,3.99,0.31,2.53,7.98,9.9
12.15,9.11,11.87,11.73,CCL,Coca-Cola Amatil,11.75,-19,"13,006",11.71,11.90,43.5,f,1.39,1.38,3.70,60.5,19.4
79.11,52.68,73.50,72.50,COH,Cochlear Ltd,72.83,-147,"1,839",72.70,73.75,190,f,1.27,3.25,2.61,242.2,30.1
2.37,0.855,1.125,1.095,COF,Coffey Intl,1.125,-0.5,"1,317",1.11,1.15,12,f,1.00,-0.17,10.67,12,9.4
60.00,38.80,50.64,50.25,CBA,C'wlth Bank  of Aust ,50.50,-86,"24,488",50.40,50.50,235,f,1.41,-,4.65,330.4,15.3
1.045,0.735,0.97,0.96,CPA,C'wlth Prop ord unt   ,0.965,-1,"34,597",0.965,0.97,6.85,,-,1.11,7.10,-11.41,-
12.90,8.84,10.26,10.13,CPU,Computershare Ltd,10.13,-12,"9,688",10.12,10.23,25,p,2.27,-1.54,2.47,56.84,17.8
0.49,0.321,0.39,0.38,CEU,ConnectEast stp,0.39,-0.5,"35,332",0.385,0.395,2,,-,-,5.13,-21.74,-
0.795,0.20,0.315,0.30,CQT,Conquest Min,0.30,,671,0.275,0.31,-,,-,-,-,-0.14,-
0.58,0.355,0.375,0.36,COE,Cooper Energy Ltd,0.37,,"13,356",0.365,0.37,-,,-,0.45,-,7.1,5.2
11.66,7.76,8.12,7.95,CRG,Crane Grp Ltd,8.05,-15,"1,006",7.80,8.31,46,f,0.85,4.41,5.71,39,20.6
9.39,6.95,7.75,7.61,CWN,Crown Ltd,7.68,-5,"22,297",7.67,7.78,37,p,-,3.24,4.82,-92.35,-
2.30,0.93,1.91,1.85,CSV,CSG Ltd,1.89,-2,518,1.89,1.90,5,f,2.77,0.05,2.65,13.85,13.6
37.56,29.27,32.79,32.16,CSL,CSL Ltd,32.64,9,"12,525",32.50,32.65,75,,2.85,6.11,2.30,213.41,15.3
2.18,1.585,1.725,1.71,CSR,CSR Ltd,1.72,-2.5,"50,715",1.715,1.725,8.5,f,-,1.04,4.94,-8.2,-
6.59,2.60,4.51,4.43,CDU,Cudeco Ltd,4.43,-14,"1,936",4.43,4.49,-,,-,-,-,0.42,1054.8
3.154,2.024,2.53,2.44,CUS,Customers Ltd,2.50,-7,"1,119",2.50,2.60,-,,-,0.26,-,18.4,13.6
5.96,4.10,4.59,4.53,DJS,David Jones Ltd,4.55,-7,"24,550",4.54,4.57,29,f,1.14,1.22,6.37,33,13.8
0.405,0.12,0.185,0.165,DYL,Deep Yellow Ltd,0.175,-0.5,"12,668",0.175,0.18,-,,-,-,-,-0.28,-
0.89,0.66,0.80,0.79,DXS,DEXUS Prop Grp stp,0.79,-2,"206,814",0.79,0.80,5.1,,-,0.95,6.46,-11.03,-
4.60,2.15,2.24,2.15,DOM,Dominion Min,2.17,-8,"3,037",2.17,2.21,10,,2.01,1.03,4.61,20.08,10.8
9.44,3.33,4.06,4.01,DOW,Downer EDI Ltd,4.02,-9,"15,930",4.01,4.05,29.1,,1.87,2.15,7.24,54.4,7.4
1.90,1.435,1.695,1.67,DUE,DUET Grp forus,1.675,-2.5,"15,571",1.65,1.68,20,,0.22,-,11.94,4.39,38.2
2.78,2.50,2.60,2.50,DLX,Duluxgrp Ltd def,2.57,1,"39,872",2.56,2.60,-,,-,-,-,-,-
1.165,0.615,0.85,0.82,ESG,Eastern Star Gas,0.845,-0.5,"25,554",0.84,0.85,-,,-,-,-,-0.8,-
4.30,0.315,0.46,0.435,ELD,Elders Ltd,0.45,-2,"89,088",0.445,0.455,-,,-,1.63,-,-51.11,-
21.48,12.86,18.47,18.16,EAU,Eldorado Gold cdi,18.16,-39,457,18.00,18.80,-,,-,-,-,-,-
0.995,0.395,0.65,0.63,EHL,Emeco Hldgs,0.635,-2.5,"13,455",0.63,0.64,2,,-,0.71,3.15,-4.2,-
27.37,12.51,13.70,13.34,ERA,Energy Res,13.49,-41,"1,981",13.43,13.54,39,f,3.66,5.10,2.89,142.9,9.4
0.66,0.25,0.455,0.435,EWC,Energy World Corp,0.44,-2,"15,605",0.435,0.445,-,,-,0.30,-,3.02,14.6
0.595,0.455,0.51,0.505,ENV,Envestra Ltd,0.505,-0.5,"6,900",0.505,0.51,5.5,p,0.63,-0.05,10.89,3.49,14.5
4.87,2.69,4.66,4.45,EQN,Equinox Min Ltd cdi,4.61,4,"20,905",4.51,4.63,-,,-,-,-,-30.1,-
11.45,6.29,6.66,6.52,EXT,Extract Res,6.53,-22,"1,665",6.51,6.55,-,,-,-,-,-4.96,-
1.885,1.26,1.43,1.40,FXJ,Fairfax Media Ltd,1.42,-3.5,"66,842",1.41,1.425,1.1,,8.45,-0.31,0.77,9.3,15.3
0.90,0.405,0.70,0.685,FKP,FKP Prop Grp stp,0.69,-2,"30,234",0.685,0.70,1.95,,-,1.27,2.83,-10.3,-
10.00,5.88,9.71,9.53,FWD,Fleetwood Corp,9.66,-5,962,9.59,9.74,66,f,0.98,2.12,6.83,64.7,14.9
1.779,0.803,1.33,1.30,FXL,Flexigrp Ltd,1.325,-1,"1,725",1.32,1.33,6,f,3.95,0.23,4.53,23.7,5.6
21.43,8.48,17.58,17.21,FLT,Flight Centre,17.48,-40,"1,713",17.41,17.50,26,f,2.44,2.56,1.49,63.4,27.6
0.197,0.056,0.09,0.087,FMS,Flinders Mines,0.088,-0.2,"29,056",0.088,0.089,-,,-,-,-,-0.4,-
5.57,3.28,4.09,3.92,FMG,Fortescue Metals Grp,4.04,,"102,284",4.03,4.08,-,,-,-,-,-16.13,-
6.01,5.11,5.82,5.78,FGL,Foster's Grp,5.80,-5,"74,491",5.80,5.85,27.25,f,0.73,0.52,4.70,19.8,29.3
2.40,0.88,1.06,1.04,GXY,Galaxy Res,1.055,-4,"5,871",1.045,1.055,-,,-,-,-,-4.62,-
1.12,0.305,0.58,0.55,GDY,Geodynamics Ltd,0.57,,"5,933",0.57,0.575,-,,-,0.96,-,-5.17,-
1.45,0.765,0.94,0.915,GBG,Gindalbie Metals,0.925,-2,"39,039",0.925,0.93,-,,-,-,-,-0.95,-
2.64,0.596,1.92,1.84,GIR,Giralia Res NL,1.915,3.5,"2,103",1.91,1.92,-,,-,-,-,0.1,1915.0
1.78,1.27,1.33,1.31,GFF,Goodman Fielder,1.315,-3,"23,685",1.315,1.32,11.25,,1.28,-0.16,8.56,14.4,9.1
0.75,0.386,0.63,0.62,GMG,Goodman Grp forus,0.62,-1,"147,243",0.615,0.625,1.5,,-,0.50,2.42,-31.3,-
3.01,0.48,2.94,2.89,GPT,GPT Grp stp,2.92,-3,"29,767",2.91,2.94,3.6,,-,0.69,1.23,-14.5,-
8.85,5.10,5.67,5.51,GNC,Graincorp Ltd,5.53,-16,"4,751",5.53,5.60,22.27,f,2.86,4.78,4.03,63.62,8.7
10.62,6.88,8.83,8.66,GUD,GUD Hldgs,8.80,,"2,367",8.80,8.83,61,f,1.18,1.09,6.93,71.73,12.3
1.325,0.26,0.645,0.625,GNS,Gunns Ltd,0.635,-2.5,"21,861",0.63,0.64,2,,0.75,1.59,3.15,1.5,42.3
3.50,2.46,3.00,2.96,GWT,GWA Intl,2.97,-1,"1,945",2.97,2.99,18,f,0.89,0.28,6.06,15.94,18.6
4.85,3.07,3.59,3.54,HVN,Harvey Norman,3.55,-7,"12,144",3.55,3.59,13,f,1.98,2.10,3.66,25.78,13.8
2.30,1.255,1.48,1.47,HST,Hastie Grp Ltd,1.47,-1,"3,169",1.47,1.485,10,f,2.22,-0.26,6.80,22.2,6.6
1.38,0.80,1.32,1.31,HDF,Hastings Divers stp,1.315,-1,"8,106",1.315,1.325,12,,-,1.23,9.13,-12.55,-
6.01,4.07,6.01,5.90,HSP,Healthscope Ltd,5.94,54,"163,506",5.93,5.94,22.5,f,1.32,0.66,3.79,29.78,19.9
2.67,1.905,2.16,2.14,HGG,Henderson Grp cdi,2.14,-6,"4,641",2.13,2.19,10.69,,0.30,-0.18,5.00,3.23,66.3
2.93,1.60,2.13,2.08,HIL,Hills Ind Ltd,2.08,-7,"1,951",2.07,2.10,9,f,0.66,1.39,4.33,5.9,35.3
0.40,0.175,0.28,0.275,HZN,Horizon Oil Ltd,0.275,,"5,175",0.275,0.28,-,,-,0.19,-,6.28,4.4
0.67,0.17,0.185,0.18,ICN,Icon Energy Ltd,0.18,-1,"5,031",0.18,0.185,-,,-,-,-,-1.47,-
5.52,2.92,5.48,5.22,ILU,Iluka Res,5.35,-8,"28,342",5.30,5.46,-,,-,2.58,-,-26.8,-
1.96,1.25,1.54,1.505,IMF,IMF (Aust) Ltd,1.51,-5,113,1.505,1.51,15,f,0.55,0.32,9.93,8.22,18.4
3.83,2.36,3.01,2.95,IPL,Incitec Pivot,3.00,-6,"113,527",2.99,3.02,4.1,,-,0.27,1.37,-10.2,-
5.52,3.65,5.23,5.17,IGO,Independence Grp,5.22,-8,"1,447",5.22,5.23,5,f,5.04,1.30,0.96,25.18,20.7
1.265,0.455,0.705,0.66,IRN,Indophil Res,0.70,1,"56,658",0.695,0.70,-,,-,-,-,-2.71,-
0.51,0.225,0.35,0.345,IDL,Industrea Ltd,0.35,-0.5,"8,033",0.345,0.35,1.3,f,3.90,0.03,3.71,5.07,6.9
1.55,0.66,0.79,0.77,IFN,Infigen Energy stp,0.77,-3,"7,893",0.77,0.785,4.5,,6.88,0.55,5.84,30.95,2.5
0.603,0.238,0.41,0.405,IIF,ING Industrial Fd unt,0.405,-0.5,"18,268",0.405,0.41,1.6,,-,0.60,3.95,-78.3,-
0.67,0.45,0.605,0.595,IOF,ING Office Fd stp,0.60,-0.5,"60,430",0.60,0.605,3.9,,-,0.74,6.50,-16.7,-
4.21,3.22,3.42,3.36,IAG,Insurance Aust Grp,3.38,-4,"30,139",3.37,3.41,14.5,f,1.73,1.29,4.29,25.07,13.5
0.36,0.215,0.36,0.33,IGR,Integra Min Ltd,0.36,1,"44,736",0.355,0.36,-,,-,-,-,-1.48,-
1.71,1.005,1.455,1.445,ITO,Intoll Grp stp,1.445,,"424,253",1.445,1.45,3,,-,1.78,2.08,-16.38,-
0.62,0.21,0.55,0.525,IAU,Intrepid Mines,0.545,-0.5,"6,134",0.54,0.555,-,,-,0.12,-,-2.32,-
6.50,5.33,6.03,5.90,IVC,Invocare Ltd,5.94,-6,"1,831",5.93,6.04,25.25,f,1.30,0.48,4.25,32.9,18.1
7.40,4.20,6.35,6.22,IFL,IOOF Hldgs Ltd,6.26,-16,"3,168",6.26,6.41,21,f,0.93,0.56,3.35,19.5,32.1
9.38,6.61,8.73,8.39,IRE,IRESS Market Tech,8.49,-6,"2,356",8.43,8.70,34,f,1.02,0.75,4.00,34.78,24.4
0.93,0.135,0.18,0.155,ISF,iSOFT Group Ltd,0.17,-0.5,"111,371",0.17,0.175,1,,3.66,-0.23,5.88,3.66,4.6
0.485,0.275,0.34,0.32,JML,Jabiru Metals Ltd,0.34,1.5,"8,120",0.335,0.34,-,,-,-,-,-5,-
8.86,4.48,6.13,5.99,JHX,James Hardie Ind cdi,6.09,-12,"14,400",6.03,6.15,-,,-,-0.29,-,-21.4,-
23.71,15.38,18.80,18.52,JBH,JB Hi-Fi Ltd,18.56,-34,"2,552",18.54,18.56,62,f,1.67,1.71,3.34,103.42,17.9
1.32,0.465,0.54,0.525,KZL,Kagara Ltd,0.53,-1.5,"17,737",0.53,0.535,-,,-,0.67,-,-18.99,-
12.10,4.51,6.63,6.41,KAR,Karoon Gas Aust,6.41,-26,"2,783",6.40,6.44,-,,-,-,-,-15.25,-
1.97,1.435,1.66,1.61,KMD,Kathmandu Hldgs,1.63,-6.5,318,1.605,1.68,-,,-,-0.09,-,-0.17,-
10.90,6.32,9.40,9.25,KCN,Kingsgate Cons,9.33,-24,"1,712",9.33,9.40,30,,2.73,2.69,3.22,82,11.4
41.70,24.67,30.03,29.46,LEI,Leighton Hldgs,29.46,-110,"5,960",29.45,29.60,120,f,1.73,7.52,4.07,208.2,14.1
10.907,7.00,7.40,7.19,LLC,Lend Lease Grp stp,7.30,-15,"7,612",7.28,7.41,36,f,1.20,3.99,4.93,43.1,16.9
4.48,2.41,4.16,4.12,LGL,Lihir Gold Ltd,4.14,-7,"73,889",4.14,4.15,2.96,,-,1.22,0.71,-10.93,-
2.04,0.95,1.37,1.175,LNC,Linc Energy Ltd,1.295,4.5,"45,542",1.295,1.305,-,,-,-,-,-16.12,-
0.72,0.319,0.67,0.65,LYC,Lynas Corp,0.655,-3,"58,438",0.65,0.655,-,,-,-,-,-7.07,-
