S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4439.4 at 16:38 25/6/2010  Report at 19:05 Friday 25/6/2010. Processed 21:27 Friday 25/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.33,0.42,0.41,ABP,Abacus Prop stp,0.415,,"62,834",0.415,0.42,5.75,,-,0.60,13.86,-2.32,-
2.60,1.05,1.865,1.83,ACR,Acrux Ltd,1.83,-4,957,1.82,1.86,-,,-,0.06,-,-2.84,-
3.01,2.03,2.76,2.70,ABC,Adelaide Brighton,2.74,-6,"11,911",2.73,2.75,13.5,f,1.51,1.21,4.93,20.4,13.4
1.65,0.50,0.775,0.72,ABY,Aditya Birla,0.725,-5,"8,195",0.72,0.74,-,,-,1.51,-,19.61,3.7
15.69,13.11,14.84,14.60,AGK,AGL Energy Ltd,14.81,10,"12,726",14.78,14.83,57,f,0.47,6.21,3.85,27,54.9
5.60,2.00,2.28,2.20,AJL,AJ Lucas Grp,2.27,-3,308,2.24,2.28,5.5,,2.91,1.32,2.42,16,14.2
5.91,2.37,2.56,2.52,ALS,Alesco Corp,2.55,-1,"1,711",2.54,2.56,7,,-,0.65,2.75,-17.36,-
0.98,0.29,0.31,0.29,AGS,Alliance Res,0.305,0.5,"7,393",0.295,0.305,-,,-,-,-,-1.97,-
2.06,1.285,1.605,1.565,AWC,Alumina Ltd,1.585,-2,"177,369",1.585,1.59,2,f,-,1.21,1.26,-1.2,-
6.76,4.276,6.54,6.41,AMC,Amcor Ltd,6.47,-10,"37,838",6.44,6.48,29.5,,0.71,2.25,4.56,20.9,31.0
6.97,4.55,5.50,5.40,AMP,AMP Ltd,5.43,-6,"116,483",5.40,5.44,30,p,1.24,0.80,5.52,37.1,14.6
13.50,8.16,13.46,13.18,ANN,Ansell Ltd,13.36,1,"2,581",13.20,13.42,29,,2.82,1.92,2.17,81.7,16.4
26.23,15.68,22.66,22.32,ANZ,ANZ Banking Grp,22.47,-36,"101,450",22.45,22.50,108,f,1.34,9.99,4.81,144.8,15.5
3.83,2.60,3.69,3.62,APA,APA Grp stp,3.66,-6,"9,209",3.62,3.66,31.75,,0.79,-,8.67,25,14.6
2.61,1.32,2.08,2.05,APN,APN News & Media,2.05,-4,"46,162",2.04,2.13,4,f,4.17,-0.78,1.95,16.7,12.3
7.95,3.74,6.38,6.29,AQP,Aquarius Platinum,6.31,-27,"7,179",6.22,6.51,2.26,,9.20,-,0.36,20.79,30.4
11.38,4.727,8.73,8.39,AQA,Aquila Res,8.55,-7,"3,919",8.51,8.55,-,,-,-,-,-14.8,-
