S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4350.7 at 16:37 7/6/2010  Report at 19:05 Monday 7/6/2010. Processed 19:37 Monday 7/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.325,0.38,0.375,ABP,Abacus Prop stp,0.375,-0.5,"48,617",0.375,0.38,5.75,,-,0.60,15.33,-2.32,-
2.60,1.05,1.95,1.875,ACR,Acrux Ltd,1.875,-7.5,"1,082",1.875,1.90,-,,-,0.06,-,-2.84,-
3.01,2.03,2.76,2.69,ABC,Adelaide Brighton,2.70,-11,"19,310",2.69,2.71,13.5,f,1.51,1.21,5.00,20.4,13.2
1.65,0.50,0.715,0.69,ABY,Aditya Birla,0.71,-2.5,"4,990",0.71,0.715,-,,-,1.51,-,19.61,3.6
15.69,13.07,14.53,14.18,AGK,AGL Energy Ltd,14.49,11,"22,254",14.48,14.52,57,f,0.47,6.21,3.93,27,53.7
5.60,2.00,2.32,2.21,AJL,AJ Lucas Grp,2.29,-1,"1,007",2.26,2.32,5.5,,2.91,1.32,2.40,16,14.3
5.91,2.37,2.58,2.49,ALS,Alesco Corp,2.50,-17,"2,578",2.48,2.54,14,f,-,0.65,5.60,-17.36,-
0.98,0.315,0.37,0.315,AGS,Alliance Res,0.35,1.5,"2,854",0.35,0.365,-,,-,-,-,-1.97,-
2.06,1.285,1.55,1.525,AWC,Alumina Ltd,1.53,-6,"155,865",1.53,1.54,2,f,-,1.21,1.31,-1.2,-
6.76,4.276,6.15,6.04,AMC,Amcor Ltd,6.10,-18,"38,659",6.08,6.14,29.5,,0.71,2.25,4.84,20.9,29.2
6.97,4.55,5.63,5.49,AMP,AMP Ltd,5.51,-29,"135,661",5.50,5.53,30,p,1.24,0.80,5.44,37.1,14.9
13.48,8.16,13.11,12.63,ANN,Ansell Ltd,12.95,-7,"7,309",12.90,13.00,29,,2.82,1.92,2.24,81.7,15.9
26.23,15.68,22.12,21.69,ANZ,ANZ Banking Grp,22.02,-62,"80,725",22.00,22.05,108,f,1.34,9.99,4.90,144.8,15.2
3.79,2.60,3.56,3.47,APA,APA Grp stp,3.47,-12,"8,567",3.47,3.54,31.75,,0.79,-,9.15,25,13.9
2.61,1.32,2.22,2.15,APN,APN News & Media,2.16,-12,"14,363",2.15,2.28,4,f,4.17,-0.78,1.85,16.7,12.9
7.95,3.74,6.25,6.13,AQP,Aquarius Platinum,6.23,-32,"14,869",6.23,6.30,2.26,,9.20,-,0.36,20.79,30.0
11.38,4.273,8.99,8.40,AQA,Aquila Res,8.57,-43,"7,678",8.57,8.59,-,,-,-,-,-14.8,-
1.285,0.38,0.42,0.385,ARU,Arafura Resource,0.405,-1.5,"6,839",0.40,0.415,-,,-,-,-,-5.1,-
1.845,1.00,1.08,1.025,AAD,Ardent Leisure stp,1.025,-7.5,"16,171",1.025,1.09,14.3,,0.19,1.10,13.95,2.73,37.5
5.75,3.37,4.03,3.98,ALL,Aristocrat Leisure,4.00,-7,"24,105",3.99,4.01,4.5,,-,0.07,1.13,-31.3,-
5.31,3.04,4.85,4.79,AOE,Arrow Energy,4.79,-6,"133,670",4.78,4.80,-,,-,2.13,-,15.38,31.1
1.94,1.193,1.565,1.52,AIO,Asciano Grp stp,1.53,-7.5,"135,572",1.52,1.53,-,,-,0.10,-,-41.9,-
0.575,0.27,0.465,0.45,APZ,Aspen Grp stp,0.455,-1.5,"3,712",0.45,0.46,4.19,,-,0.68,9.21,-3.37,-
0.515,0.32,0.36,0.345,AJA,Astro Jap Prop stp,0.355,-1,"16,924",0.345,0.355,8.5,,-,0.76,23.94,-36.49,-
37.90,29.24,30.00,29.24,ASX,ASX Ltd,29.51,-74,"9,445",29.50,29.80,163.6,f,1.10,3.19,5.54,180.6,16.3
3.05,1.475,1.94,1.89,AGO,Atlas Iron Ltd,1.935,-7.5,"40,126",1.93,1.935,-,,-,-,-,-15.5,-
2.34,0.855,1.785,1.715,ASL,Ausdrill Ltd,1.77,-3.5,"1,205",1.755,1.79,11,f,1.87,1.60,6.21,20.62,8.6
5.95,1.89,1.93,1.89,AAX,Ausenco Ltd,1.92,-8,"23,130",1.91,1.925,9.5,f,2.00,0.62,4.95,19,10.1
1.595,1.18,1.435,1.38,AAC,Aust Agriculture,1.42,0.5,"9,512",1.415,1.44,-,,-,2.42,-,-20.3,-
2.09,1.18,1.67,1.615,AIX,Aust Infra unt,1.665,-1.5,"18,819",1.64,1.70,10,p,1.94,2.62,6.01,19.37,8.6
0.939,0.44,0.465,0.45,API,Aust Pharmaceutical,0.45,-1.5,"2,551",0.45,0.46,3,f,2.03,0.79,6.67,6.1,7.4
3.12,1.935,2.36,2.17,ASB,Austal Ltd,2.35,19,736,2.30,2.38,6,,0.72,1.30,2.55,4.35,54.0
1.465,0.725,0.995,0.96,AUN,Austar United,0.965,-4,"16,177",0.96,0.98,-,,-,-0.31,-,4.7,20.5
3.05,1.835,2.42,2.37,ALZ,Australand Prop stp,2.39,-7,"12,176",2.39,2.44,5,,-,0.68,2.09,-13.4,-
2.37,1.48,2.09,2.03,AVO,Avoca Res,2.04,-8,"8,985",2.04,2.06,-,,-,0.79,-,12.49,16.3
1.337,0.865,1.00,0.97,AWB,AWB Ltd,0.97,-5,"38,151",0.97,0.98,-,,-,1.85,-,3.67,26.4
3.17,1.915,2.12,2.01,AWE,AWE Ltd,2.02,-16,"37,966",2.02,2.03,-,,-,1.74,-,1.43,141.3
6.72,3.51,5.91,5.69,AXA,AXA Asia Pacific,5.85,-13,"36,885",5.83,5.88,18.5,p,1.89,1.12,3.16,34.89,16.8
13.49,8.056,10.80,10.52,BOQ,Bank of Qld,10.72,-38,"7,222",10.65,10.78,52,f,1.78,7.20,4.85,92.4,11.6
1.45,0.305,0.33,0.315,BMN,Bannerman Res,0.315,-2,"3,697",0.315,0.32,-,,-,-,-,-7.84,-
1.04,0.655,0.74,0.715,BPT,Beach Energy Ltd,0.725,-3.5,"54,570",0.72,0.725,1.75,p,9.17,1.27,2.41,16.05,4.5
10.48,6.00,8.73,8.47,BEN,Bendigo & Adelaide,8.54,-28,"12,240",8.52,8.57,43,f,0.83,5.16,5.04,35.53,24.0
0.295,0.195,0.215,0.21,BDG,Bendigo Min Ltd,0.21,-1,"1,299",0.21,0.215,0.5,,6.40,0.15,2.38,3.2,6.6
1.595,0.90,1.27,1.21,BKY,Berkeley Res,1.24,-8,481,1.17,1.30,-,,-,-,-,-8.92,-
44.93,31.33,36.65,36.30,BHP,BHP Billiton Ltd,36.54,-133,"194,607",36.54,36.58,95.15,f,1.95,8.76,2.60,185.29,19.7
12.32,7.93,9.58,9.31,BBG,Billabong Intl,9.41,-34,"12,592",9.31,9.50,36,p,1.59,0.84,3.83,57.2,16.5
3.336,1.01,1.04,1.01,BTA,Biota Hldgs,1.03,-2.5,"10,045",1.025,1.055,-,,-,0.60,-,36.6,2.8
3.48,2.06,2.20,2.15,BSL,BlueScope Steel,2.17,-11,"223,428",2.16,2.17,5,,-,2.47,2.30,-61.37,-
4.10,1.372,2.68,2.62,BLY,Boart Longyear,2.64,-14,"39,761",2.64,2.65,-,,-,0.14,-,-0.67,-
6.40,3.77,5.28,5.15,BLD,Boral Ltd,5.18,-27,"92,268",5.17,5.18,12.5,f,1.82,4.23,2.41,22.7,22.8
1.605,0.71,1.16,1.135,BOW,Bow Energy Ltd,1.14,-4.5,"6,437",1.135,1.15,-,,-,-,-,4.42,25.8
8.14,3.60,7.20,6.92,BKN,Bradken Ltd,7.01,-30,"6,152",6.98,7.06,26,f,1.67,1.58,3.71,43.3,16.2
8.37,5.54,6.28,6.14,BXB,Brambles Ltd,6.17,-32,"85,080",6.15,6.20,25,p,1.38,0.66,4.05,34.45,17.9
4.05,1.11,3.20,3.07,BRM,Brockman Res,3.15,-7,"2,109",3.15,3.18,-,,-,-,-,-14.9,-
2.07,1.605,1.86,1.82,BWP,Bunnings Warehouse unt,1.83,-7,"5,378",1.83,1.90,10.97,,1.27,1.83,5.99,13.89,13.2
6.70,4.71,5.07,4.96,CAB,Cabcharge Aust,5.00,-12,"3,592",5.00,5.04,34,f,1.44,-,6.80,48.9,10.2
14.00,8.01,10.47,10.12,CTX,Caltex Aust,10.17,-64,"13,892",10.16,10.28,25,f,4.65,10.48,2.46,116.3,8.7
0.635,0.305,0.39,0.38,CFE,Cape Lambert Res,0.385,-1.5,"22,897",0.38,0.39,-,,-,-,-,10.88,3.5
0.885,0.29,0.385,0.36,CNX,Carbon Energy,0.37,-1.5,"6,482",0.365,0.38,-,,-,-,-,-1.87,-
0.885,0.30,0.335,0.325,CVN,Carnarvon Pet,0.325,-2.5,"42,845",0.325,0.33,-,,-,0.05,-,3.3,9.8
5.86,3.56,4.90,4.56,CRZ,Carsales Com Ltd,4.57,-45,"6,224",4.55,4.80,6.6,f,1.24,0.01,1.44,8.2,55.7
0.71,0.41,0.60,0.575,CCV,Cash Convert ord/div   ,0.575,-2,"2,849",0.575,0.59,3,f,2.32,0.23,5.22,6.97,8.2
1.957,0.913,1.465,1.435,CAH,Catalpa Res,1.465,-0.5,856,1.45,1.465,-,,-,-,-,-3.7,-
5.00,2.07,4.22,4.06,CEY,Centennial Coal,4.14,-22,"27,771",4.11,4.18,8,p,1.98,1.87,1.93,15.8,26.2
