Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-27T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4988.9,5004.6,5021.8,5018.3,5023.8,5043.4,5010.4,5.5,0.11,5023.8,4988.9,64.4,1.30,5023.8,4689.7,316.0,6.71,5202.5,4633.5,359.2,7.70,5202.5,4243.0,789.4,18.64,39984.3,40110.3,40247.9,40220.2,40264.7,40264.7,39984.3,516.7,1.30,40264.7,37584.9,2540.1,6.73,41528.7,37020.3,3622.1,9.88,41528.7,32546.2,7785.0,23.97,,
XAF,All Australian 50,5095.6,5113.9,5135.1,5145.8,5153.6,5175.7,5135.3,7.8,0.15,5153.6,5095.6,86.3,1.70,5153.6,4811.2,322.0,6.67,5314.5,4733.5,455.9,9.70,5314.5,4268.1,902.7,21.24,41848.8,41999.6,42173.0,42261.3,42324.9,42324.9,41848.8,708.3,1.70,42324.9,39513.1,2644.4,6.66,43481.5,38052.6,4562.7,12.08,43481.5,33439.3,9020.0,27.08,,
XAT,All Australian 200,4963.4,4978.8,4997.1,4996.9,5003.5,5024.0,4988.0,6.6,0.13,5003.5,4963.4,69.5,1.41,5003.5,4673.3,308.3,6.57,5188.4,4619.6,372.2,8.04,5188.4,4206.8,807.0,19.23,40549.5,40675.0,40824.3,40822.7,40876.5,40876.5,40549.5,567.2,1.41,40876.5,38178.5,2525.0,6.58,42210.6,37380.5,3822.2,10.32,42210.6,32832.6,8124.3,24.81,,
XTL,S&P/ASX 20,3139.5,3152.8,3165.6,3174.6,3180.6,3195.0,3166.7,6.0,0.19,3180.6,3139.5,65.5,2.10,3180.6,2952.3,216.4,7.30,3264.8,2885.8,314.0,10.96,3264.8,2592.0,603.2,23.40,50652.4,50866.6,51074.0,51219.4,51314.8,51314.8,50652.4,1055.4,2.10,51314.8,47632.8,3491.2,7.30,52533.4,45563.7,6055.5,13.38,52533.4,39856.2,11682.9,29.48,,
XFL,S&P/ASX 50,5154.4,5172.7,5194.0,5205.3,5213.1,5235.2,5194.2,7.8,0.15,5213.1,5154.4,87.2,1.70,5213.1,4866.0,327.6,6.71,5368.0,4770.1,480.5,10.15,5368.0,4303.9,926.6,21.62,42268.5,42419.2,42593.3,42686.1,42750.5,42750.5,42268.5,715.1,1.70,42750.5,39903.7,2687.1,6.71,43854.8,38295.2,4758.8,12.53,43854.8,33677.7,9208.8,27.45,,
XTO,S&P/ASX 100,4142.6,4155.4,4171.0,4175.0,4181.4,4198.0,4166.3,6.4,0.15,4181.4,4142.6,61.1,1.48,4181.4,3912.5,251.1,6.39,4323.8,3855.7,360.7,9.44,4323.8,3471.8,719.2,20.77,10291.7,10323.5,10362.1,10372.1,10387.9,10387.9,10291.7,151.8,1.48,10387.9,9720.1,625.4,6.41,10697.4,9380.5,1093.2,11.76,10697.4,8236.9,2174.0,26.47,,
XJO,S&P/ASX 200,5001.9,5017.1,5035.1,5035.6,5042.0,5062.6,5026.5,6.4,0.13,5042.0,5001.9,69.9,1.41,5042.0,4710.3,310.3,6.56,5221.0,4656.0,393.1,8.45,5221.0,4221.5,832.2,19.77,40790.6,40915.0,41061.5,41065.9,41118.2,41118.2,40790.6,570.3,1.41,41118.2,38412.1,2537.5,6.58,42402.2,37467.1,3983.6,10.73,42402.2,32899.2,8310.6,25.33,,
XKO,S&P/ASX 300,4961.0,4976.3,4994.3,4994.0,4999.9,5020.1,4985.1,5.9,0.12,4999.9,4961.0,69.3,1.40,4999.9,4668.4,311.7,6.65,5178.7,4613.2,373.6,8.08,5178.7,4207.4,803.4,19.14,40325.7,40450.7,40596.5,40594.7,40642.6,40642.6,40325.7,563.3,1.41,40642.6,37947.0,2540.8,6.67,41922.4,37184.2,3802.5,10.32,41922.4,32695.1,8032.3,24.63,,
XMD,S&P/ASX MidCap 50,4029.3,4024.8,4027.2,3987.2,3994.1,4004.6,3976.9,6.9,0.17,4029.3,3987.2,-17.6,-0.44,4048.4,3820.0,138.7,3.60,4310.8,3799.1,131.1,3.39,4310.8,3482.0,478.6,13.61,10378.5,10367.0,10373.1,10270.1,10287.9,10378.5,10270.1,-45.2,-0.44,10427.7,9839.6,373.9,3.77,11026.5,9756.1,518.6,5.31,11026.5,8635.3,1580.8,18.16,,
XSO,S&P/ASX Small Ords,2143.0,2149.8,2153.7,2126.0,2118.8,2131.9,2117.9,-7.2,-0.34,2153.7,2118.8,8.5,0.40,2153.7,1922.7,195.5,10.16,2414.5,1888.4,-161.9,-7.10,2414.5,1888.4,27.9,1.34,5193.6,5210.3,5219.7,5152.4,5135.2,5219.7,5135.2,20.6,0.40,5219.7,4658.5,475.8,10.21,5770.0,4574.9,-309.7,-5.69,5770.0,4574.9,228.8,4.66,,
