Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-04T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 27,Mar 30,Mar 31,Apr 1,Apr 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 27,Mar 30,Mar 31,Apr 1,Apr 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5888.9,5816.3,5861.9,5832.9,5869.7,5877.8,5832.9,36.8,0.63,5888.9,5816.3,20.0,0.34,5937.1,5763.3,-56.6,-0.96,5937.1,5278.8,481.1,8.93,5937.1,5278.8,454.0,8.38,50976.5,50348.3,50746.5,50497.4,50816.4,50976.5,50348.3,185.1,0.37,51385.9,49808.9,-211.8,-0.42,51385.9,45110.3,4769.5,10.36,51385.9,43681.7,5897.2,13.13,,
XAF,All Australian 50,6020.2,5944.4,5987.4,5958.2,5992.8,6002.8,5958.2,34.6,0.58,6020.2,5944.4,12.8,0.21,6081.0,5881.9,-66.3,-1.09,6081.0,5389.2,494.6,9.00,6081.0,5389.2,481.7,8.74,53683.1,53007.2,53390.1,53130.0,53438.3,53683.1,53007.2,113.7,0.21,54222.3,52407.2,-327.6,-0.61,54222.3,47407.4,5071.9,10.49,54222.3,45852.9,6497.1,13.84,,
XAT,All Australian 200,5862.4,5788.2,5832.8,5802.5,5839.6,5848.4,5802.7,37.1,0.64,5862.4,5788.2,17.4,0.30,5916.5,5737.6,-65.8,-1.11,5916.5,5251.9,476.5,8.88,5916.5,5251.9,473.9,8.83,51858.8,51203.2,51599.2,51333.3,51661.8,51858.8,51203.2,163.2,0.32,52324.7,50686.8,-310.2,-0.60,52324.7,45851.2,4840.9,10.34,52324.7,44281.4,6242.8,13.74,,
XTL,S&P/ASX 20,3715.9,3669.2,3699.3,3680.5,3701.4,3708.1,3680.0,20.9,0.57,3715.9,3669.2,9.4,0.25,3760.5,3623.1,-30.5,-0.82,3760.5,3321.7,302.6,8.90,3760.5,3321.7,285.4,8.35,65202.6,64383.8,64910.9,64582.5,64948.4,65202.6,64383.8,164.5,0.25,65985.5,63496.3,-174.3,-0.27,65985.5,57424.2,6192.5,10.54,65985.5,55673.0,7770.8,13.59,,
XFL,S&P/ASX 50,6091.0,6014.0,6057.5,6027.1,6062.5,6072.8,6027.3,35.4,0.59,6091.0,6014.0,11.9,0.20,6152.9,5952.0,-70.8,-1.15,6152.9,5453.2,499.1,8.97,6152.9,5453.2,485.8,8.71,54218.7,53533.5,53921.2,53649.9,53965.5,54218.7,53533.5,108.5,0.20,54764.7,52939.4,-360.0,-0.66,54764.7,47882.7,5115.1,10.47,54764.7,46300.1,6548.7,13.81,,
XTO,S&P/ASX 100,4947.9,4886.6,4924.4,4899.8,4929.4,4937.2,4899.8,29.6,0.60,4947.9,4886.6,15.8,0.32,4996.2,4837.4,-43.1,-0.87,4996.2,4422.0,416.4,9.23,4996.2,4422.0,433.5,9.64,13320.3,13155.4,13257.3,13191.3,13271.0,13320.3,13155.4,43.6,0.33,13448.7,13007.6,-48.9,-0.37,13448.7,11747.2,1282.1,10.69,13448.7,11295.6,1697.7,14.67,,
XJO,S&P/ASX 200,5919.9,5846.1,5891.5,5860.8,5898.6,5907.4,5860.8,37.8,0.64,5919.9,5846.1,19.5,0.33,5975.5,5793.2,-60.3,-1.01,5975.5,5299.2,487.6,9.01,5975.5,5299.2,488.7,9.03,52255.7,51604.4,52006.7,51737.2,52071.2,52255.7,51604.4,181.0,0.35,52731.3,51066.4,-258.0,-0.49,52731.3,46166.2,4931.9,10.46,52731.3,44533.8,6372.9,13.95,,
XVI,S&P/ASX 200 VIX,13.730,14.966,14.272,14.827,14.360,14.688,14.158,-0.467,-3.15,14.966,13.730,0.225,1.59,15.062,12.403,0.364,2.60,16.722,12.403,-0.221,-1.52,19.164,9.309,2.681,22.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5851.3,5778.5,5823.5,5793.8,5831.1,5839.5,5793.8,37.3,0.64,5851.3,5778.5,18.9,0.32,5904.1,5725.8,-58.6,-0.99,5904.1,5240.7,482.2,9.01,5904.1,5240.7,475.2,8.87,51455.3,50816.1,51212.9,50953.8,51281.8,51455.3,50816.1,175.6,0.34,51912.7,50280.3,-243.1,-0.47,51912.7,45487.5,4856.2,10.46,51912.7,43915.8,6198.3,13.75,,
XMD,S&P/ASX MidCap 50,5263.2,5208.6,5269.8,5244.7,5283.1,5294.2,5244.7,38.4,0.73,5283.1,5208.6,69.6,1.33,5301.7,5139.4,76.0,1.46,5301.7,4638.6,535.6,11.28,5301.7,4638.6,795.4,17.72,14474.3,14324.2,14492.4,14426.0,14531.5,14531.5,14324.2,193.9,1.35,14580.0,14097.8,286.9,2.01,14580.0,12623.2,1612.0,12.48,14580.0,11578.7,2624.9,22.05,,
XSO,S&P/ASX Small Ords,2180.2,2151.7,2169.2,2155.7,2179.5,2181.2,2155.7,23.8,1.10,2180.2,2151.7,7.3,0.34,2223.0,2151.3,-53.6,-2.40,2233.1,2001.2,135.1,6.61,2233.1,2001.2,7.7,0.35,5601.8,5529.7,5576.9,5543.6,5604.9,5604.9,5529.7,28.2,0.51,5693.5,5504.6,-88.6,-1.56,5693.5,5089.5,407.3,7.84,5754.2,4882.3,195.5,3.61,,
XDJ,Consumer Discretionary,1975.9,1956.1,1976.0,1964.3,1986.1,1990.7,1962.3,21.8,1.11,1986.1,1956.1,39.3,2.02,2000.8,1930.1,-11.1,-0.56,2000.8,1713.3,232.8,13.28,2000.8,1713.3,158.2,8.66,15393.6,15239.2,15396.2,15312.6,15482.3,15482.3,15239.2,320.6,2.11,15482.3,14995.4,45.5,0.29,15482.3,13162.6,2012.5,14.94,15482.3,12935.8,1728.4,12.57,,
XSJ,Consumer Staples,9384.3,9303.0,9356.3,9276.2,9249.1,9294.6,9236.2,-27.1,-0.29,9384.3,9249.1,24.8,0.27,9416.6,9224.3,-13.5,-0.15,10122.8,9021.7,76.0,0.83,10122.8,9021.7,-551.3,-5.63,79801.4,79110.3,79562.8,78881.9,78652.0,79801.4,78652.0,211.2,0.27,79801.4,77946.3,587.4,0.75,85291.5,75246.2,2143.2,2.80,85291.5,73342.3,-1276.9,-1.60,,
XEJ,Energy,11241.3,10725.7,10862.1,10678.2,10765.9,10796.8,10678.2,87.7,0.82,11241.3,10678.2,-504.3,-4.48,11591.1,10678.2,-875.4,-7.52,12048.3,10301.0,-835.5,-7.20,12048.3,10301.0,-2763.6,-20.43,84041.9,80187.1,81206.8,79831.4,80487.0,84041.9,79831.4,-3770.9,-4.48,86782.6,79831.4,-6295.6,-7.25,87551.8,74854.3,-3817.3,-4.53,111140.9,74854.3,-16185.5,-16.74,,
XFJ,Financials,7072.0,6996.5,7030.2,7014.0,7082.5,7095.8,7014.5,68.5,0.98,7082.5,6996.5,51.9,0.74,7186.4,6859.5,75.7,1.08,7186.4,6165.5,827.1,13.22,7186.4,6165.5,1050.1,17.41,74437.0,73642.7,73996.9,73826.8,74547.5,74547.5,73642.7,548.8,0.74,75638.7,72188.8,905.2,1.23,75638.7,64303.3,9308.3,14.27,75638.7,59639.1,14243.7,23.62,,
