Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-08T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 3,Aug 4,Aug 5,Aug 6,Aug 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 3,Aug 4,Aug 5,Aug 6,Aug 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5664.3,5681.9,5659.5,5600.1,5472.3,5600.1,5472.3,-127.8,-2.28,5681.9,5472.3,-209.4,-3.68,5688.5,5456.3,-91.6,-1.65,5954.8,5278.8,83.7,1.55,5954.8,5278.8,42.7,0.79,49437.7,49591.0,49395.6,48877.5,47762.1,49591.0,47762.1,-1827.2,-3.68,49648.8,47622.4,-799.5,-1.65,51568.0,45110.3,1715.2,3.72,51568.0,43681.7,2336.9,5.14,,
XAF,All Australian 50,5770.2,5789.0,5765.1,5694.3,5545.2,5694.3,5545.2,-149.1,-2.62,5789.0,5545.2,-246.0,-4.25,5800.5,5545.2,-128.3,-2.26,6081.0,5389.2,47.0,0.86,6081.0,5389.2,10.1,0.18,51935.4,52104.5,51889.3,51252.7,49910.6,52104.5,49910.6,-2214.1,-4.25,52207.9,49910.6,-1155.0,-2.26,54222.3,47407.4,1544.2,3.19,54222.3,45852.9,2308.8,4.85,,
XAT,All Australian 200,5626.3,5645.6,5622.3,5558.6,5423.9,5558.6,5423.9,-134.7,-2.42,5645.6,5423.9,-222.3,-3.94,5654.6,5420.2,-108.0,-1.95,5926.9,5251.9,60.8,1.13,5926.9,5251.9,28.1,0.52,50200.6,50372.7,50165.0,49596.9,48395.1,50372.7,48395.1,-1983.9,-3.94,50452.9,48361.3,-963.6,-1.95,52442.3,45851.2,1574.2,3.36,52442.3,44281.4,2305.2,5.00,,
XTL,S&P/ASX 20,3521.9,3534.5,3518.8,3470.1,3374.0,3470.1,3374.0,-96.1,-2.77,3534.5,3374.0,-159.6,-4.52,3539.0,3374.0,-80.9,-2.34,3760.5,3321.7,-24.8,-0.73,3760.5,3321.7,-44.2,-1.29,62360.4,62582.1,62305.7,61442.7,59740.7,62582.1,59740.7,-2825.9,-4.52,62663.2,59740.7,-1432.0,-2.34,65985.5,57424.2,984.9,1.68,65985.5,55673.0,2003.5,3.47,,
XFL,S&P/ASX 50,5834.6,5853.7,5829.2,5757.6,5606.6,5757.6,5606.6,-151.0,-2.62,5853.7,5606.6,-249.0,-4.25,5865.4,5606.6,-132.1,-2.30,6152.9,5453.2,43.2,0.78,6152.9,5453.2,9.1,0.16,52422.6,52594.9,52374.4,51731.4,50374.5,52594.9,50374.5,-2237.5,-4.25,52699.2,50374.5,-1186.5,-2.30,54764.7,47882.7,1524.0,3.12,54764.7,46300.1,2321.4,4.83,,
XTO,S&P/ASX 100,4745.4,4762.1,4742.6,4688.6,4572.5,4688.6,4572.5,-116.1,-2.48,4762.1,4572.5,-189.3,-3.97,4767.5,4566.0,-87.3,-1.87,4996.2,4422.0,59.6,1.32,4996.2,4422.0,52.5,1.16,12888.7,12934.0,12881.2,12734.4,12419.2,12934.0,12419.2,-514.1,-3.97,12948.9,12401.6,-237.2,-1.87,13449.8,11747.2,430.4,3.59,13449.8,11295.6,674.1,5.74,,
XJO,S&P/ASX 200,5679.3,5697.9,5674.0,5610.1,5474.8,5610.1,5474.8,-135.3,-2.41,5697.9,5474.8,-224.4,-3.94,5706.7,5469.5,-106.6,-1.91,5982.7,5299.2,63.8,1.18,5982.7,5299.2,39.5,0.73,50565.3,50730.5,50517.5,49948.8,48743.9,50730.5,48743.9,-1997.8,-3.94,50809.0,48697.2,-949.5,-1.91,52822.2,46166.2,1604.7,3.40,52822.2,44533.8,2412.2,5.21,,
XVI,S&P/ASX 200 VIX,15.269,15.110,15.444,16.445,17.965,17.965,17.024,1.520,9.24,17.965,15.110,3.416,23.48,21.073,13.735,0.168,0.94,21.073,0.171,3.384,23.21,21.073,0.171,2.842,18.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5614.3,5632.5,5609.5,5547.1,5414.4,5547.1,5414.4,-132.7,-2.39,5632.5,5414.4,-218.9,-3.89,5641.5,5409.2,-104.4,-1.89,5912.7,5240.7,65.5,1.22,5912.7,5240.7,32.5,0.60,49794.2,49955.9,49751.6,49197.7,48021.2,49955.9,48021.2,-1941.1,-3.89,50035.1,47975.0,-926.4,-1.89,52008.8,45487.5,1595.7,3.44,52008.8,43915.8,2309.5,5.05,,
XMD,S&P/ASX MidCap 50,5092.7,5119.8,5103.3,5080.8,5014.2,5080.8,5014.2,-66.6,-1.31,5119.8,5014.2,-89.7,-1.76,5119.8,4834.5,78.4,1.59,5363.8,4638.6,266.7,5.62,5363.8,4638.6,436.6,9.54,14078.1,14153.0,14107.4,14045.2,13861.1,14153.0,13861.1,-247.9,-1.76,14153.0,13364.3,216.7,1.59,14759.9,12623.2,941.6,7.29,14759.9,11578.7,1627.1,13.30,,
