Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-22T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 17,Sep 18,Sep 19,Sep 20,Sep 21,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4421.8,4417.8,4440.4,4419.8,4430.8,4440.6,4419.4,11.0,0.25,4440.4,4417.8,20.6,0.47,4440.4,4297.7,20.0,0.45,4504.8,4033.4,319.8,7.78,4504.8,3927.6,452.3,11.37,34408.5,34380.1,34555.4,34396.2,34483.4,34555.4,34380.1,184.2,0.54,34555.4,33371.0,433.3,1.27,34555.4,30869.4,3650.0,11.84,34555.4,29204.1,4919.1,16.64,,
XAF,All Australian 50,4437.7,4430.3,4454.1,4434.0,4444.6,4456.1,4432.5,10.6,0.24,4454.1,4430.3,25.0,0.57,4454.1,4328.2,30.5,0.69,4454.1,3983.7,395.5,9.77,4454.1,3853.0,563.1,14.51,35319.5,35264.3,35453.4,35293.6,35377.5,35453.4,35264.3,219.9,0.63,35453.4,34391.4,508.6,1.46,35453.4,31167.4,4413.8,14.25,35453.4,29181.9,5991.6,20.39,,
XAT,All Australian 200,4385.1,4377.0,4400.7,4378.8,4389.7,4399.9,4378.4,10.9,0.25,4400.7,4377.0,17.5,0.40,4400.7,4261.1,21.1,0.48,4426.4,3973.9,339.0,8.37,4426.4,3855.4,493.5,12.67,34743.3,34681.8,34869.7,34696.4,34784.3,34869.7,34681.8,161.2,0.47,34869.7,33696.8,442.3,1.29,34869.7,30947.5,3909.1,12.66,34869.7,29116.8,5374.6,18.28,,
XTL,S&P/ASX 20,2701.8,2697.4,2713.4,2699.6,2705.9,2713.6,2697.1,6.3,0.23,2713.4,2697.4,17.7,0.66,2713.4,2631.5,20.7,0.77,2713.4,2396.0,256.2,10.46,2713.4,2334.2,358.5,15.27,42238.7,42170.8,42420.4,42205.4,42303.3,42420.4,42170.8,303.4,0.72,42420.4,41067.4,615.4,1.48,42420.4,36842.5,5558.2,15.13,42420.4,34671.5,7444.4,21.36,,
XFL,S&P/ASX 50,4473.7,4466.4,4490.1,4470.2,4481.1,4492.8,4469.0,10.9,0.24,4490.1,4466.4,26.0,0.58,4490.1,4365.3,31.1,0.70,4490.1,4010.1,404.6,9.93,4490.1,3876.7,576.8,14.77,35559.0,35504.9,35693.0,35535.0,35622.1,35693.0,35504.9,228.3,0.64,35693.0,34640.3,515.1,1.47,35693.0,31334.8,4486.7,14.41,35693.0,29332.3,6092.8,20.63,,
XTO,S&P/ASX 100,3608.6,3602.6,3621.8,3604.6,3614.2,3622.5,3604.2,9.6,0.27,3621.8,3602.6,16.4,0.46,3621.8,3515.9,19.7,0.55,3621.8,3260.5,297.5,8.97,3621.8,3155.5,434.3,13.66,8692.5,8678.8,8725.2,8683.7,8706.7,8725.2,8678.8,44.4,0.51,8725.2,8455.1,114.6,1.33,8725.2,7719.3,1025.1,13.34,8725.2,7240.1,1413.9,19.39,,
XJO,S&P/ASX 200,4402.5,4394.7,4418.4,4397.2,4408.3,4418.4,4396.8,11.1,0.25,4418.4,4394.7,18.3,0.42,4418.4,4278.8,24.9,0.57,4435.9,3985.0,351.7,8.67,4435.9,3863.9,505.1,12.94,34826.8,34768.1,34955.1,34787.9,34877.1,34955.1,34768.1,168.9,0.49,34955.1,33782.7,471.9,1.37,34955.1,30989.0,3998.0,12.95,34955.1,29145.7,5450.8,18.52,,
XKO,S&P/ASX 300,4389.9,4381.8,4405.1,4384.2,4395.3,4405.1,4383.8,11.1,0.25,4405.1,4381.8,18.2,0.42,4405.1,4264.0,24.2,0.55,4432.4,3977.4,343.0,8.47,4432.4,3860.9,491.1,12.58,34623.8,34562.8,34746.8,34581.9,34671.4,34746.8,34562.8,167.7,0.49,34746.8,33565.6,464.5,1.36,34746.8,30841.3,3904.8,12.69,34746.8,29050.7,5310.6,18.09,,
XMD,S&P/ASX MidCap 50,3622.0,3614.6,3635.3,3607.4,3623.3,3627.1,3608.8,15.9,0.44,3635.3,3607.4,-24.6,-0.68,3651.5,3482.0,-29.0,-0.79,3950.9,3435.4,44.4,1.24,3950.9,3408.2,161.8,4.67,9072.0,9053.4,9105.3,9035.4,9075.3,9105.3,9035.4,-59.1,-0.65,9134.4,8705.7,15.5,0.17,9693.0,8495.1,413.1,4.77,9693.0,8186.5,781.2,9.42,,
XSO,S&P/ASX Small Ords,2281.5,2272.6,2284.2,2273.7,2276.6,2283.5,2271.1,2.9,0.13,2284.2,2272.6,-0.6,-0.02,2284.2,2138.5,14.3,0.63,2526.6,2044.8,67.2,3.04,2526.6,2044.8,42.8,1.92,5412.6,5391.5,5419.1,5394.1,5404.2,5419.1,5391.5,10.1,0.19,5419.1,5047.4,86.6,1.63,5892.6,4798.2,295.3,5.78,5892.6,4798.2,273.7,5.34,,
