Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-19T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 14,Jul 15,Jul 16,Jul 17,Jul 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5495.8,5495.7,5504.5,5509.9,5519.2,5519.2,5472.9,9.3,0.17,5519.2,5495.7,44.6,0.81,5519.2,5366.5,155.3,2.90,5519.2,5088.7,166.1,3.10,5519.2,5088.7,559.8,11.29,45976.2,45975.7,46050.9,46096.7,46173.8,46173.8,45975.7,374.8,0.82,46173.8,44760.9,1412.9,3.16,46173.8,41681.2,2328.8,5.31,46173.8,39984.3,6425.8,16.17,,
XAF,All Australian 50,5621.2,5621.8,5629.2,5629.1,5641.0,5641.0,5592.3,11.9,0.21,5641.0,5621.2,46.7,0.83,5641.0,5472.7,156.8,2.86,5650.1,5175.5,183.2,3.36,5650.1,5175.5,573.7,11.32,48342.3,48347.5,48411.1,48410.0,48512.3,48512.3,48342.3,401.3,0.83,48512.3,47052.5,1459.8,3.10,48512.3,43505.3,2633.9,5.74,48512.3,41848.8,6895.7,16.57,,
XAT,All Australian 200,5469.9,5469.6,5477.1,5480.9,5490.4,5490.4,5443.1,9.5,0.17,5490.4,5469.6,45.2,0.83,5490.4,5334.2,150.5,2.82,5493.5,5028.8,185.7,3.50,5493.5,5028.8,556.4,11.28,46721.1,46719.0,46783.8,46816.3,46897.7,46897.7,46719.0,387.2,0.83,46897.7,45496.1,1401.6,3.08,46897.7,42022.3,2570.3,5.80,46897.7,40549.5,6588.4,16.34,,
XTL,S&P/ASX 20,3474.7,3475.5,3477.0,3477.7,3485.2,3485.2,3452.9,7.5,0.22,3485.2,3474.7,28.6,0.83,3485.2,3376.2,94.3,2.78,3508.1,3184.2,106.8,3.16,3508.1,3184.2,370.1,11.88,58692.5,58705.3,58731.0,58743.0,58869.1,58869.1,58692.5,482.7,0.83,58869.1,57028.5,1625.0,2.84,58922.5,52576.0,3086.5,5.53,58922.5,50652.4,8609.7,17.13,,
XFL,S&P/ASX 50,5684.9,5685.7,5693.2,5693.0,5705.1,5705.1,5655.8,12.1,0.21,5705.1,5684.9,47.1,0.83,5705.1,5535.7,157.5,2.84,5715.6,5238.2,178.2,3.22,5715.6,5238.2,579.2,11.30,48803.5,48810.0,48874.6,48873.0,48976.9,48976.9,48803.5,405.0,0.83,48976.9,47512.2,1464.7,3.08,48976.9,43959.9,2594.0,5.59,48976.9,42268.5,6941.5,16.51,,
XTO,S&P/ASX 100,4584.0,4584.7,4591.3,4592.6,4600.3,4600.3,4560.6,7.7,0.17,4600.3,4584.0,37.5,0.82,4600.3,4470.2,122.8,2.74,4605.4,4210.6,155.1,3.49,4605.4,4210.6,480.0,11.65,11911.3,11913.2,11930.1,11933.5,11953.6,11953.6,11911.3,97.3,0.82,11953.6,11605.9,347.6,3.00,11953.6,10700.4,656.8,5.81,11953.6,10291.7,1717.4,16.78,,
XJO,S&P/ASX 200,5511.4,5511.3,5518.9,5522.4,5531.7,5531.7,5484.1,9.3,0.17,5531.7,5511.3,44.9,0.82,5531.7,5375.9,149.0,2.77,5536.1,5070.3,179.5,3.35,5536.1,5070.3,559.6,11.25,46978.9,46978.0,47043.5,47074.0,47152.7,47152.7,46978.0,383.6,0.82,47152.7,45767.4,1385.3,3.03,47152.7,42284.9,2517.6,5.64,47152.7,40790.6,6604.8,16.29,,
XVI,S&P/ASX 200 VIX,9.800,9.657,9.309,9.627,10.236,11.605,9.627,0.609,6.33,10.236,9.309,0.000,0.00,12.224,9.309,-1.207,-10.55,18.372,0.147,-1.326,-11.47,18.372,0.147,-4.022,-28.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5455.4,5455.1,5462.4,5466.1,5476.1,5476.1,5429.2,10.0,0.18,5476.1,5455.1,43.5,0.80,5476.1,5321.7,151.5,2.85,5476.4,5027.6,171.3,3.23,5476.4,5027.6,545.5,11.06,46334.8,46331.9,46395.3,46426.5,46510.9,46510.9,46331.9,370.4,0.80,46510.9,45109.5,1401.4,3.11,46510.9,41785.8,2422.1,5.49,46510.9,40325.7,6431.6,16.05,,
XMD,S&P/ASX MidCap 50,4584.0,4585.8,4596.2,4610.2,4600.2,4610.2,4560.0,-10.0,-0.22,4610.2,4584.0,32.2,0.70,4637.0,4515.8,85.4,1.89,4637.0,4099.4,250.7,5.76,4637.0,4099.4,588.5,14.67,12251.1,12256.0,12283.8,12321.2,12294.3,12321.2,12251.1,85.9,0.70,12392.6,12026.2,268.1,2.23,12392.6,10758.1,879.9,7.71,12392.6,10166.9,1961.2,18.98,,
