Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-05-07T23:15:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 2,May 3,May 4,May 5,May 6,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 2,May 3,May 4,May 5,May 6,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4896.2,4854.7,4813.8,4828.9,4816.1,4832.6,4786.8,-12.8,-0.27,4896.2,4813.8,-82.9,-1.69,5064.9,4813.8,-195.3,-3.90,5064.9,4609.9,-30.8,-0.64,5064.9,4250.6,308.7,6.85,35603.3,35303.1,35006.0,35117.9,35025.3,35603.3,35006.0,-598.1,-1.68,36827.4,35006.0,-1408.9,-3.87,36827.4,33473.5,212.5,0.61,36827.4,29893.9,3486.2,11.05,,
XAF,ALL Australian 50,4814.5,4776.4,4725.7,4737.3,4725.3,4745.1,4697.7,-12.0,-0.25,4814.5,4725.3,-84.1,-1.75,4939.1,4725.3,-147.7,-3.03,4939.1,4507.3,43.1,0.92,4939.1,4220.3,254.5,5.69,35568.4,35286.8,34912.2,35000.1,34911.9,35568.4,34911.9,-618.1,-1.74,36488.5,34911.9,-1088.6,-3.02,36488.5,33259.8,765.4,2.24,36488.5,30076.1,3228.1,10.19,,
XAT,ALL Australian 200,4827.3,4786.3,4740.7,4755.4,4743.7,4762.4,4712.9,-11.7,-0.25,4827.3,4740.7,-81.6,-1.69,4976.2,4740.7,-172.0,-3.50,4976.2,4531.8,-6.8,-0.14,4976.2,4218.4,268.0,5.99,35597.0,35296.5,34959.9,35070.8,34984.4,35597.0,34959.9,-597.5,-1.68,36695.0,34959.9,-1263.2,-3.48,36695.0,33376.2,393.4,1.14,36695.0,30043.8,3288.8,10.38,,
XTL,S&P/Asx 20,2934.0,2908.5,2874.5,2886.0,2876.4,2889.9,2859.9,-9.6,-0.33,2934.0,2874.5,-54.0,-1.84,2998.7,2874.5,-76.0,-2.57,2998.7,2726.8,44.3,1.56,2998.7,2560.9,170.3,6.29,42460.6,42091.3,41599.4,41766.7,41627.3,42460.6,41599.4,-781.7,-1.84,43396.5,41599.4,-1100.1,-2.57,43396.5,39420.6,1173.7,2.90,43396.5,35716.1,4095.1,10.91,,
XFL,S&P/Asx 50,4831.3,4792.5,4742.2,4752.3,4741.3,4761.0,4714.1,-11.0,-0.23,4831.3,4741.3,-84.3,-1.75,4953.4,4741.3,-147.7,-3.02,4953.4,4522.6,48.0,1.02,4953.4,4235.3,252.8,5.63,35662.6,35376.6,35005.4,35082.2,35001.3,35662.6,35001.3,-619.4,-1.74,36564.0,35001.3,-1087.6,-3.01,36564.0,33345.4,798.7,2.34,36564.0,30164.1,3205.7,10.08,,
XTO,S&P/Asx 100,3941.2,3909.1,3871.8,3881.3,3872.8,3888.2,3849.1,-8.5,-0.22,3941.2,3871.8,-64.5,-1.64,4049.1,3871.8,-129.1,-3.23,4049.1,3695.3,19.5,0.50,4049.1,3455.4,202.4,5.51,8825.4,8753.9,8670.3,8692.3,8673.1,8825.4,8670.3,-143.5,-1.63,9067.0,8670.3,-287.7,-3.21,9067.0,8264.4,154.6,1.82,9067.0,7468.5,785.3,9.96,,
XJO,S&P/Asx 200,4825.3,4784.6,4740.1,4753.7,4743.0,4761.7,4713.4,-10.7,-0.23,4825.3,4740.1,-80.2,-1.66,4971.2,4740.1,-169.9,-3.46,4971.2,4528.7,-2.2,-0.05,4971.2,4222.1,262.3,5.85,35544.3,35246.3,34918.5,35020.9,34942.3,35544.3,34918.5,-585.6,-1.65,36617.7,34918.5,-1244.7,-3.44,36617.7,33317.6,423.7,1.23,36617.7,30045.0,3236.1,10.21,,
XKO,S&P/Asx 300,4834.4,4793.6,4749.7,4763.6,4752.3,4770.4,4722.4,-11.3,-0.24,4834.4,4749.7,-81.4,-1.68,4984.1,4749.7,-174.5,-3.54,4984.1,4537.2,-8.5,-0.18,4984.1,4214.7,277.7,6.21,35533.3,35235.1,34912.4,35017.1,34933.8,35533.3,34912.4,-593.0,-1.67,36632.1,34912.4,-1275.8,-3.52,36632.1,33306.3,373.4,1.08,36632.1,29938.5,3325.6,10.52,,
XMD,S&P/Asx Midcap 50,4350.6,4310.5,4301.6,4323.8,4317.6,4330.6,4276.8,-6.2,-0.14,4350.6,4301.6,-35.0,-0.80,4573.1,4301.6,-217.2,-4.79,4573.1,4130.0,-149.9,-3.36,4573.1,3797.0,193.7,4.70,10209.4,10120.2,10099.3,10151.5,10137.0,10209.4,10099.3,-77.2,-0.76,10728.9,10099.3,-502.0,-4.72,10728.9,9674.0,-211.6,-2.05,10728.9,8628.5,845.1,9.10,,
XSO,S&P/Asx Small Ords,2738.8,2707.9,2693.4,2713.9,2702.9,2708.7,2678.7,-11.0,-0.41,2738.8,2693.4,-58.3,-2.11,2920.5,2693.4,-189.3,-6.55,2946.3,2592.6,-189.6,-6.55,2946.3,2229.7,326.7,13.75,6208.4,6138.4,6105.7,6152.2,6127.2,6208.4,6105.7,-129.8,-2.07,6617.6,6105.7,-425.1,-6.49,6625.3,5867.0,-375.1,-5.77,6625.3,4946.8,876.2,16.69,,
XDJ,Cons Discretionary,1462.0,1456.2,1446.1,1428.6,1438.8,1440.3,1425.7,10.2,0.71,1462.0,1428.6,-25.1,-1.72,1500.1,1428.6,-66.3,-4.41,1557.8,1428.6,-62.0,-4.13,1609.9,1424.3,-124.0,-7.93,9733.8,9695.3,9627.9,9511.6,9579.1,9733.8,9511.6,-167.4,-1.72,10012.9,9511.6,-433.8,-4.33,10210.5,9458.7,-203.2,-2.08,10292.8,9106.3,-412.2,-4.13,,
XSJ,Consumer Staples,7795.9,7793.1,7769.8,7779.5,7809.0,7841.7,7771.2,29.5,0.38,7809.0,7769.8,-3.2,-0.04,7967.2,7769.8,-14.6,-0.19,8013.9,7490.6,94.5,1.22,8415.1,7167.6,570.0,7.87,55481.7,55461.6,55296.3,55364.9,55575.0,55575.0,55296.3,-23.0,-0.04,56701.2,55296.3,-103.9,-0.19,56701.2,52783.5,1777.2,3.30,58402.4,48819.1,6269.5,12.72,,
XEJ,Energy,16491.5,16313.6,16164.3,16384.7,16157.4,16373.9,16096.9,-227.3,-1.39,16491.5,16157.4,-434.7,-2.62,17736.5,16157.4,-1040.2,-6.05,17736.5,15342.3,43.0,0.27,17736.5,13714.7,1578.4,10.83,108610.3,107438.6,106455.4,107907.1,106410.3,108610.3,106410.3,-2862.3,-2.62,116809.6,106410.3,-6850.3,-6.05,116809.6,101042.2,1317.2,1.25,116809.6,88395.3,12444.2,13.24,,
XFJ,Financials,4595.4,4551.3,4481.0,4475.8,4495.9,4521.3,4462.1,20.1,0.45,4595.4,4475.8,-96.3,-2.10,4615.7,4475.8,-59.9,-1.32,4666.6,4276.2,134.1,3.07,4680.0,4077.7,11.4,0.25,38424.3,38060.8,37472.6,37435.2,37603.2,38424.3,37435.2,-790.8,-2.06,38590.5,37435.2,-486.8,-1.28,38822.8,35744.3,1539.6,4.27,38822.8,32702.7,2047.7,5.76,,
