Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-17T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 12,May 13,May 14,May 15,May 16,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 12,May 13,May 14,May 15,May 16,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1806.4,1819.2,1825.8,1824.5,1806.0,1824.5,1800.9,-18.5,-1.01,1825.8,1806.0,-2.3,-0.13,1859.8,1806.0,-21.6,-1.18,1913.4,1715.0,-25.1,-1.37,1913.4,1715.0,136.1,8.15,13615.4,13711.4,13761.5,13751.4,13612.1,13761.5,13612.1,-17.7,-0.13,14017.9,13612.1,-162.7,-1.18,14336.1,12735.0,14.8,0.11,14336.1,10960.6,1416.3,11.61,,
XSJ,Consumer Staples,9972.7,10056.9,10067.6,10138.0,10111.2,10158.5,10076.7,-26.8,-0.26,10138.0,9972.7,99.8,1.00,10316.1,9960.4,206.1,2.08,10316.1,9567.9,95.2,0.95,10316.1,9567.9,-173.1,-1.68,81334.4,82020.7,82108.0,82682.2,82463.8,82682.2,81334.4,813.8,1.00,84134.8,80783.2,1680.6,2.08,84134.8,76594.5,2281.9,2.85,84134.8,71737.8,2146.4,2.67,,
XEJ,Energy,14235.3,14355.3,14392.4,14464.2,14420.8,14464.2,14385.0,-43.4,-0.30,14464.2,14235.3,114.5,0.80,14464.2,13881.4,624.0,4.52,14464.2,13017.6,797.9,5.86,14464.2,13017.6,1046.8,7.83,101715.5,102573.5,102838.1,103351.5,103041.4,103351.5,101715.5,818.5,0.80,103351.5,98582.4,4459.0,4.52,103351.5,91514.2,7271.5,7.59,103351.5,84450.3,10417.4,11.25,,
XFJ,Financials,6081.5,6116.9,6096.5,6115.6,6078.7,6115.6,6070.7,-36.9,-0.60,6116.9,6078.7,-16.8,-0.28,6215.0,6067.4,37.1,0.61,6215.0,5503.9,203.0,3.46,6215.0,5503.9,304.8,5.28,61038.9,61395.0,61754.0,61947.7,61573.4,61947.7,61038.9,393.9,0.64,62140.3,60395.4,1178.0,1.95,62140.3,54492.0,3403.4,5.85,62140.3,49323.3,6293.4,11.38,,
XXJ,Financial-x-A-REIT,7182.6,7237.2,7200.2,7224.2,7173.2,7224.2,7163.0,-51.0,-0.71,7237.2,7173.2,-25.8,-0.36,7363.2,7173.2,15.1,0.21,7363.2,6467.5,191.6,2.74,7363.2,6467.5,488.9,7.31,69138.4,69664.4,70050.4,70284.0,69787.3,70284.0,69138.4,491.3,0.71,70561.9,68581.8,1205.5,1.76,70561.9,61376.9,3531.2,5.33,70561.9,54895.6,8303.1,13.50,,
XHJ,Health Care,14445.6,14639.0,14547.5,14567.7,14464.7,14567.7,14442.7,-103.0,-0.71,14639.0,14445.6,25.7,0.18,14639.0,14151.0,332.0,2.35,14937.8,13849.2,97.4,0.68,14937.8,13849.2,1309.4,9.95,91442.6,92666.6,92087.7,92215.8,91593.1,92666.6,91442.6,192.3,0.21,92666.6,89462.2,2130.9,2.38,94445.0,86829.4,1546.2,1.72,94445.0,76975.9,10135.2,12.44,,
XNJ,Industrials,4121.9,4147.4,4169.7,4177.9,4163.2,4181.5,4152.1,-14.7,-0.35,4177.9,4121.9,57.4,1.40,4177.9,4054.4,123.3,3.05,4177.9,3771.2,194.3,4.90,4177.9,3771.2,352.5,9.25,34462.0,34675.4,34861.9,34930.4,34807.4,34930.4,34462.0,479.5,1.40,34930.4,33776.7,1030.7,3.05,34930.4,31167.8,2005.9,6.12,34930.4,28042.2,4141.8,13.51,,
XIJ,Info Technology,782.9,801.4,804.7,805.3,801.8,807.0,800.2,-3.5,-0.43,805.3,782.9,16.9,2.16,805.3,776.6,34.6,4.51,813.5,702.5,60.3,8.14,813.5,702.5,86.1,12.03,5192.8,5314.9,5337.1,5340.8,5318.2,5340.8,5192.8,112.6,2.16,5340.8,5088.3,229.9,4.52,5395.4,4603.8,459.0,9.45,5395.4,4277.0,696.6,15.07,,
XMJ,Materials,9982.4,10172.8,10207.0,10206.4,10111.3,10206.4,10083.7,-95.1,-0.93,10207.0,9982.4,82.0,0.82,10302.5,9971.6,-109.2,-1.07,10774.9,9745.3,-98.4,-0.96,10774.9,9745.3,688.1,7.30,69454.6,70779.3,71017.2,71013.6,70351.9,71017.2,69454.6,570.8,0.82,71681.8,69379.4,-759.2,-1.07,73944.4,66855.5,310.6,0.44,73944.4,55909.5,6823.3,10.74,,
XPJ,A-REIT,1058.1,1052.7,1060.8,1062.9,1063.2,1064.8,1058.3,0.3,0.03,1063.2,1052.7,2.5,0.24,1063.2,1040.5,32.6,3.17,1063.2,980.1,78.3,7.95,1063.2,980.1,-63.1,-5.60,29485.7,29334.5,29562.3,29618.9,29627.9,29627.9,29334.5,69.9,0.24,29627.9,28718.9,909.0,3.17,29627.9,27037.3,2466.9,9.08,29914.8,26036.8,-49.0,-0.16,,
XTJ,Telecommunications,1815.0,1830.1,1840.2,1844.2,1843.6,1844.3,1836.5,-0.6,-0.03,1844.2,1815.0,25.7,1.42,1844.2,1788.0,66.1,3.72,1844.2,1741.3,22.0,1.21,1844.2,1741.3,90.3,5.15,21820.1,22002.5,22123.4,22172.1,22164.8,22172.1,21820.1,310.0,1.42,22172.1,21370.0,794.8,3.72,22172.1,20377.3,847.9,3.98,22172.1,17688.9,2207.3,11.06,,
XUJ,Utilities,5917.7,5942.2,5885.0,5900.2,5903.4,5925.5,5876.3,3.2,0.05,5942.2,5885.0,2.7,0.05,5942.2,5673.3,255.9,4.53,5942.2,5357.0,523.9,9.74,5942.2,5357.0,203.7,3.57,62197.2,62454.7,61853.2,62012.9,62046.5,62454.7,61853.2,28.3,0.05,62454.7,59357.3,2689.2,4.53,62454.7,55642.3,6170.7,11.04,62454.7,52194.2,5332.8,9.40,,
XMM,Metals & Mining,3228.1,3300.2,3318.0,3317.5,3287.4,3317.5,3277.7,-30.1,-0.91,3318.0,3228.1,40.2,1.24,3347.3,3228.1,-43.0,-1.29,3522.5,3142.1,-51.9,-1.56,3522.5,3142.1,187.2,6.04,4602.9,4705.7,4731.1,4730.4,4687.4,4731.1,4602.9,57.3,1.24,4772.9,4602.9,-61.3,-1.29,4948.8,4448.3,-3.2,-0.07,4948.8,3709.5,399.6,9.32,,
XGD,Gold,2207.5,2227.9,2236.5,2249.6,2241.8,2249.6,2221.9,-7.8,-0.35,2249.6,2207.5,-0.3,-0.01,2358.8,2192.2,-28.3,-1.25,2679.6,2003.5,343.4,18.09,2679.6,2003.5,-700.1,-23.80,2570.2,2593.9,2603.9,2619.2,2610.2,2619.2,2570.2,-0.3,-0.01,2746.4,2552.4,-32.9,-1.25,3119.4,2330.8,401.7,18.19,3573.2,2001.8,-794.0,-23.32,,
XJR,S&P/ASX 200 Res,4140.5,4216.4,4234.5,4241.1,4209.5,4237.9,4198.9,-31.6,-0.75,4241.1,4140.5,47.2,1.13,4241.1,4128.7,17.5,0.42,4345.1,3970.3,23.2,0.55,4345.1,3970.3,269.4,6.84,22111.7,22517.2,22614.0,22648.9,22480.2,22648.9,22111.7,251.8,1.13,22648.9,22048.6,93.1,0.42,22908.0,20876.7,467.8,2.13,22908.0,17957.3,2080.4,10.20,,
,
