Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-05-21T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 16,May 17,May 18,May 19,May 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 16,May 17,May 18,May 19,May 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4724.2,4753.0,4765.3,4828.2,4807.7,4827.9,4802.9,-20.5,-0.42,4828.2,4724.2,20.4,0.43,4995.7,4724.2,-132.5,-2.68,5064.9,4609.9,-39.2,-0.81,5064.9,4250.6,481.9,11.14,34471.0,34681.6,34771.4,35231.0,35081.7,35231.0,34471.0,211.3,0.61,36326.2,34471.0,-840.7,-2.34,36827.4,33473.5,268.9,0.77,36827.4,29893.9,4755.9,15.68,,
XAF,ALL Australian 50,4625.6,4661.4,4671.3,4730.3,4704.0,4730.1,4698.1,-26.3,-0.56,4730.3,4625.6,17.4,0.37,4887.3,4625.6,-130.3,-2.70,4939.1,4507.3,21.8,0.47,4939.1,4220.3,407.0,9.47,34338.3,34604.1,34677.3,35115.2,34920.3,35115.2,34338.3,217.0,0.63,36105.5,34338.3,-794.4,-2.22,36488.5,33259.8,773.7,2.27,36488.5,30076.1,4383.9,14.36,,
XAT,ALL Australian 200,4649.3,4683.9,4694.0,4756.9,4732.3,4756.6,4726.7,-24.6,-0.52,4756.9,4649.3,20.7,0.44,4917.4,4649.3,-129.4,-2.66,4976.2,4531.8,-18.2,-0.38,4976.2,4218.4,433.0,10.07,34424.5,34680.6,34755.2,35220.8,35038.9,35220.8,34424.5,226.3,0.65,36261.3,34424.5,-811.6,-2.26,36695.0,33376.2,447.9,1.29,36695.0,30043.8,4522.7,14.82,,
XTL,S&P/Asx 20,2812.5,2835.6,2840.2,2875.0,2857.3,2874.9,2853.0,-17.7,-0.62,2875.0,2812.5,7.9,0.28,2971.1,2812.5,-83.7,-2.85,2998.7,2726.8,25.2,0.89,2998.7,2560.9,242.8,9.29,40939.3,41275.2,41343.1,41849.9,41592.2,41849.9,40939.3,244.8,0.59,42997.5,40939.3,-970.2,-2.28,43396.5,39420.6,1138.6,2.81,43396.5,35716.1,5211.0,14.32,,
XFL,S&P/Asx 50,4643.5,4679.1,4688.6,4748.5,4722.5,4748.3,4716.4,-26.0,-0.55,4748.5,4643.5,18.7,0.40,4902.4,4643.5,-127.1,-2.62,4953.4,4522.6,29.2,0.62,4953.4,4235.3,407.2,9.44,34441.7,34705.5,34775.9,35220.1,35028.0,35220.1,34441.7,226.1,0.65,36187.4,34441.7,-769.6,-2.15,36564.0,33345.4,825.4,2.41,36564.0,30164.1,4375.0,14.27,,
XTO,S&P/Asx 100,3798.1,3827.0,3834.3,3883.9,3864.1,3883.6,3859.0,-19.8,-0.51,3883.9,3798.1,17.7,0.46,4005.9,3798.1,-97.8,-2.47,4049.1,3695.3,10.8,0.28,4049.1,3455.4,337.8,9.58,8541.5,8606.4,8622.9,8734.5,8689.9,8734.5,8541.5,58.9,0.68,8970.1,8541.5,-181.6,-2.05,9067.0,8264.4,171.5,2.01,9067.0,7468.5,1093.3,14.39,,
XJO,S&P/Asx 200,4650.0,4683.9,4693.7,4756.4,4732.2,4756.2,4726.6,-24.2,-0.51,4756.4,4650.0,20.8,0.44,4913.8,4650.0,-126.8,-2.61,4971.2,4528.7,-13.0,-0.27,4971.2,4222.1,426.8,9.91,34391.3,34642.1,34714.7,35178.3,34999.2,35178.3,34391.3,226.5,0.65,36195.0,34391.3,-791.9,-2.21,36617.7,33317.6,480.7,1.39,36617.7,30045.0,4463.9,14.62,,
XKO,S&P/Asx 300,4659.3,4691.9,4702.5,4764.5,4740.9,4764.3,4735.8,-23.6,-0.50,4764.5,4659.3,19.6,0.42,4924.9,4659.3,-129.5,-2.66,4984.1,4537.2,-19.9,-0.42,4984.1,4214.7,442.7,10.30,34380.9,34621.2,34699.6,35157.2,34983.5,35157.2,34380.9,215.9,0.62,36197.0,34380.9,-813.1,-2.27,36632.1,33306.3,423.2,1.22,36632.1,29938.5,4553.5,14.96,,
XMD,S&P/Asx Midcap 50,4278.9,4309.3,4313.9,4375.4,4364.7,4376.6,4358.1,-10.7,-0.24,4375.4,4278.9,40.2,0.93,4479.4,4278.9,-58.2,-1.31,4573.1,4130.0,-102.8,-2.30,4573.1,3797.0,422.8,10.73,10046.1,10117.4,10128.4,10272.7,10247.5,10272.7,10046.1,94.3,0.93,10511.8,10046.1,-131.6,-1.27,10728.9,9674.0,-101.1,-0.98,10728.9,8628.5,1365.9,15.38,,
XSO,S&P/Asx Small Ords,2642.2,2644.9,2660.0,2701.2,2692.2,2707.2,2692.2,-9.0,-0.33,2701.2,2642.2,-0.3,-0.01,2852.8,2642.2,-126.8,-4.50,2946.3,2592.6,-200.3,-6.92,2946.3,2229.7,413.8,18.16,5990.6,5996.6,6030.9,6125.0,6104.6,6125.0,5990.6,1.0,0.02,6464.5,5990.6,-283.5,-4.44,6625.3,5867.0,-397.7,-6.12,6625.3,4946.8,1069.7,21.24,,
