Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-14T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 6,Jun 10,Jun 11,Jun 12,Jun 13,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 6,Jun 10,Jun 11,Jun 12,Jun 13,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5443.5,5448.5,5432.5,5407.9,5383.7,5407.9,5354.7,-24.2,-0.45,5448.5,5383.7,-36.0,-0.66,5506.7,5383.7,-91.7,-1.67,5516.1,5088.7,30.6,0.57,5516.1,5088.7,608.2,12.74,45417.7,45463.6,45332.9,45127.7,44925.8,45463.6,44925.8,-293.3,-0.65,45938.0,44925.8,-572.7,-1.26,45938.0,41681.2,1080.8,2.47,45938.0,37129.1,6728.4,17.61,,
XAF,All Australian 50,5571.7,5577.8,5565.1,5539.0,5517.6,5539.0,5486.1,-21.4,-0.39,5577.8,5517.6,-24.8,-0.45,5631.8,5517.6,-91.6,-1.63,5650.1,5175.5,59.8,1.10,5650.1,5175.5,625.4,12.78,47796.6,47855.1,47746.8,47522.4,47339.4,47855.1,47339.4,-205.8,-0.43,48305.8,47339.4,-533.8,-1.11,48305.8,43505.3,1461.0,3.18,48305.8,39049.4,7221.4,18.00,,
XAT,All Australian 200,5421.3,5426.5,5410.8,5385.3,5361.9,5385.3,5330.5,-23.4,-0.43,5426.5,5361.9,-33.0,-0.61,5484.5,5361.9,-92.8,-1.70,5493.5,5028.8,57.2,1.08,5493.5,5028.8,602.8,12.67,46181.5,46230.9,46100.6,45883.1,45684.1,46230.9,45684.1,-273.1,-0.59,46712.5,45684.1,-575.0,-1.24,46712.5,42022.3,1356.7,3.06,46712.5,37733.6,6880.5,17.73,,
XTL,S&P/ASX 20,3446.6,3452.3,3445.4,3429.9,3416.7,3429.9,3398.1,-13.2,-0.38,3452.3,3416.7,-11.3,-0.33,3490.3,3416.7,-58.4,-1.68,3508.1,3184.2,38.3,1.13,3508.1,3184.2,412.3,13.72,58185.1,58281.4,58165.5,57903.1,57680.3,58281.4,57680.3,-191.2,-0.33,58922.5,57680.3,-630.4,-1.08,58922.5,52576.0,1897.6,3.40,58922.5,47032.2,9207.5,19.00,,
XFL,S&P/ASX 50,5636.1,5641.5,5629.2,5603.7,5581.7,5603.7,5549.7,-22.0,-0.39,5641.5,5581.7,-25.6,-0.46,5697.9,5581.7,-92.7,-1.63,5715.6,5238.2,54.8,0.99,5715.6,5238.2,636.3,12.87,48263.5,48316.6,48211.2,47992.6,47804.2,48316.6,47804.2,-213.1,-0.44,48786.8,47804.2,-539.8,-1.12,48786.8,43959.9,1421.3,3.06,48786.8,39422.6,7309.8,18.05,,
XTO,S&P/ASX 100,4545.5,4550.8,4538.7,4518.7,4499.4,4518.7,4473.0,-19.3,-0.43,4550.8,4499.4,-23.8,-0.53,4596.2,4499.3,-73.8,-1.61,4605.4,4210.6,54.2,1.22,4605.4,4210.6,524.2,13.19,11779.9,11795.1,11764.6,11712.6,11662.7,11795.1,11662.7,-59.4,-0.51,11909.6,11657.0,-133.2,-1.13,11909.6,10700.4,366.0,3.24,11909.6,9607.8,1805.4,18.32,,
XJO,S&P/ASX 200,5464.0,5469.7,5454.0,5428.8,5405.1,5428.8,5373.6,-23.7,-0.44,5469.7,5405.1,-31.8,-0.58,5527.2,5405.1,-93.1,-1.69,5536.1,5070.3,52.9,0.99,5536.1,5070.3,613.3,12.80,46450.6,46503.6,46373.4,46159.2,45957.3,46503.6,45957.3,-262.6,-0.57,46979.9,45957.3,-576.3,-1.24,46979.9,42284.9,1322.2,2.96,46979.9,37962.9,6956.0,17.84,,
XVI,S&P/ASX 200 VIX,11.082,10.994,11.129,11.259,11.644,12.204,11.424,0.385,3.42,11.644,10.994,-0.552,-4.53,13.005,10.934,-0.177,-1.50,18.372,0.147,0.082,0.71,21.700,0.147,-9.148,-44.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5404.5,5409.7,5394.5,5369.6,5346.7,5369.6,5315.9,-22.9,-0.43,5409.7,5346.7,-31.2,-0.58,5466.4,5346.7,-90.7,-1.67,5476.4,5027.6,41.9,0.79,5476.4,5027.6,596.2,12.55,45778.5,45827.4,45701.3,45490.3,45296.8,45827.4,45296.8,-256.6,-0.56,46295.7,45296.8,-559.3,-1.22,46295.7,41785.8,1208.0,2.74,46295.7,37491.8,6758.0,17.54,,
XMD,S&P/ASX MidCap 50,4552.7,4566.2,4535.2,4520.0,4487.3,4520.0,4453.5,-32.7,-0.72,4566.2,4487.3,-51.1,-1.13,4622.0,4471.3,-64.8,-1.42,4622.0,4099.4,137.8,3.17,4622.0,4099.4,615.6,15.90,12119.5,12155.4,12080.4,12039.8,11952.9,12155.4,11952.9,-128.7,-1.07,12303.9,11890.0,-150.1,-1.24,12303.9,10758.1,538.5,4.72,12303.9,9769.3,2031.9,20.48,,
XSO,S&P/ASX Small Ords,2143.0,2139.5,2129.3,2114.2,2105.4,2114.2,2095.7,-8.8,-0.42,2143.0,2105.4,-26.6,-1.25,2177.3,2105.4,-50.4,-2.34,2277.1,2092.8,-88.2,-4.02,2277.1,2092.8,108.9,5.45,5341.5,5332.9,5307.6,5270.0,5248.0,5341.5,5248.0,-66.1,-1.24,5425.4,5248.0,-123.6,-2.30,5645.9,5156.7,-155.4,-2.88,5645.9,4574.9,425.0,8.81,,
XDJ,Consumer Discretionary,1766.9,1754.5,1744.6,1741.5,1736.3,1741.5,1721.0,-5.2,-0.30,1766.9,1736.3,-28.4,-1.61,1825.8,1736.3,-82.9,-4.56,1913.4,1715.0,-94.8,-5.18,1913.4,1715.0,203.9,13.30,13328.8,13235.2,13160.6,13137.1,13097.7,13328.8,13097.7,-214.7,-1.61,13761.5,13097.7,-613.7,-4.48,14336.1,12735.0,-499.6,-3.67,14336.1,11122.4,1897.1,16.94,,
XSJ,Consumer Staples,10064.6,9995.5,9946.5,9924.6,9914.6,9924.6,9845.8,-10.0,-0.10,10064.6,9914.6,-133.4,-1.33,10323.4,9914.6,-142.3,-1.41,10323.4,9567.9,-101.4,-1.01,10323.4,9567.9,511.9,5.44,82083.4,81520.4,81120.4,80941.9,80860.0,82083.4,80860.0,-1088.4,-1.33,84194.5,80860.0,-1160.7,-1.42,84194.5,76594.5,678.1,0.85,84194.5,73001.7,7427.5,10.11,,
XEJ,Energy,14492.8,14515.3,14448.2,14407.0,14587.9,14602.9,14379.6,180.9,1.26,14587.9,14407.0,250.8,1.75,14587.9,14115.8,232.6,1.62,14587.9,13017.6,965.0,7.08,14587.9,13017.6,1837.7,14.41,103555.9,103716.3,103236.8,102942.3,104235.0,104235.0,102942.3,1792.0,1.75,104235.0,100862.1,1661.5,1.62,104235.0,91514.2,8465.0,8.84,104235.0,84450.3,15931.5,18.04,,
XFJ,Financials,6144.3,6167.6,6173.1,6147.1,6122.8,6147.1,6081.9,-24.3,-0.40,6173.1,6122.8,34.7,0.57,6173.1,6011.6,5.9,0.10,6215.0,5503.9,247.1,4.21,6215.0,5503.9,842.6,15.96,62238.2,62474.4,62530.5,62266.4,62020.4,62530.5,62020.4,351.4,0.57,62530.5,60893.8,625.4,1.02,62530.5,54492.0,3850.4,6.62,62530.5,49553.8,11260.5,22.18,,
