Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-02T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 28,Oct 29,Oct 30,Oct 31,Nov 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 28,Oct 29,Oct 30,Oct 31,Nov 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2277.7,2251.5,2256.8,2265.4,2244.9,2265.4,2244.9,-20.5,-0.90,2277.7,2244.9,-21.6,-0.95,2277.7,2153.5,43.1,1.96,2414.5,2414.5,-35.8,-1.57,2414.5,2414.5,-1.0,-0.04,5589.9,5525.6,5538.7,5559.7,5509.9,5589.9,5509.9,-52.4,-0.94,5589.9,5284.4,110.5,2.05,5770.0,4574.9,65.1,1.20,5770.0,4574.9,163.9,3.07,,
XDJ,Consumer Discretionary,1813.7,1805.1,1819.5,1827.1,1821.8,1830.2,1819.6,-5.3,-0.29,1827.1,1805.1,3.8,0.21,1827.1,1749.3,45.7,2.57,1827.1,1827.1,478.0,35.57,1827.1,1827.1,565.4,45.01,13451.5,13387.4,13494.4,13550.8,13511.6,13550.8,13387.4,34.2,0.25,13550.8,12968.3,357.5,2.72,13550.8,9792.3,3867.4,40.10,13550.8,8925.0,4503.3,49.99,,
XSJ,Consumer Staples,10060.0,10009.4,10075.7,10171.5,10163.3,10203.3,10140.7,-8.2,-0.08,10171.5,10009.4,170.0,1.70,10171.5,9813.4,282.8,2.86,10661.7,10661.7,1288.9,14.52,10661.7,10661.7,1681.4,19.82,80439.8,80035.3,80565.5,81331.0,81265.6,81331.0,80035.3,1359.1,1.70,81331.0,78467.5,2261.7,2.86,83265.0,68413.1,13147.3,19.30,83265.0,64261.5,16259.7,25.01,,
XEJ,Energy,14092.5,13893.8,14022.6,14074.1,14066.6,14119.4,14027.9,-7.5,-0.05,14092.5,13893.8,96.2,0.69,14092.5,13695.7,102.3,0.73,14371.5,14371.5,1660.6,13.39,14371.5,14371.5,1661.2,13.39,99070.9,97674.2,98579.8,98941.9,98888.9,99070.9,97674.2,676.1,0.69,99070.9,96281.8,719.0,0.73,101032.3,83100.5,14062.2,16.58,101032.3,80181.3,14066.4,16.58,,
XFJ,Financials,6088.4,6082.2,6089.7,6044.4,6052.2,6065.5,6030.1,7.8,0.13,6089.7,6044.4,36.3,0.60,6089.7,5685.0,321.9,5.62,6089.7,6089.7,1298.5,27.32,6089.7,6089.7,1453.9,31.62,59337.2,59276.6,59349.6,58908.6,58984.9,59349.6,58908.6,354.5,0.60,59349.6,55405.8,3138.0,5.62,59349.6,44797.5,14326.4,32.08,59349.6,41925.5,16540.7,38.97,,
XXJ,Financial-x-A-REIT,7203.6,7198.9,7213.9,7146.0,7158.6,7178.3,7127.4,12.6,0.18,7213.9,7146.0,46.6,0.65,7213.9,6679.1,418.6,6.21,7213.9,7213.9,1706.7,31.30,7213.9,7213.9,1910.9,36.41,67326.3,67283.0,67423.0,66788.0,66906.3,67423.0,66788.0,435.4,0.66,67423.0,62424.2,3912.3,6.21,67423.0,49449.4,17759.8,36.14,67423.0,45922.1,20448.6,44.02,,
XHJ,Health Care,14086.7,14035.1,14158.2,14262.3,14155.0,14305.2,14148.6,-107.3,-0.75,14262.3,14035.1,314.1,2.27,14262.3,13575.9,497.5,3.64,14262.3,14262.3,2522.4,21.68,14262.3,14262.3,3634.8,34.55,88258.7,87935.9,88706.6,89358.8,88687.1,89358.8,87935.9,1968.2,2.27,89358.8,85058.8,3126.6,3.65,89358.8,70340.0,17390.1,24.39,89358.8,64518.9,24226.8,37.58,,
XNJ,Industrials,4079.6,4019.0,4025.0,4039.6,3984.3,4053.4,3984.3,-55.3,-1.37,4079.6,3984.3,-82.0,-2.02,4079.6,3879.3,-5.9,-0.15,4079.6,4079.6,432.6,12.18,4079.6,4079.6,614.0,18.22,33472.2,32974.4,33023.8,33143.9,32693.7,33472.2,32693.7,-669.0,-2.01,33472.2,31828.2,-38.9,-0.12,33472.2,28042.2,4455.5,15.78,33472.2,25541.2,6076.2,22.83,,
XIJ,Info Technology,727.4,728.1,734.4,742.2,734.4,742.2,729.8,-7.8,-1.05,742.2,727.4,9.7,1.34,742.2,697.1,23.0,3.24,742.2,742.2,137.8,23.09,742.2,742.2,154.7,26.69,4767.2,4771.3,4812.7,4864.2,4812.7,4864.2,4767.2,63.4,1.33,4864.2,4568.7,150.8,3.23,4864.2,3884.8,1022.0,26.96,4864.2,3628.0,1129.8,30.68,,
XMJ,Materials,10128.3,10027.6,10029.6,10050.3,9974.3,10050.3,9937.7,-76.0,-0.76,10128.3,9974.3,-46.8,-0.47,10128.3,9413.8,329.7,3.42,11228.0,11228.0,-626.6,-5.91,11228.0,11228.0,-190.3,-1.87,69372.3,68682.9,68696.2,68837.9,68317.7,69372.3,68317.7,-320.7,-0.47,69372.3,64475.8,2279.3,3.45,74792.0,55909.5,-2296.9,-3.25,74792.0,55909.5,735.1,1.09,,
XPJ,A-REIT,1048.1,1044.6,1040.5,1045.5,1043.9,1045.5,1039.7,-1.6,-0.15,1048.1,1040.5,3.1,0.30,1048.1,1019.8,21.8,2.13,1135.4,1135.4,70.1,7.20,1135.4,1135.4,78.4,8.12,28381.0,28286.1,28173.0,28310.8,28265.2,28381.0,28173.0,83.7,0.30,28381.0,27614.5,589.4,2.13,29914.8,25044.0,2907.4,11.47,29914.8,24245.6,3506.8,14.16,,
XTJ,Telecommunications,1778.7,1785.1,1789.5,1793.1,1786.0,1798.1,1782.7,-7.1,-0.40,1793.1,1778.7,31.2,1.78,1793.1,1697.4,75.1,4.39,1793.1,1793.1,290.0,19.38,1793.1,1793.1,385.1,27.49,20813.3,20888.3,20939.7,20982.1,20898.8,20982.1,20813.3,365.4,1.78,20982.1,19861.2,882.7,4.41,20982.1,16745.5,4366.4,26.41,20982.1,15405.9,5420.1,35.02,,
XUJ,Utilities,5523.1,5471.6,5509.4,5552.7,5485.4,5552.7,5482.9,-67.3,-1.21,5552.7,5471.6,20.7,0.38,5557.9,5441.0,18.1,0.33,5815.8,5815.8,227.5,4.33,5815.8,5815.8,548.8,11.12,56535.7,56008.4,56396.0,56838.6,56149.4,56838.6,56008.4,211.6,0.38,56892.1,55695.6,184.4,0.33,57869.0,51459.2,4451.7,8.61,57869.0,47142.4,8316.3,17.39,,
XMM,Metals & Mining,3370.5,3336.7,3330.1,3329.1,3302.6,3329.1,3289.0,-26.5,-0.80,3370.5,3302.6,-27.4,-0.82,3370.5,3116.2,116.4,3.65,3841.7,3841.7,-340.8,-9.35,3841.7,3841.7,-204.4,-5.83,4734.4,4686.9,4677.6,4676.2,4639.0,4734.4,4639.0,-38.5,-0.82,4734.4,4377.2,165.0,3.69,5249.3,3709.5,-339.3,-6.82,5249.3,3709.5,-152.4,-3.18,,
XGD,Gold,2507.9,2480.5,2432.9,2382.9,2303.3,2382.9,2287.0,-79.6,-3.34,2507.9,2303.3,-209.7,-8.34,2530.4,2262.2,-251.7,-9.85,5191.8,5191.8,-2595.4,-52.98,5191.8,5191.8,-3378.6,-59.46,2917.5,2885.7,2830.3,2772.1,2679.6,2917.5,2679.6,-243.9,-8.34,2959.4,2631.7,-279.8,-9.46,5987.1,2324.2,-2969.5,-52.57,6644.0,2324.2,-3872.6,-59.10,,
XJR,S&P/ASX 200 Res,4245.5,4197.3,4205.0,4210.0,4187.9,4210.0,4171.9,-22.1,-0.52,4245.5,4187.9,-11.4,-0.27,4245.5,3987.1,114.4,2.81,4567.3,4567.3,-122.7,-2.85,4567.3,4567.3,11.1,0.26,22323.4,22069.8,22110.6,22136.6,22020.7,22323.4,22020.7,-59.6,-0.27,22323.4,20964.8,606.9,2.83,23355.8,17957.3,-22.4,-0.10,23355.8,17957.3,663.9,3.11,,
,
