Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-29T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4409.2,4395.5,4382.5,4402.8,4406.3,4413.1,4389.1,3.5,0.08,4409.2,4382.5,-24.5,-0.55,4440.4,4297.7,19.3,0.44,4504.8,4033.4,295.3,7.18,4504.8,3935.6,336.2,8.26,34331.8,34225.8,34126.0,34284.9,34315.2,34331.8,34126.0,-168.2,-0.49,34555.4,33371.0,370.1,1.09,34555.4,30869.4,3481.9,11.29,34555.4,29272.7,4045.1,13.36,,
XAF,All Australian 50,4424.4,4413.3,4403.1,4427.5,4427.7,4435.8,4409.8,0.2,0.00,4427.7,4403.1,-16.9,-0.38,4454.1,4328.2,37.0,0.84,4454.1,3983.7,378.6,9.35,4454.1,3860.3,429.6,10.74,35226.8,35138.4,35057.4,35251.5,35253.3,35253.3,35057.4,-124.2,-0.35,35453.4,34391.4,488.5,1.41,35453.4,31167.4,4289.5,13.85,35453.4,29237.5,4972.4,16.42,,
XAT,All Australian 200,4367.1,4353.9,4342.6,4365.9,4368.5,4376.2,4350.1,2.6,0.06,4368.5,4342.6,-21.2,-0.48,4400.7,4261.1,24.5,0.56,4426.4,3973.9,317.8,7.85,4426.4,3864.5,366.3,9.15,34617.7,34512.9,34423.7,34608.5,34630.8,34630.8,34423.7,-153.4,-0.44,34869.7,33696.8,400.5,1.17,34869.7,30947.5,3755.7,12.16,34869.7,29189.5,4403.7,14.57,,
XTL,S&P/ASX 20,2692.5,2685.8,2677.5,2693.6,2696.0,2700.5,2684.1,2.4,0.09,2696.0,2677.5,-9.9,-0.37,2713.4,2631.5,28.4,1.06,2713.4,2396.0,246.3,10.05,2713.4,2340.3,269.5,11.11,42104.9,41999.5,41870.2,42121.4,42159.3,42159.3,41870.2,-144.0,-0.34,42420.4,41067.4,654.7,1.58,42420.4,36842.5,5414.2,14.73,42420.4,34762.3,6116.4,16.97,,
XFL,S&P/ASX 50,4460.8,4450.0,4439.6,4463.5,4464.0,4472.2,4446.0,0.5,0.01,4464.0,4439.6,-17.1,-0.38,4490.1,4365.3,37.0,0.83,4490.1,4010.1,387.5,9.51,4490.1,3883.4,442.8,11.01,35470.0,35384.3,35301.8,35491.5,35495.6,35495.6,35301.8,-126.6,-0.36,35693.0,34640.3,488.6,1.40,35693.0,31334.8,4360.2,14.00,35693.0,29383.0,5069.9,16.66,,
XTO,S&P/ASX 100,3596.1,3585.9,3577.8,3597.6,3598.3,3604.8,3583.8,0.7,0.02,3598.3,3577.8,-15.9,-0.44,3621.8,3515.9,22.5,0.63,3621.8,3260.5,281.6,8.49,3621.8,3159.5,326.5,9.98,8665.8,8641.4,8621.9,8669.6,8671.3,8671.3,8621.9,-35.4,-0.41,8725.2,8455.1,103.6,1.21,8725.2,7719.3,989.7,12.88,8725.2,7250.3,1163.7,15.50,,
XJO,S&P/ASX 200,4385.5,4372.9,4361.6,4384.2,4387.0,4394.6,4368.5,2.8,0.06,4387.0,4361.6,-21.3,-0.48,4418.4,4278.8,27.6,0.63,4435.9,3985.0,330.4,8.15,4435.9,3872.1,378.4,9.44,34709.4,34609.6,34521.2,34699.8,34723.7,34723.7,34521.2,-153.4,-0.44,34955.1,33782.7,426.1,1.24,34955.1,30989.0,3844.5,12.45,34955.1,29212.1,4484.3,14.83,,
XKO,S&P/ASX 300,4372.6,4359.2,4347.2,4369.3,4372.4,4380.0,4354.5,3.1,0.07,4372.6,4347.2,-22.9,-0.52,4405.1,4264.0,25.5,0.59,4432.4,3977.4,320.1,7.90,4432.4,3870.2,366.1,9.14,34504.8,34399.0,34304.6,34479.1,34505.6,34505.6,34304.6,-165.8,-0.48,34746.8,33565.6,408.6,1.20,34746.8,30841.3,3739.0,12.15,34746.8,29126.4,4358.3,14.46,,
XMD,S&P/ASX MidCap 50,3590.3,3567.7,3561.8,3586.8,3589.3,3598.2,3575.3,2.5,0.07,3590.3,3561.8,-34.0,-0.94,3647.9,3482.0,-42.6,-1.17,3950.9,3435.4,10.4,0.29,3950.9,3408.2,57.4,1.63,8998.7,8941.9,8927.1,8989.7,8997.4,8998.7,8927.1,-77.9,-0.86,9134.4,8705.7,-37.4,-0.41,9693.0,8495.1,335.3,3.87,9693.0,8186.5,520.8,6.14,,
XSO,S&P/ASX Small Ords,2261.0,2247.8,2229.2,2229.4,2244.6,2249.1,2231.8,15.2,0.68,2261.0,2229.2,-32.0,-1.40,2284.2,2138.5,3.8,0.17,2526.6,2044.8,35.2,1.59,2526.6,2044.8,10.7,0.48,5371.9,5340.5,5297.5,5298.1,5336.1,5371.9,5297.5,-68.0,-1.26,5419.1,5047.4,58.1,1.10,5892.6,4798.2,227.3,4.45,5892.6,4798.2,196.6,3.83,,
